Dispatch_ID,Assignment_ID,Quantity_Dispatched,Dispatch_Date,Vehicle_ID,Operator_ID,Delivery_Status,Is_Damaged,Delay_Reason
434::RACK-8::0062,ZONE-4::RACK-8::434::GJ18X2499,46,2025-07-06 00:00:00,GJ18X2499,OP641,Delayed,0,
285::RACK-8::0063,ZONE-4::RACK-8::285::GJ22X5898,28,2025-07-04 00:00:00,GJ22X5898,OP561,Failed,1,Depot Overflow
434::RACK-8::0064,ZONE-4::RACK-8::434::GJ11X9382,25,2025-07-05 00:00:00,GJ11X9382,OP862,Delayed,0,
185::RACK-8::0065,ZONE-4::RACK-8::185::GJ01X2097,3,2025-07-07 00:00:00,GJ01X2097,OP294,Delayed,0,
295::RACK-3::0066,ZONE-1::RACK-3::295::GJ27X4558,15,2025-07-08 00:00:00,GJ27X4558,OP663,Delivered,0,
795::RACK-9::0067,ZONE-4::RACK-9::795::GJ11X9180,44,2025-07-06 00:00:00,GJ11X9180,OP699,In Transit,0,
789::RACK-3::0068,ZONE-1::RACK-3::789::GJ28X6836,23,2025-07-04 00:00:00,GJ28X6836,OP587,Delivered,0,
789::RACK-4::0069,ZONE-1::RACK-4::789::GJ27X1769,10,2025-07-05 00:00:00,GJ27X1769,OP227,Delayed,1,Traffic
285::RACK-9::0070,ZONE-4::RACK-9::285::GJ19X5382,15,2025-07-06 00:00:00,GJ19X5382,OP840,Delayed,1,Depot Overflow
185::RACK-9::0071,ZONE-4::RACK-9::185::GJ06X5907,16,2025-07-04 00:00:00,GJ06X5907,OP460,Failed,0,
295::RACK-4::0072,ZONE-1::RACK-4::295::GJ17X8304,8,2025-07-09 00:00:00,GJ17X8304,OP565,Delayed,0,
434::RACK-9::0073,ZONE-4::RACK-9::434::GJ29X3199,37,2025-07-04 00:00:00,GJ29X3199,OP753,Delayed,1,Traffic
384::RACK-2::0074,ZONE-2::RACK-2::384::GJ26X6532,28,2025-07-05 00:00:00,GJ26X6532,OP773,In Transit,0,
795::RACK-9::0075,ZONE-4::RACK-9::795::GJ04X2061,16,2025-07-03 00:00:00,GJ04X2061,OP559,Delayed,0,
384::RACK-2::0076,ZONE-2::RACK-2::384::GJ15X4384,41,2025-07-07 00:00:00,GJ15X4384,OP671,In Transit,0,
185::RACK-10::0077,ZONE-4::RACK-10::185::GJ28X5690,15,2025-07-07 00:00:00,GJ28X5690,OP309,In Transit,0,
854::RACK-2::0078,ZONE-3::RACK-2::854::GJ14X9412,45,2025-07-04 00:00:00,GJ14X9412,OP609,In Transit,0,
285::RACK-10::0079,ZONE-4::RACK-10::285::GJ22X7532,36,2025-07-06 00:00:00,GJ22X7532,OP734,In Transit,0,
285::RACK-10::0080,ZONE-4::RACK-10::285::GJ06X1200,39,2025-07-06 00:00:00,GJ06X1200,OP183,Delayed,1,Operator Error
854::RACK-2::0081,ZONE-3::RACK-2::854::GJ07X8970,46,2025-07-05 00:00:00,GJ07X8970,OP734,Delivered,0,
285::RACK-10::0082,ZONE-4::RACK-10::285::GJ17X3593,1,2025-07-05 00:00:00,GJ17X3593,OP814,Delayed,0,
384::RACK-3::0083,ZONE-2::RACK-3::384::GJ06X1200,7,2025-07-09 00:00:00,GJ06X1200,OP664,Delivered,1,Minor Handling Damage
384::RACK-3::0084,ZONE-2::RACK-3::384::GJ06X9871,37,2025-07-05 00:00:00,GJ06X9871,OP295,In Transit,0,
384::RACK-3::0085,ZONE-2::RACK-3::384::GJ05X8172,48,2025-07-04 00:00:00,GJ05X8172,OP173,Failed,0,
185::RACK-10::0086,ZONE-4::RACK-10::185::GJ12X5328,44,2025-07-07 00:00:00,GJ12X5328,OP726,Delayed,1,Traffic
789::RACK-4::0087,ZONE-1::RACK-4::789::GJ07X3648,36,2025-07-03 00:00:00,GJ07X3648,OP489,In Transit,0,
384::RACK-3::0088,ZONE-2::RACK-3::384::GJ07X1011,31,2025-07-05 00:00:00,GJ07X1011,OP713,Failed,1,Traffic
185::RACK-1::0089,ZONE-4::RACK-1::185::GJ23X5465,27,2025-07-05 00:00:00,GJ23X5465,OP264,Failed,0,
295::RACK-4::0090,ZONE-1::RACK-4::295::GJ12X2891,15,2025-07-03 00:00:00,GJ12X2891,OP103,Failed,0,
789::RACK-4::0091,ZONE-1::RACK-4::789::GJ12X2891,46,2025-07-06 00:00:00,GJ12X2891,OP570,Failed,0,
384::RACK-3::0092,ZONE-2::RACK-3::384::GJ06X1549,36,2025-07-04 00:00:00,GJ06X1549,OP505,Failed,0,
285::RACK-1::0093,ZONE-4::RACK-1::285::GJ05X2776,1,2025-07-04 00:00:00,GJ05X2776,OP384,Failed,0,
384::RACK-4::0094,ZONE-2::RACK-4::384::GJ30X9209,28,2025-07-07 00:00:00,GJ30X9209,OP783,Delayed,0,
185::RACK-1::0095,ZONE-4::RACK-1::185::GJ11X8049,26,2025-07-03 00:00:00,GJ11X8049,OP629,Delivered,0,
185::RACK-1::0096,ZONE-4::RACK-1::185::GJ13X1303,29,2025-07-06 00:00:00,GJ13X1303,OP665,Delayed,0,
285::RACK-1::0097,ZONE-4::RACK-1::285::GJ07X1011,20,2025-07-05 00:00:00,GJ07X1011,OP488,Delivered,0,
384::RACK-4::0098,ZONE-2::RACK-4::384::GJ14X5845,22,2025-07-04 00:00:00,GJ14X5845,OP395,In Transit,0,
434::RACK-2::0099,ZONE-4::RACK-2::434::GJ24X6673,14,2025-07-09 00:00:00,GJ24X6673,OP221,Delivered,0,
384::RACK-4::0100,ZONE-2::RACK-4::384::GJ23X7398,15,2025-07-07 00:00:00,GJ23X7398,OP753,In Transit,0,
185::RACK-2::0101,ZONE-4::RACK-2::185::GJ29X9603,40,2025-07-07 00:00:00,GJ29X9603,OP771,Delivered,0,
384::RACK-4::0102,ZONE-2::RACK-4::384::GJ29X6133,31,2025-07-06 00:00:00,GJ29X6133,OP769,Delivered,0,
384::RACK-4::0103,ZONE-2::RACK-4::384::GJ01X5402,28,2025-07-03 00:00:00,GJ01X5402,OP537,Failed,0,
384::RACK-5::0104,ZONE-2::RACK-5::384::GJ11X7822,7,2025-07-03 00:00:00,GJ11X7822,OP260,Delayed,1,Operator Error
185::RACK-2::0105,ZONE-4::RACK-2::185::GJ24X1949,9,2025-07-04 00:00:00,GJ24X1949,OP819,Failed,1,Operator Error
185::RACK-2::0106,ZONE-4::RACK-2::185::GJ10X2304,17,2025-07-05 00:00:00,GJ10X2304,OP488,In Transit,0,
434::RACK-2::0107,ZONE-4::RACK-2::434::GJ24X6892,25,2025-07-04 00:00:00,GJ24X6892,OP662,Delayed,0,
295::RACK-5::0108,ZONE-1::RACK-5::295::GJ15X4384,28,2025-07-05 00:00:00,GJ15X4384,OP566,Failed,1,Operator Error
434::RACK-3::0109,ZONE-4::RACK-3::434::GJ28X9659,18,2025-07-09 00:00:00,GJ28X9659,OP693,In Transit,0,
185::RACK-3::0110,ZONE-4::RACK-3::185::GJ14X3727,49,2025-07-07 00:00:00,GJ14X3727,OP540,Delivered,0,
795::RACK-3::0111,ZONE-4::RACK-3::795::GJ22X7532,3,2025-07-03 00:00:00,GJ22X7532,OP967,Delayed,1,Operator Error
384::RACK-5::0112,ZONE-2::RACK-5::384::GJ24X6532,17,2025-07-05 00:00:00,GJ24X6532,OP542,In Transit,0,
434::RACK-3::0113,ZONE-4::RACK-3::434::GJ23X5185,23,2025-07-04 00:00:00,GJ23X5185,OP685,Failed,1,Operator Error
795::RACK-3::0114,ZONE-4::RACK-3::795::GJ17X4217,7,2025-07-03 00:00:00,GJ17X4217,OP374,Failed,0,
295::RACK-5::0115,ZONE-1::RACK-5::295::GJ06X9871,19,2025-07-06 00:00:00,GJ06X9871,OP609,In Transit,0,
795::RACK-4::0116,ZONE-4::RACK-4::795::GJ14X3279,25,2025-07-03 00:00:00,GJ14X3279,OP422,Delayed,1,Depot Overflow
185::RACK-4::0117,ZONE-4::RACK-4::185::GJ11X8049,28,2025-07-05 00:00:00,GJ11X8049,OP923,Failed,0,
285::RACK-4::0118,ZONE-4::RACK-4::285::GJ26X5488,18,2025-07-07 00:00:00,GJ26X5488,OP355,Failed,1,Weather
285::RACK-4::0119,ZONE-4::RACK-4::285::GJ17X4217,11,2025-07-05 00:00:00,GJ17X4217,OP227,Delivered,0,
384::RACK-5::0120,ZONE-2::RACK-5::384::GJ01X5402,47,2025-07-05 00:00:00,GJ01X5402,OP258,Failed,1,Operator Error
295::RACK-5::0121,ZONE-1::RACK-5::295::GJ11X5333,2,2025-07-05 00:00:00,GJ11X5333,OP634,Delivered,0,
789::RACK-5::0122,ZONE-1::RACK-5::789::GJ27X3348,38,2025-07-05 00:00:00,GJ27X3348,OP679,In Transit,0,
185::RACK-4::0123,ZONE-4::RACK-4::185::GJ28X6836,3,2025-07-04 00:00:00,GJ28X6836,OP119,Failed,1,Weather
384::RACK-5::0124,ZONE-2::RACK-5::384::GJ28X5690,17,2025-07-06 00:00:00,GJ28X5690,OP207,In Transit,0,
285::RACK-5::0125,ZONE-4::RACK-5::285::GJ15X2791,29,2025-07-09 00:00:00,GJ15X2791,OP422,Delivered,0,
295::RACK-5::0126,ZONE-1::RACK-5::295::GJ12X3425,10,2025-07-07 00:00:00,GJ12X3425,OP803,Failed,1,Depot Overflow
434::RACK-5::0127,ZONE-4::RACK-5::434::GJ21X7971,3,2025-07-06 00:00:00,GJ21X7971,OP435,Failed,0,
789::RACK-6::0128,ZONE-1::RACK-6::789::GJ22X5898,47,2025-07-07 00:00:00,GJ22X5898,OP734,Failed,0,
434::RACK-5::0129,ZONE-4::RACK-5::434::GJ12X5063,24,2025-07-03 00:00:00,GJ12X5063,OP984,Failed,0,
854::RACK-2::0130,ZONE-3::RACK-2::854::GJ30X6638,8,2025-07-04 00:00:00,GJ30X6638,OP391,Failed,0,
295::RACK-6::0131,ZONE-1::RACK-6::295::GJ20X8820,11,2025-07-04 00:00:00,GJ20X8820,OP527,Delayed,0,
789::RACK-6::0132,ZONE-1::RACK-6::789::GJ11X1934,29,2025-07-07 00:00:00,GJ11X1934,OP991,In Transit,0,
285::RACK-5::0133,ZONE-4::RACK-5::285::GJ17X8039,8,2025-07-05 00:00:00,GJ17X8039,OP509,Delivered,0,
854::RACK-2::0134,ZONE-3::RACK-2::854::GJ14X1705,3,2025-07-06 00:00:00,GJ14X1705,OP505,Delayed,0,
185::RACK-5::0135,ZONE-4::RACK-5::185::GJ10X2304,12,2025-07-05 00:00:00,GJ10X2304,OP655,In Transit,0,
789::RACK-6::0136,ZONE-1::RACK-6::789::GJ21X8382,38,2025-07-05 00:00:00,GJ21X8382,OP967,In Transit,0,
795::RACK-6::0137,ZONE-4::RACK-6::795::GJ15X2279,28,2025-07-03 00:00:00,GJ15X2279,OP336,Failed,0,
795::RACK-6::0138,ZONE-4::RACK-6::795::GJ12X3425,37,2025-07-07 00:00:00,GJ12X3425,OP403,In Transit,0,
285::RACK-6::0139,ZONE-4::RACK-6::285::GJ04X1613,1,2025-07-05 00:00:00,GJ04X1613,OP776,Delivered,0,
854::RACK-2::0140,ZONE-3::RACK-2::854::GJ04X2061,21,2025-07-05 00:00:00,GJ04X2061,OP197,Failed,0,
285::RACK-6::0141,ZONE-4::RACK-6::285::GJ28X9659,11,2025-07-04 00:00:00,GJ28X9659,OP841,Delayed,1,Traffic
285::RACK-6::0142,ZONE-4::RACK-6::285::GJ09X1112,19,2025-07-03 00:00:00,GJ09X1112,OP481,Failed,0,
185::RACK-7::0143,ZONE-4::RACK-7::185::GJ07X3648,11,2025-07-05 00:00:00,GJ07X3648,OP535,In Transit,0,
285::RACK-7::0144,ZONE-4::RACK-7::285::GJ27X8741,14,2025-07-07 00:00:00,GJ27X8741,OP922,Delivered,0,
854::RACK-3::0145,ZONE-3::RACK-3::854::GJ09X1112,39,2025-07-06 00:00:00,GJ09X1112,OP336,Delivered,0,
854::RACK-3::0146,ZONE-3::RACK-3::854::GJ16X7539,43,2025-07-08 00:00:00,GJ16X7539,OP527,Delivered,0,
285::RACK-7::0147,ZONE-4::RACK-7::285::GJ03X5022,32,2025-07-06 00:00:00,GJ03X5022,OP420,In Transit,0,
185::RACK-7::0148,ZONE-4::RACK-7::185::GJ23X7398,29,2025-07-07 00:00:00,GJ23X7398,OP912,Delayed,0,
795::RACK-7::0149,ZONE-4::RACK-7::795::GJ13X2230,2,2025-07-07 00:00:00,GJ13X2230,OP403,Failed,0,
384::RACK-5::0150,ZONE-2::RACK-5::384::GJ09X8395,49,2025-07-05 00:00:00,GJ09X8395,OP359,Delayed,0,
384::RACK-6::0151,ZONE-2::RACK-6::384::GJ26X6532,10,2025-07-05 00:00:00,GJ26X6532,OP196,Delayed,1,Operator Error
434::RACK-8::0152,ZONE-4::RACK-8::434::GJ14X8889,9,2025-07-04 00:00:00,GJ14X8889,OP967,Failed,0,
185::RACK-8::0153,ZONE-4::RACK-8::185::GJ15X4430,4,2025-07-04 00:00:00,GJ15X4430,OP300,In Transit,0,
854::RACK-3::0154,ZONE-3::RACK-3::854::GJ15X4384,2,2025-07-06 00:00:00,GJ15X4384,OP322,Failed,1,Weather
185::RACK-8::0155,ZONE-4::RACK-8::185::GJ24X1949,25,2025-07-06 00:00:00,GJ24X1949,OP360,Failed,1,Weather
285::RACK-8::0156,ZONE-4::RACK-8::285::GJ16X7539,23,2025-07-05 00:00:00,GJ16X7539,OP886,Delivered,0,
295::RACK-7::0157,ZONE-1::RACK-7::295::GJ11X7822,28,2025-07-07 00:00:00,GJ11X7822,OP844,Failed,0,
795::RACK-8::0158,ZONE-4::RACK-8::795::GJ03X9079,41,2025-07-06 00:00:00,GJ03X9079,OP678,Failed,0,
295::RACK-7::0159,ZONE-1::RACK-7::295::GJ15X3297,20,2025-07-05 00:00:00,GJ15X3297,OP531,Delivered,0,
795::RACK-9::0160,ZONE-4::RACK-9::795::GJ11X9080,50,2025-07-04 00:00:00,GJ11X9080,OP629,Delayed,0,
384::RACK-6::0161,ZONE-2::RACK-6::384::GJ03X5022,39,2025-07-06 00:00:00,GJ03X5022,OP992,In Transit,0,
795::RACK-9::0162,ZONE-4::RACK-9::795::GJ16X6108,8,2025-07-07 00:00:00,GJ16X6108,OP542,Failed,0,
795::RACK-9::0163,ZONE-4::RACK-9::795::GJ17X8304,21,2025-07-04 00:00:00,GJ17X8304,OP920,In Transit,0,
384::RACK-6::0164,ZONE-2::RACK-6::384::GJ06X5907,29,2025-07-06 00:00:00,GJ06X5907,OP693,In Transit,0,
285::RACK-9::0165,ZONE-4::RACK-9::285::GJ16X6108,40,2025-07-07 00:00:00,GJ16X6108,OP758,In Transit,0,
795::RACK-9::0166,ZONE-4::RACK-9::795::GJ23X1598,47,2025-07-06 00:00:00,GJ23X1598,OP323,In Transit,0,
295::RACK-7::0167,ZONE-1::RACK-7::295::GJ06X5907,21,2025-07-07 00:00:00,GJ06X5907,OP149,Delivered,0,
185::RACK-10::0168,ZONE-4::RACK-10::185::GJ23X5185,16,2025-07-03 00:00:00,GJ23X5185,OP498,Failed,1,Operator Error
285::RACK-10::0169,ZONE-4::RACK-10::285::GJ06X8468,7,2025-07-04 00:00:00,GJ06X8468,OP613,Delivered,0,
285::RACK-10::0170,ZONE-4::RACK-10::285::GJ15X3465,27,2025-07-06 00:00:00,GJ15X3465,OP136,Failed,1,Traffic
789::RACK-7::0171,ZONE-1::RACK-7::789::GJ13X2230,23,2025-07-06 00:00:00,GJ13X2230,OP741,Failed,0,
795::RACK-10::0172,ZONE-4::RACK-10::795::GJ07X6453,39,2025-07-09 00:00:00,GJ07X6453,OP460,Delivered,0,
789::RACK-7::0173,ZONE-1::RACK-7::789::GJ23X7398,36,2025-07-04 00:00:00,GJ23X7398,OP524,Failed,1,Depot Overflow
854::RACK-3::0174,ZONE-3::RACK-3::854::GJ21X9440,43,2025-07-05 00:00:00,GJ21X9440,OP103,Failed,0,
295::RACK-8::0175,ZONE-1::RACK-8::295::GJ25X9157,19,2025-07-04 00:00:00,GJ25X9157,OP333,Failed,0,
285::RACK-10::0176,ZONE-4::RACK-10::285::GJ29X9603,13,2025-07-06 00:00:00,GJ29X9603,OP819,Failed,0,
285::RACK-1::0177,ZONE-4::RACK-1::285::GJ27X4732,9,2025-07-08 00:00:00,GJ27X4732,OP271,Delivered,0,
384::RACK-6::0178,ZONE-2::RACK-6::384::GJ17X8039,13,2025-07-03 00:00:00,GJ17X8039,OP572,Delayed,1,Depot Overflow
185::RACK-1::0179,ZONE-4::RACK-1::185::GJ25X9157,4,2025-07-05 00:00:00,GJ25X9157,OP166,Failed,0,
434::RACK-1::0180,ZONE-4::RACK-1::434::GJ10X3428,27,2025-07-06 00:00:00,GJ10X3428,OP197,Delayed,0,
854::RACK-3::0181,ZONE-3::RACK-3::854::GJ13X7840,28,2025-07-07 00:00:00,GJ13X7840,OP699,Delivered,0,
295::RACK-8::0182,ZONE-1::RACK-8::295::GJ03X4067,5,2025-07-05 00:00:00,GJ03X4067,OP844,Delayed,1,Logistics
854::RACK-4::0183,ZONE-3::RACK-4::854::GJ15X2258,37,2025-07-03 00:00:00,GJ15X2258,OP734,Delivered,0,
795::RACK-1::0184,ZONE-4::RACK-1::795::GJ15X4430,44,2025-07-05 00:00:00,GJ15X4430,OP322,Delivered,0,
795::RACK-1::0185,ZONE-4::RACK-1::795::GJ30X8944,35,2025-07-07 00:00:00,GJ30X8944,OP919,Delivered,0,
384::RACK-6::0186,ZONE-2::RACK-6::384::GJ25X9719,41,2025-07-03 00:00:00,GJ25X9719,OP919,Delayed,0,
384::RACK-7::0187,ZONE-2::RACK-7::384::GJ05X2776,47,2025-07-05 00:00:00,GJ05X2776,OP507,In Transit,0,
795::RACK-2::0188,ZONE-4::RACK-2::795::GJ26X3703,44,2025-07-07 00:00:00,GJ26X3703,OP119,In Transit,0,
295::RACK-8::0189,ZONE-1::RACK-8::295::GJ21X5017,17,2025-07-04 00:00:00,GJ21X5017,OP641,Failed,0,
789::RACK-8::0190,ZONE-1::RACK-8::789::GJ11X9382,11,2025-07-06 00:00:00,GJ11X9382,OP655,Delivered,0,
185::RACK-2::0191,ZONE-4::RACK-2::185::GJ10X3428,25,2025-07-07 00:00:00,GJ10X3428,OP683,Failed,1,Traffic
295::RACK-8::0192,ZONE-1::RACK-8::295::GJ24X8239,19,2025-07-04 00:00:00,GJ24X8239,OP189,Delivered,0,
434::RACK-2::0193,ZONE-4::RACK-2::434::GJ16X5358,22,2025-07-05 00:00:00,GJ16X5358,OP481,Delayed,0,
185::RACK-2::0194,ZONE-4::RACK-2::185::GJ11X5333,17,2025-07-07 00:00:00,GJ11X5333,OP431,Delivered,0,
295::RACK-9::0195,ZONE-1::RACK-9::295::GJ21X8382,27,2025-07-03 00:00:00,GJ21X8382,OP347,Failed,1,Logistics
795::RACK-2::0196,ZONE-4::RACK-2::795::GJ16X6108,30,2025-07-06 00:00:00,GJ16X6108,OP260,Delayed,1,Logistics
434::RACK-3::0197,ZONE-4::RACK-3::434::GJ23X5793,36,2025-07-06 00:00:00,GJ23X5793,OP488,Delivered,0,
