Transport_ID,Dispatched_Quantity,Vehicle_Type,Route_Type,Start_Location,End_Location,Estimated_Transit_Days,Status
ZONE-4::RACK-9::434::GJ15X4723::General,0,General,InterState,Surat,Surat,13,Scheduled
ZONE-2::RACK-2::384::GJ03X4858::Specialised,0,Specialised,InterState,Surat,Baroda,12,Scheduled
ZONE-4::RACK-9::795::GJ02X6383::General,0,General,InterState,Rajkot,Ahmedabad,9,Scheduled
ZONE-2::RACK-2::384::GJ03X7424::Specialised,0,Specialised,Intercity,Ahmedabad,Rajkot,6,Scheduled
ZONE-4::RACK-10::185::GJ18X3994::General,0,General,InterState,Ahmedabad,Ahmedabad,6,Scheduled
ZONE-3::RACK-2::854::GJ23X8514::Specialised,0,Specialised,InterState,Surat,Mumbai,10,Scheduled
ZONE-4::RACK-10::285::GJ27X8741::General,0,General,Intercity,Surat,Surat,7,Scheduled
ZONE-4::RACK-10::285::GJ03X9079::General,0,General,InterState,Mumbai,Jaipur,6,Scheduled
ZONE-3::RACK-2::854::GJ15X6806::Specialised,0,Specialised,Intercity,Mumbai,Baroda,5,Scheduled
ZONE-4::RACK-10::285::GJ28X9659::General,0,General,Intercity,Surat,Rajkot,4,Scheduled
ZONE-2::RACK-3::384::GJ06X1549::Specialised,0,Specialised,InterState,Surat,Ahmedabad,12,Scheduled
ZONE-2::RACK-3::384::GJ23X4559::Specialised,0,Specialised,InterState,Jaipur,Baroda,10,Scheduled
ZONE-2::RACK-3::384::GJ07X1011::Specialised,0,Specialised,InterState,Rajkot,Mumbai,13,Scheduled
ZONE-4::RACK-10::185::GJ11X9080::General,0,General,InterState,Ahmedabad,Jaipur,13,Scheduled
ZONE-1::RACK-4::789::GJ12X2891::Specialised,0,Specialised,Intercity,Mumbai,Mumbai,7,Scheduled
ZONE-2::RACK-3::384::GJ14X1705::Specialised,0,Specialised,InterState,Mumbai,Ahmedabad,5,Scheduled
ZONE-4::RACK-1::185::GJ07X1921::General,0,General,Intercity,Rajkot,Rajkot,4,Scheduled
ZONE-1::RACK-4::295::GJ04X2021::Specialised,0,Specialised,Intercity,Surat,Baroda,3,Scheduled
ZONE-1::RACK-4::789::GJ05X5064::Specialised,0,Specialised,Intercity,Surat,Jaipur,5,Scheduled
ZONE-2::RACK-3::384::GJ27X7409::Specialised,0,Specialised,InterState,Baroda,Ahmedabad,6,Scheduled
ZONE-4::RACK-1::285::GJ23X8925::General,0,General,InterState,Rajkot,Jaipur,13,Scheduled
ZONE-2::RACK-4::384::GJ01X2039::Specialised,0,Specialised,InterState,Mumbai,Mumbai,8,Scheduled
ZONE-4::RACK-1::185::GJ23X5793::General,0,General,InterState,Mumbai,Surat,11,Scheduled
ZONE-4::RACK-1::185::GJ26X6532::General,0,General,InterState,Baroda,Jaipur,8,Scheduled
ZONE-4::RACK-1::285::GJ28X5690::General,0,General,InterState,Mumbai,Mumbai,15,Scheduled
ZONE-2::RACK-4::384::GJ01X1085::Specialised,0,Specialised,Intercity,Ahmedabad,Mumbai,7,Scheduled
ZONE-4::RACK-2::434::GJ11X7822::General,0,General,Intercity,Rajkot,Baroda,4,Scheduled
ZONE-2::RACK-4::384::GJ12X5063::Specialised,0,Specialised,Intercity,Surat,Jaipur,7,Scheduled
ZONE-4::RACK-2::185::GJ23X5185::General,0,General,Intercity,Baroda,Rajkot,4,Scheduled
ZONE-2::RACK-4::384::GJ21X8382::Specialised,0,Specialised,InterState,Mumbai,Mumbai,10,Scheduled
ZONE-2::RACK-4::384::GJ27X2754::Specialised,0,Specialised,Intercity,Surat,Surat,5,Scheduled
ZONE-2::RACK-5::384::GJ23X5465::Specialised,0,Specialised,InterState,Mumbai,Mumbai,15,Scheduled
ZONE-4::RACK-2::185::GJ09X7005::General,0,General,InterState,Mumbai,Rajkot,12,Scheduled
ZONE-4::RACK-2::185::GJ23X7398::General,0,General,InterState,Surat,Baroda,14,Scheduled
ZONE-4::RACK-2::434::GJ21X7971::General,0,General,InterState,Jaipur,Jaipur,10,Scheduled
ZONE-1::RACK-5::295::GJ30X6044::Specialised,0,Specialised,InterState,Baroda,Mumbai,8,Scheduled
ZONE-4::RACK-3::434::GJ09X1112::General,0,General,InterState,Ahmedabad,Jaipur,8,Scheduled
ZONE-4::RACK-3::185::GJ03X5014::General,0,General,Intercity,Rajkot,Jaipur,3,Scheduled
ZONE-4::RACK-3::795::GJ21X9440::General,0,General,Intercity,Baroda,Rajkot,6,Scheduled
ZONE-2::RACK-5::384::GJ19X5713::Specialised,0,Specialised,Intercity,Jaipur,Surat,6,Scheduled
ZONE-4::RACK-3::434::GJ04X6241::General,0,General,Intercity,Mumbai,Surat,5,Scheduled
ZONE-4::RACK-3::795::GJ17X8039::General,0,General,InterState,Surat,Ahmedabad,12,Scheduled
ZONE-1::RACK-5::295::GJ14X1053::Specialised,0,Specialised,Intercity,Baroda,Baroda,6,Scheduled
ZONE-4::RACK-4::795::GJ03X3136::General,0,General,Intercity,Baroda,Jaipur,2,Scheduled
ZONE-4::RACK-4::185::GJ14X7289::General,0,General,InterState,Ahmedabad,Ahmedabad,5,Scheduled
ZONE-4::RACK-4::285::GJ01X7726::General,0,General,Intercity,Jaipur,Surat,4,Scheduled
ZONE-4::RACK-4::285::GJ07X3009::General,0,General,Intercity,Mumbai,Rajkot,5,Scheduled
ZONE-2::RACK-5::384::GJ01X4053::Specialised,0,Specialised,InterState,Baroda,Ahmedabad,15,Scheduled
ZONE-1::RACK-5::295::GJ08X2709::Specialised,0,Specialised,InterState,Ahmedabad,Baroda,8,Scheduled
ZONE-1::RACK-5::789::GJ20X8820::Specialised,0,Specialised,Intercity,Mumbai,Ahmedabad,2,Scheduled
ZONE-4::RACK-4::185::GJ01X2097::General,0,General,Intercity,Surat,Rajkot,2,Scheduled
ZONE-2::RACK-5::384::GJ22X1394::Specialised,0,Specialised,Intercity,Rajkot,Mumbai,4,Scheduled
ZONE-4::RACK-5::285::GJ24X9408::General,0,General,InterState,Rajkot,Rajkot,7,Scheduled
ZONE-1::RACK-5::295::GJ06X6051::Specialised,0,Specialised,InterState,Ahmedabad,Surat,14,Scheduled
ZONE-4::RACK-5::434::GJ08X4506::General,0,General,Intercity,Surat,Mumbai,5,Scheduled
ZONE-1::RACK-6::789::GJ15X4430::Specialised,0,Specialised,Intercity,Baroda,Ahmedabad,5,Scheduled
ZONE-4::RACK-5::434::GJ24X3685::General,0,General,Intercity,Jaipur,Jaipur,7,Scheduled
ZONE-3::RACK-2::854::GJ16X5496::Specialised,0,Specialised,InterState,Mumbai,Jaipur,6,Scheduled
ZONE-1::RACK-6::295::GJ07X8970::Specialised,0,Specialised,InterState,Jaipur,Baroda,11,Scheduled
ZONE-1::RACK-6::789::GJ10X4612::Specialised,0,Specialised,InterState,Surat,Mumbai,13,Scheduled
ZONE-4::RACK-5::285::GJ01X9269::General,0,General,Intercity,Surat,Surat,7,Scheduled
ZONE-1::RACK-6::789::GJ17X7384::Specialised,0,Specialised,InterState,Mumbai,Mumbai,15,Scheduled
ZONE-3::RACK-2::854::GJ20X7043::Specialised,0,Specialised,Intercity,Baroda,Rajkot,4,Scheduled
ZONE-4::RACK-5::185::GJ21X5017::General,0,General,Intercity,Rajkot,Rajkot,5,Scheduled
ZONE-1::RACK-6::789::GJ02X4245::Specialised,0,Specialised,InterState,Rajkot,Baroda,5,Scheduled
ZONE-4::RACK-6::795::GJ18X2499::General,0,General,Intercity,Surat,Rajkot,2,Scheduled
ZONE-4::RACK-6::795::GJ23X1698::General,0,General,InterState,Baroda,Ahmedabad,13,Scheduled
ZONE-4::RACK-6::285::GJ12X3425::General,0,General,Intercity,Baroda,Rajkot,3,Scheduled
ZONE-3::RACK-2::854::GJ30X2371::Specialised,0,Specialised,Intercity,Rajkot,Surat,5,Scheduled
ZONE-4::RACK-6::285::GJ10X3256::General,0,General,Intercity,Ahmedabad,Rajkot,7,Scheduled
ZONE-4::RACK-6::285::GJ05X8172::General,0,General,InterState,Surat,Baroda,6,Scheduled
ZONE-4::RACK-7::185::GJ27X4558::General,0,General,Intercity,Baroda,Mumbai,5,Scheduled
ZONE-4::RACK-7::285::GJ26X4353::General,0,General,Intercity,Baroda,Rajkot,7,Scheduled
ZONE-3::RACK-3::854::GJ13X2230::Specialised,0,Specialised,InterState,Baroda,Rajkot,12,Scheduled
ZONE-3::RACK-3::854::GJ13X8172::Specialised,0,Specialised,InterState,Surat,Jaipur,14,Scheduled
ZONE-4::RACK-7::285::GJ13X7840::General,0,General,InterState,Mumbai,Ahmedabad,7,Scheduled
ZONE-4::RACK-7::185::GJ09X3787::General,0,General,Intercity,Rajkot,Jaipur,5,Scheduled
ZONE-4::RACK-7::795::GJ12X5328::General,0,General,InterState,Surat,Jaipur,5,Scheduled
ZONE-2::RACK-5::384::GJ07X3648::Specialised,0,Specialised,InterState,Mumbai,Mumbai,9,Scheduled
ZONE-2::RACK-6::384::GJ08X3513::Specialised,0,Specialised,Intercity,Jaipur,Mumbai,6,Scheduled
ZONE-4::RACK-8::434::GJ14X9412::General,0,General,InterState,Ahmedabad,Mumbai,6,Scheduled
ZONE-4::RACK-8::185::GJ11X2202::General,0,General,InterState,Jaipur,Surat,8,Scheduled
ZONE-3::RACK-3::854::GJ19X6467::Specialised,0,Specialised,InterState,Mumbai,Mumbai,14,Scheduled
ZONE-4::RACK-8::185::GJ30X6985::General,0,General,InterState,Surat,Baroda,9,Scheduled
ZONE-4::RACK-8::285::GJ11X1934::General,0,General,InterState,Rajkot,Jaipur,8,Scheduled
ZONE-1::RACK-7::295::GJ28X8907::Specialised,0,Specialised,InterState,Ahmedabad,Baroda,7,Scheduled
ZONE-4::RACK-8::795::GJ29X6793::General,0,General,Intercity,Jaipur,Baroda,7,Scheduled
ZONE-1::RACK-7::295::GJ05X6194::Specialised,0,Specialised,InterState,Rajkot,Surat,10,Scheduled
ZONE-4::RACK-9::795::GJ11X8049::General,0,General,Intercity,Surat,Baroda,5,Scheduled
ZONE-2::RACK-6::384::GJ24X6673::Specialised,0,Specialised,Intercity,Surat,Ahmedabad,7,Scheduled
ZONE-4::RACK-9::795::GJ05X5328::General,0,General,InterState,Baroda,Baroda,8,Scheduled
ZONE-4::RACK-9::795::GJ13X6948::General,0,General,Intercity,Ahmedabad,Rajkot,5,Scheduled
ZONE-2::RACK-6::384::GJ22X7532::Specialised,0,Specialised,Intercity,Ahmedabad,Surat,7,Scheduled
ZONE-4::RACK-9::285::GJ14X8855::General,0,General,InterState,Rajkot,Jaipur,6,Scheduled
ZONE-4::RACK-9::795::GJ29X6133::General,0,General,Intercity,Mumbai,Baroda,2,Scheduled
ZONE-1::RACK-7::295::GJ13X9573::Specialised,0,Specialised,Intercity,Jaipur,Baroda,4,Scheduled
ZONE-4::RACK-10::185::GJ11X9382::General,0,General,Intercity,Surat,Surat,4,Scheduled
ZONE-4::RACK-10::285::GJ15X2258::General,0,General,InterState,Ahmedabad,Rajkot,8,Scheduled
ZONE-4::RACK-10::285::GJ14X5369::General,0,General,InterState,Mumbai,Ahmedabad,10,Scheduled
ZONE-1::RACK-7::789::GJ30X4177::Specialised,0,Specialised,Intercity,Jaipur,Mumbai,7,Scheduled
ZONE-4::RACK-10::795::GJ26X3703::General,0,General,InterState,Baroda,Rajkot,14,Scheduled
ZONE-1::RACK-7::789::GJ27X7102::Specialised,0,Specialised,InterState,Baroda,Surat,12,Scheduled
ZONE-3::RACK-3::854::GJ15X4384::Specialised,0,Specialised,Intercity,Mumbai,Jaipur,2,Scheduled
ZONE-1::RACK-8::295::GJ21X7008::Specialised,0,Specialised,Intercity,Ahmedabad,Surat,4,Scheduled
ZONE-4::RACK-10::285::GJ05X6015::General,0,General,Intercity,Ahmedabad,Rajkot,5,Scheduled
ZONE-4::RACK-1::285::GJ01X1573::General,0,General,Intercity,Mumbai,Surat,2,Scheduled
ZONE-2::RACK-6::384::GJ16X7961::Specialised,0,Specialised,Intercity,Surat,Ahmedabad,3,Scheduled
ZONE-4::RACK-1::185::GJ25X9719::General,0,General,InterState,Baroda,Ahmedabad,12,Scheduled
ZONE-4::RACK-1::434::GJ05X6667::General,0,General,InterState,Baroda,Rajkot,6,Scheduled
ZONE-3::RACK-3::854::GJ30X4471::Specialised,0,Specialised,Intercity,Baroda,Ahmedabad,7,Scheduled
ZONE-1::RACK-8::295::GJ06X9871::Specialised,0,Specialised,InterState,Rajkot,Surat,8,Scheduled
ZONE-3::RACK-4::854::GJ14X8889::Specialised,0,Specialised,InterState,Ahmedabad,Rajkot,15,Scheduled
ZONE-4::RACK-1::795::GJ17X8304::General,0,General,Intercity,Ahmedabad,Mumbai,2,Scheduled
ZONE-4::RACK-1::795::GJ16X7539::General,0,General,Intercity,Surat,Mumbai,2,Scheduled
ZONE-2::RACK-6::384::GJ10X5561::Specialised,0,Specialised,InterState,Mumbai,Baroda,12,Scheduled
ZONE-2::RACK-7::384::GJ17X2836::Specialised,0,Specialised,Intercity,Surat,Surat,5,Scheduled
ZONE-4::RACK-2::795::GJ26X7609::General,0,General,InterState,Surat,Mumbai,8,Scheduled
ZONE-1::RACK-8::295::GJ08X2500::Specialised,0,Specialised,InterState,Ahmedabad,Ahmedabad,5,Scheduled
ZONE-1::RACK-8::789::GJ28X9107::Specialised,0,Specialised,InterState,Ahmedabad,Baroda,8,Scheduled
ZONE-4::RACK-2::185::GJ11X4850::General,0,General,Intercity,Ahmedabad,Baroda,3,Scheduled
ZONE-1::RACK-8::295::GJ27X9363::Specialised,0,Specialised,Intercity,Baroda,Jaipur,4,Scheduled
ZONE-4::RACK-2::434::GJ04X1613::General,0,General,InterState,Surat,Rajkot,13,Scheduled
ZONE-4::RACK-2::185::GJ16X5358::General,0,General,Intercity,Baroda,Jaipur,4,Scheduled
ZONE-1::RACK-9::295::GJ03X5022::Specialised,0,Specialised,InterState,Mumbai,Jaipur,15,Scheduled
ZONE-4::RACK-2::795::GJ25X8456::General,0,General,InterState,Baroda,Baroda,8,Scheduled
ZONE-4::RACK-3::434::GJ06X9142::General,0,General,InterState,Surat,Mumbai,15,Scheduled
ZONE-3::RACK-4::854::GJ15X3465::Specialised,0,Specialised,InterState,Ahmedabad,Mumbai,14,Scheduled
ZONE-4::RACK-3::795::GJ22X5898::General,0,General,Intercity,Surat,Baroda,2,Scheduled
ZONE-4::RACK-3::434::GJ18X6865::General,0,General,Intercity,Mumbai,Baroda,2,Scheduled
ZONE-4::RACK-3::285::GJ03X4067::General,0,General,Intercity,Jaipur,Surat,3,Scheduled
ZONE-4::RACK-3::185::GJ29X3199::General,0,General,Intercity,Mumbai,Mumbai,3,Scheduled
ZONE-4::RACK-4::185::GJ12X1758::General,0,General,InterState,Ahmedabad,Ahmedabad,12,Scheduled
ZONE-4::RACK-4::795::GJ27X4732::General,0,General,Intercity,Ahmedabad,Ahmedabad,2,Scheduled
ZONE-3::RACK-4::854::GJ27X1769::Specialised,0,Specialised,Intercity,Surat,Baroda,2,Scheduled
ZONE-4::RACK-4::434::GJ24X6532::General,0,General,Intercity,Baroda,Ahmedabad,4,Scheduled
ZONE-4::RACK-4::434::GJ05X2776::General,0,General,Intercity,Rajkot,Rajkot,5,Scheduled
ZONE-4::RACK-4::795::GJ21X4763::General,0,General,Intercity,Mumbai,Mumbai,2,Scheduled
ZONE-4::RACK-5::285::GJ24X6892::General,0,General,InterState,Jaipur,Rajkot,8,Scheduled
ZONE-4::RACK-5::185::GJ10X5398::General,0,General,InterState,Baroda,Ahmedabad,10,Scheduled
ZONE-4::RACK-5::285::GJ19X5382::General,0,General,InterState,Mumbai,Mumbai,9,Scheduled
ZONE-4::RACK-5::795::GJ18X9809::General,0,General,Intercity,Ahmedabad,Baroda,2,Scheduled
ZONE-2::RACK-7::384::GJ06X1200::Specialised,0,Specialised,InterState,Ahmedabad,Ahmedabad,9,Scheduled
ZONE-4::RACK-5::285::GJ13X1303::General,0,General,Intercity,Baroda,Baroda,6,Scheduled
ZONE-4::RACK-6::285::GJ28X6836::General,0,General,InterState,Jaipur,Rajkot,6,Scheduled
ZONE-4::RACK-6::285::GJ10X5068::General,0,General,Intercity,Jaipur,Mumbai,6,Scheduled
ZONE-4::RACK-6::285::GJ10X2304::General,0,General,Intercity,Baroda,Baroda,5,Scheduled
ZONE-4::RACK-6::285::GJ14X5845::General,0,General,Intercity,Surat,Jaipur,3,Scheduled
ZONE-4::RACK-6::795::GJ17X3593::General,0,General,Intercity,Ahmedabad,Baroda,7,Scheduled
ZONE-4::RACK-7::285::GJ15X5149::General,0,General,InterState,Mumbai,Mumbai,13,Scheduled
ZONE-4::RACK-7::285::GJ08X8689::General,0,General,InterState,Ahmedabad,Surat,10,Scheduled
ZONE-3::RACK-4::854::GJ17X5492::Specialised,0,Specialised,InterState,Mumbai,Jaipur,5,Scheduled
ZONE-3::RACK-4::854::GJ09X8395::Specialised,0,Specialised,Intercity,Rajkot,Rajkot,7,Scheduled
ZONE-4::RACK-7::185::GJ11X9180::General,0,General,Intercity,Baroda,Surat,4,Scheduled
ZONE-2::RACK-7::384::GJ16X6108::Specialised,0,Specialised,Intercity,Surat,Mumbai,4,Scheduled
ZONE-2::RACK-7::384::GJ15X2279::Specialised,0,Specialised,Intercity,Rajkot,Baroda,2,Scheduled
ZONE-2::RACK-7::384::GJ30X3926::Specialised,0,Specialised,Intercity,Surat,Rajkot,2,Scheduled
ZONE-2::RACK-8::384::GJ27X6555::Specialised,0,Specialised,Intercity,Rajkot,Surat,5,Scheduled
ZONE-1::RACK-9::789::GJ08X1229::Specialised,0,Specialised,InterState,Surat,Mumbai,14,Scheduled
ZONE-4::RACK-7::185::GJ24X1949::General,0,General,InterState,Baroda,Baroda,5,Scheduled
ZONE-3::RACK-5::854::GJ28X7060::Specialised,0,Specialised,Intercity,Baroda,Mumbai,4,Scheduled
ZONE-4::RACK-7::185::GJ25X5218::General,0,General,InterState,Rajkot,Baroda,8,Scheduled
ZONE-1::RACK-9::295::GJ15X1880::Specialised,0,Specialised,Intercity,Surat,Ahmedabad,6,Scheduled
ZONE-2::RACK-8::384::GJ04X2060::Specialised,0,Specialised,InterState,Baroda,Rajkot,7,Scheduled
ZONE-1::RACK-9::789::GJ11X5333::Specialised,0,Specialised,Intercity,Mumbai,Baroda,4,Scheduled
ZONE-4::RACK-8::285::GJ30X2401::General,0,General,InterState,Jaipur,Jaipur,10,Scheduled
ZONE-1::RACK-9::789::GJ12X6087::Specialised,0,Specialised,InterState,Rajkot,Mumbai,7,Scheduled
ZONE-4::RACK-8::285::GJ11X5102::General,0,General,Intercity,Rajkot,Baroda,2,Scheduled
ZONE-1::RACK-10::295::GJ14X3727::Specialised,0,Specialised,InterState,Jaipur,Surat,6,Scheduled
ZONE-1::RACK-10::295::GJ04X5804::Specialised,0,Specialised,InterState,Jaipur,Rajkot,12,Scheduled
ZONE-4::RACK-8::795::GJ28X7704::General,0,General,InterState,Rajkot,Ahmedabad,15,Scheduled
ZONE-1::RACK-10::295::GJ14X3279::Specialised,0,Specialised,Intercity,Surat,Rajkot,5,Scheduled
ZONE-3::RACK-5::854::GJ06X8468::Specialised,0,Specialised,InterState,Jaipur,Surat,13,Scheduled
ZONE-4::RACK-8::434::GJ23X1668::General,0,General,InterState,Jaipur,Mumbai,10,Scheduled
ZONE-4::RACK-8::285::GJ30X9209::General,0,General,Intercity,Rajkot,Mumbai,6,Scheduled
ZONE-4::RACK-9::434::GJ15X3297::General,0,General,InterState,Ahmedabad,Ahmedabad,6,Scheduled
ZONE-4::RACK-9::285::GJ26X5488::General,0,General,Intercity,Mumbai,Baroda,3,Scheduled
