Storage_ID,Product_ID,Rack_Location,Zone,Stored_Quantity,FIFO_Flag
ZONE-4:RACK-1:287,VIT-1093-B38-285,RACK-1,ZONE-4,51,1
ZONE-2:RACK-4:384,IMM-1094-B48-384,RACK-4,ZONE-2,109,1
ZONE-4:RACK-1:187,DIG-1095-B54-185,RACK-1,ZONE-4,130,1
ZONE-4:RACK-1:188,DIG-1096-B88-185,RACK-1,ZONE-4,76,1
ZONE-4:RACK-1:288,VIT-1097-B62-285,RACK-1,ZONE-4,195,1
ZONE-2:RACK-4:385,IMM-1098-B84-384,RACK-4,ZONE-2,51,1
ZONE-4:RACK-2:436,SUP-1099-B65-434,RACK-2,ZONE-4,126,1
ZONE-2:RACK-4:386,IMM-1100-B65-384,RACK-4,ZONE-2,123,1
ZONE-4:RACK-2:187,DIG-1101-B51-185,RACK-2,ZONE-4,126,1
ZONE-2:RACK-4:387,IMM-1102-B87-384,RACK-4,ZONE-2,70,1
ZONE-2:RACK-4:388,IMM-1103-B54-384,RACK-4,ZONE-2,128,1
ZONE-2:RACK-5:384,IMM-1104-B95-384,RACK-5,ZONE-2,171,1
ZONE-4:RACK-2:188,DIG-1105-B99-185,RACK-2,ZONE-4,108,1
ZONE-4:RACK-2:189,DIG-1106-B45-185,RACK-2,ZONE-4,89,1
ZONE-4:RACK-2:437,SUP-1107-B27-434,RACK-2,ZONE-4,87,1
ZONE-1:RACK-5:295,ANT-1108-B50-295,RACK-5,ZONE-1,134,1
ZONE-4:RACK-3:437,SUP-1109-B96-434,RACK-3,ZONE-4,95,1
ZONE-4:RACK-3:186,DIG-1110-B95-185,RACK-3,ZONE-4,50,1
ZONE-4:RACK-3:796,DEW-1111-B24-795,RACK-3,ZONE-4,138,1
ZONE-2:RACK-5:385,IMM-1112-B53-384,RACK-5,ZONE-2,53,1
ZONE-4:RACK-3:438,SUP-1113-B22-434,RACK-3,ZONE-4,148,1
ZONE-4:RACK-3:797,DEW-1114-B47-795,RACK-3,ZONE-4,163,1
ZONE-1:RACK-5:296,ANT-1115-B91-295,RACK-5,ZONE-1,120,1
ZONE-4:RACK-4:796,DEW-1116-B83-795,RACK-4,ZONE-4,105,1
ZONE-4:RACK-4:186,DIG-1117-B90-185,RACK-4,ZONE-4,91,1
ZONE-4:RACK-4:287,VIT-1118-B39-285,RACK-4,ZONE-4,129,1
ZONE-4:RACK-4:288,VIT-1119-B87-285,RACK-4,ZONE-4,53,1
ZONE-2:RACK-5:386,IMM-1120-B75-384,RACK-5,ZONE-2,132,1
ZONE-1:RACK-5:297,ANT-1121-B48-295,RACK-5,ZONE-1,78,1
ZONE-1:RACK-5:789,ANT-1122-B15-789,RACK-5,ZONE-1,135,1
ZONE-4:RACK-4:187,DIG-1123-B59-185,RACK-4,ZONE-4,193,1
ZONE-2:RACK-5:387,IMM-1124-B91-384,RACK-5,ZONE-2,101,1
ZONE-4:RACK-5:285,VIT-1125-B41-285,RACK-5,ZONE-4,118,1
ZONE-1:RACK-5:298,ANT-1126-B95-295,RACK-5,ZONE-1,181,1
ZONE-4:RACK-5:437,SUP-1127-B14-434,RACK-5,ZONE-4,113,1
ZONE-1:RACK-6:789,ANT-1128-B55-789,RACK-6,ZONE-1,190,1
ZONE-4:RACK-5:438,SUP-1129-B62-434,RACK-5,ZONE-4,89,1
ZONE-3:RACK-2:856,TOP-1130-B59-854,RACK-2,ZONE-3,83,1
ZONE-1:RACK-6:295,ANT-1131-B48-295,RACK-6,ZONE-1,67,1
ZONE-1:RACK-6:790,ANT-1132-B36-789,RACK-6,ZONE-1,86,1
ZONE-4:RACK-5:286,VIT-1133-B99-285,RACK-5,ZONE-4,151,1
ZONE-1:RACK-6:791,ANT-1134-B35-789,RACK-6,ZONE-1,54,1
ZONE-3:RACK-2:857,TOP-1135-B83-854,RACK-2,ZONE-3,81,1
ZONE-4:RACK-5:185,DIG-1136-B31-185,RACK-5,ZONE-4,156,1
ZONE-1:RACK-6:792,ANT-1137-B85-789,RACK-6,ZONE-1,67,1
ZONE-4:RACK-6:796,DEW-1138-B28-795,RACK-6,ZONE-4,79,1
ZONE-4:RACK-6:797,DEW-1139-B95-795,RACK-6,ZONE-4,81,1
ZONE-4:RACK-6:287,VIT-1140-B91-285,RACK-6,ZONE-4,117,1
ZONE-3:RACK-2:858,TOP-1141-B54-854,RACK-2,ZONE-3,118,1
ZONE-4:RACK-6:288,VIT-1142-B41-285,RACK-6,ZONE-4,114,1
ZONE-4:RACK-6:289,VIT-1143-B77-285,RACK-6,ZONE-4,199,1
ZONE-4:RACK-7:186,DIG-1144-B87-185,RACK-7,ZONE-4,169,1
ZONE-4:RACK-7:287,VIT-1145-B35-285,RACK-7,ZONE-4,69,1
ZONE-3:RACK-3:854,TOP-1146-B44-854,RACK-3,ZONE-3,153,1
ZONE-3:RACK-3:855,TOP-1147-B39-854,RACK-3,ZONE-3,126,1
ZONE-4:RACK-7:288,VIT-1148-B66-285,RACK-7,ZONE-4,59,1
ZONE-4:RACK-7:187,DIG-1149-B57-185,RACK-7,ZONE-4,114,1
ZONE-4:RACK-7:795,DEW-1150-B89-795,RACK-7,ZONE-4,69,1
ZONE-2:RACK-5:388,IMM-1151-B76-384,RACK-5,ZONE-2,53,1
ZONE-2:RACK-6:384,IMM-1152-B47-384,RACK-6,ZONE-2,57,1
ZONE-4:RACK-8:436,SUP-1153-B34-434,RACK-8,ZONE-4,101,1
ZONE-4:RACK-8:186,DIG-1154-B29-185,RACK-8,ZONE-4,100,1
ZONE-3:RACK-3:856,TOP-1155-B43-854,RACK-3,ZONE-3,91,1
ZONE-4:RACK-8:187,DIG-1156-B51-185,RACK-8,ZONE-4,57,1
ZONE-4:RACK-8:286,VIT-1157-B96-285,RACK-8,ZONE-4,145,1
ZONE-1:RACK-7:295,ANT-1158-B48-295,RACK-7,ZONE-1,63,1
ZONE-4:RACK-8:796,DEW-1159-B80-795,RACK-8,ZONE-4,82,1
ZONE-1:RACK-7:296,ANT-1160-B12-295,RACK-7,ZONE-1,109,1
ZONE-4:RACK-9:797,DEW-1161-B12-795,RACK-9,ZONE-4,61,1
ZONE-2:RACK-6:385,IMM-1162-B41-384,RACK-6,ZONE-2,103,1
ZONE-4:RACK-9:798,DEW-1163-B50-795,RACK-9,ZONE-4,104,1
ZONE-4:RACK-9:799,DEW-1164-B84-795,RACK-9,ZONE-4,66,1
ZONE-2:RACK-6:386,IMM-1165-B10-384,RACK-6,ZONE-2,121,1
ZONE-4:RACK-9:286,VIT-1166-B12-285,RACK-9,ZONE-4,128,1
ZONE-4:RACK-9:800,DEW-1167-B14-795,RACK-9,ZONE-4,198,1
ZONE-1:RACK-7:297,ANT-1168-B28-295,RACK-7,ZONE-1,94,1
ZONE-4:RACK-10:187,DIG-1169-B40-185,RACK-10,ZONE-4,171,1
ZONE-4:RACK-10:288,VIT-1170-B18-285,RACK-10,ZONE-4,95,1
ZONE-4:RACK-10:289,VIT-1171-B66-285,RACK-10,ZONE-4,150,1
ZONE-1:RACK-7:789,ANT-1172-B25-789,RACK-7,ZONE-1,190,1
ZONE-4:RACK-10:795,DEW-1173-B47-795,RACK-10,ZONE-4,111,1
ZONE-1:RACK-7:790,ANT-1174-B28-789,RACK-7,ZONE-1,109,1
ZONE-3:RACK-3:857,TOP-1175-B69-854,RACK-3,ZONE-3,83,1
ZONE-1:RACK-8:295,ANT-1176-B36-295,RACK-8,ZONE-1,75,1
ZONE-4:RACK-10:290,VIT-1177-B51-285,RACK-10,ZONE-4,129,1
ZONE-4:RACK-1:289,VIT-1178-B91-285,RACK-1,ZONE-4,182,1
ZONE-2:RACK-6:387,IMM-1179-B72-384,RACK-6,ZONE-2,141,1
ZONE-4:RACK-1:189,DIG-1180-B30-185,RACK-1,ZONE-4,129,1
ZONE-4:RACK-1:435,SUP-1181-B24-434,RACK-1,ZONE-4,173,1
ZONE-3:RACK-3:858,TOP-1182-B91-854,RACK-3,ZONE-3,64,1
ZONE-1:RACK-8:296,ANT-1183-B78-295,RACK-8,ZONE-1,107,1
ZONE-3:RACK-4:854,TOP-1184-B46-854,RACK-4,ZONE-3,72,1
ZONE-4:RACK-1:796,DEW-1185-B90-795,RACK-1,ZONE-4,154,1
ZONE-4:RACK-1:797,DEW-1186-B57-795,RACK-1,ZONE-4,160,1
ZONE-2:RACK-6:388,IMM-1187-B20-384,RACK-6,ZONE-2,91,1
ZONE-2:RACK-7:384,IMM-1188-B54-384,RACK-7,ZONE-2,161,1
ZONE-4:RACK-2:796,DEW-1189-B52-795,RACK-2,ZONE-4,199,1
ZONE-1:RACK-8:297,ANT-1190-B75-295,RACK-8,ZONE-1,100,1
ZONE-1:RACK-8:789,ANT-1191-B13-789,RACK-8,ZONE-1,92,1
ZONE-4:RACK-2:190,DIG-1192-B86-185,RACK-2,ZONE-4,117,1
ZONE-1:RACK-8:298,ANT-1193-B54-295,RACK-8,ZONE-1,83,1
ZONE-4:RACK-2:438,SUP-1194-B37-434,RACK-2,ZONE-4,158,1
ZONE-4:RACK-2:191,DIG-1195-B51-185,RACK-2,ZONE-4,200,1
ZONE-1:RACK-9:295,ANT-1196-B20-295,RACK-9,ZONE-1,142,1
ZONE-4:RACK-2:797,DEW-1197-B65-795,RACK-2,ZONE-4,156,1
ZONE-4:RACK-3:439,SUP-1198-B11-434,RACK-3,ZONE-4,121,1
ZONE-3:RACK-4:855,TOP-1199-B87-854,RACK-4,ZONE-3,106,1
ZONE-4:RACK-3:798,DEW-1200-B97-795,RACK-3,ZONE-4,157,1
ZONE-4:RACK-3:440,SUP-1201-B25-434,RACK-3,ZONE-4,141,1
ZONE-4:RACK-3:285,VIT-1202-B11-285,RACK-3,ZONE-4,146,1
ZONE-4:RACK-3:187,DIG-1203-B81-185,RACK-3,ZONE-4,176,1
ZONE-4:RACK-4:188,DIG-1204-B57-185,RACK-4,ZONE-4,77,1
ZONE-4:RACK-4:797,DEW-1205-B28-795,RACK-4,ZONE-4,164,1
ZONE-3:RACK-4:856,TOP-1206-B42-854,RACK-4,ZONE-3,187,1
ZONE-4:RACK-4:435,SUP-1207-B56-434,RACK-4,ZONE-4,71,1
ZONE-4:RACK-4:436,SUP-1208-B34-434,RACK-4,ZONE-4,162,1
ZONE-4:RACK-4:798,DEW-1209-B15-795,RACK-4,ZONE-4,144,1
ZONE-4:RACK-5:287,VIT-1210-B69-285,RACK-5,ZONE-4,184,1
ZONE-4:RACK-5:186,DIG-1211-B51-185,RACK-5,ZONE-4,145,1
ZONE-4:RACK-5:288,VIT-1212-B35-285,RACK-5,ZONE-4,53,1
ZONE-4:RACK-5:797,DEW-1213-B45-795,RACK-5,ZONE-4,186,1
ZONE-2:RACK-7:385,IMM-1214-B55-384,RACK-7,ZONE-2,70,1
ZONE-4:RACK-5:289,VIT-1215-B71-285,RACK-5,ZONE-4,108,1
ZONE-4:RACK-6:290,VIT-1216-B34-285,RACK-6,ZONE-4,106,1
ZONE-4:RACK-6:291,VIT-1217-B19-285,RACK-6,ZONE-4,177,1
ZONE-4:RACK-6:292,VIT-1218-B61-285,RACK-6,ZONE-4,176,1
ZONE-4:RACK-6:293,VIT-1219-B75-285,RACK-6,ZONE-4,75,1
ZONE-4:RACK-6:798,DEW-1220-B11-795,RACK-6,ZONE-4,124,1
ZONE-4:RACK-7:289,VIT-1221-B58-285,RACK-7,ZONE-4,124,1
ZONE-4:RACK-7:290,VIT-1222-B35-285,RACK-7,ZONE-4,87,1
ZONE-3:RACK-4:857,TOP-1223-B92-854,RACK-4,ZONE-3,66,1
ZONE-3:RACK-4:858,TOP-1224-B78-854,RACK-4,ZONE-3,80,1
ZONE-4:RACK-7:188,DIG-1225-B51-185,RACK-7,ZONE-4,114,1
ZONE-2:RACK-7:386,IMM-1226-B37-384,RACK-7,ZONE-2,77,1
ZONE-2:RACK-7:387,IMM-1227-B64-384,RACK-7,ZONE-2,97,1
ZONE-2:RACK-7:388,IMM-1228-B35-384,RACK-7,ZONE-2,102,1
ZONE-2:RACK-8:384,IMM-1229-B92-384,RACK-8,ZONE-2,92,1
ZONE-1:RACK-9:789,ANT-1230-B80-789,RACK-9,ZONE-1,88,1
ZONE-4:RACK-7:189,DIG-1231-B36-185,RACK-7,ZONE-4,156,1
ZONE-3:RACK-5:854,TOP-1232-B55-854,RACK-5,ZONE-3,194,1
ZONE-4:RACK-7:190,DIG-1233-B66-185,RACK-7,ZONE-4,199,1
ZONE-1:RACK-9:296,ANT-1234-B86-295,RACK-9,ZONE-1,138,1
ZONE-2:RACK-8:385,IMM-1235-B72-384,RACK-8,ZONE-2,99,1
ZONE-1:RACK-9:790,ANT-1236-B86-789,RACK-9,ZONE-1,95,1
ZONE-4:RACK-8:287,VIT-1237-B42-285,RACK-8,ZONE-4,62,1
ZONE-1:RACK-9:791,ANT-1238-B29-789,RACK-9,ZONE-1,147,1
ZONE-4:RACK-8:288,VIT-1239-B16-285,RACK-8,ZONE-4,141,1
ZONE-1:RACK-10:295,ANT-1240-B28-295,RACK-10,ZONE-1,195,1
ZONE-1:RACK-10:296,ANT-1241-B29-295,RACK-10,ZONE-1,159,1
ZONE-4:RACK-8:797,DEW-1242-B87-795,RACK-8,ZONE-4,94,1
ZONE-1:RACK-10:297,ANT-1243-B89-295,RACK-10,ZONE-1,84,1
ZONE-3:RACK-5:855,TOP-1244-B42-854,RACK-5,ZONE-3,166,1
ZONE-4:RACK-8:437,SUP-1245-B74-434,RACK-8,ZONE-4,91,1
ZONE-4:RACK-8:289,VIT-1246-B19-285,RACK-8,ZONE-4,50,1
ZONE-4:RACK-9:435,SUP-1247-B68-434,RACK-9,ZONE-4,164,1
ZONE-4:RACK-9:287,VIT-1248-B50-285,RACK-9,ZONE-4,104,1
ZONE-2:RACK-8:386,IMM-1249-B43-384,RACK-8,ZONE-2,167,1
ZONE-1:RACK-10:789,ANT-1250-B12-789,RACK-10,ZONE-1,145,1
ZONE-1:RACK-10:790,ANT-1251-B98-789,RACK-10,ZONE-1,81,1
ZONE-4:RACK-9:436,SUP-1252-B95-434,RACK-9,ZONE-4,199,1
ZONE-4:RACK-9:801,DEW-1253-B76-795,RACK-9,ZONE-4,182,1
ZONE-4:RACK-9:802,DEW-1254-B90-795,RACK-9,ZONE-4,166,1
ZONE-4:RACK-10:188,DIG-1255-B26-185,RACK-10,ZONE-4,167,1
ZONE-4:RACK-10:189,DIG-1256-B30-185,RACK-10,ZONE-4,133,1
ZONE-4:RACK-10:796,DEW-1257-B12-795,RACK-10,ZONE-4,69,1
ZONE-4:RACK-10:291,VIT-1258-B45-285,RACK-10,ZONE-4,124,1
ZONE-4:RACK-10:434,SUP-1259-B48-434,RACK-10,ZONE-4,147,1
ZONE-1:RACK-1:792,ANT-1260-B91-789,RACK-1,ZONE-1,132,1
ZONE-4:RACK-1:798,DEW-1261-B94-795,RACK-1,ZONE-4,92,1
ZONE-4:RACK-1:290,VIT-1262-B79-285,RACK-1,ZONE-4,176,1
ZONE-4:RACK-1:436,SUP-1263-B91-434,RACK-1,ZONE-4,183,1
ZONE-4:RACK-1:190,DIG-1264-B42-185,RACK-1,ZONE-4,74,1
ZONE-1:RACK-1:297,ANT-1265-B53-295,RACK-1,ZONE-1,149,1
ZONE-1:RACK-1:298,ANT-1266-B28-295,RACK-1,ZONE-1,179,1
ZONE-4:RACK-1:799,DEW-1267-B87-795,RACK-1,ZONE-4,195,1
ZONE-1:RACK-1:299,ANT-1268-B94-295,RACK-1,ZONE-1,173,1
ZONE-4:RACK-2:798,DEW-1269-B51-795,RACK-2,ZONE-4,127,1
ZONE-1:RACK-1:793,ANT-1270-B44-789,RACK-1,ZONE-1,117,1
ZONE-4:RACK-2:799,DEW-1271-B67-795,RACK-2,ZONE-4,78,1
ZONE-4:RACK-2:800,DEW-1272-B94-795,RACK-2,ZONE-4,187,1
ZONE-4:RACK-2:285,VIT-1273-B50-285,RACK-2,ZONE-4,54,1
ZONE-4:RACK-2:192,DIG-1274-B49-185,RACK-2,ZONE-4,188,1
ZONE-4:RACK-3:188,DIG-1275-B49-185,RACK-3,ZONE-4,121,1
ZONE-4:RACK-3:799,DEW-1276-B71-795,RACK-3,ZONE-4,172,1
ZONE-1:RACK-2:791,ANT-1277-B81-789,RACK-2,ZONE-1,63,1
ZONE-2:RACK-8:387,IMM-1278-B39-384,RACK-8,ZONE-2,61,1
ZONE-4:RACK-3:441,SUP-1279-B98-434,RACK-3,ZONE-4,169,1
ZONE-4:RACK-3:800,DEW-1280-B57-795,RACK-3,ZONE-4,73,1
ZONE-3:RACK-5:856,TOP-1281-B92-854,RACK-5,ZONE-3,101,1
ZONE-2:RACK-8:388,IMM-1282-B39-384,RACK-8,ZONE-2,107,1
ZONE-2:RACK-9:384,IMM-1283-B42-384,RACK-9,ZONE-2,113,1
ZONE-2:RACK-9:385,IMM-1284-B11-384,RACK-9,ZONE-2,161,1
ZONE-4:RACK-3:801,DEW-1285-B82-795,RACK-3,ZONE-4,144,1
ZONE-3:RACK-5:857,TOP-1286-B58-854,RACK-5,ZONE-3,55,1
ZONE-2:RACK-9:386,IMM-1287-B35-384,RACK-9,ZONE-2,161,1
ZONE-4:RACK-4:289,VIT-1288-B67-285,RACK-4,ZONE-4,64,1
ZONE-3:RACK-5:858,TOP-1289-B88-854,RACK-5,ZONE-3,168,1
ZONE-1:RACK-2:298,ANT-1290-B26-295,RACK-2,ZONE-1,169,1
ZONE-3:RACK-6:854,TOP-1291-B28-854,RACK-6,ZONE-3,118,1
ZONE-4:RACK-4:189,DIG-1292-B40-185,RACK-4,ZONE-4,83,1
ZONE-4:RACK-4:799,DEW-1293-B85-795,RACK-4,ZONE-4,131,1
ZONE-1:RACK-2:299,ANT-1294-B29-295,RACK-2,ZONE-1,110,1
ZONE-2:RACK-9:387,IMM-1295-B22-384,RACK-9,ZONE-2,111,1
ZONE-2:RACK-9:388,IMM-1296-B29-384,RACK-9,ZONE-2,162,1
ZONE-1:RACK-2:300,ANT-1297-B42-295,RACK-2,ZONE-1,58,1
ZONE-4:RACK-4:800,DEW-1298-B92-795,RACK-4,ZONE-4,135,1
ZONE-4:RACK-4:801,DEW-1299-B84-795,RACK-4,ZONE-4,173,1
ZONE-4:RACK-5:187,DIG-1300-B91-185,RACK-5,ZONE-4,142,1
ZONE-1:RACK-2:792,ANT-1301-B68-789,RACK-2,ZONE-1,162,1
ZONE-2:RACK-10:384,IMM-1302-B11-384,RACK-10,ZONE-2,67,1
ZONE-3:RACK-6:855,TOP-1303-B58-854,RACK-6,ZONE-3,107,1
ZONE-4:RACK-5:290,VIT-1304-B34-285,RACK-5,ZONE-4,160,1
ZONE-4:RACK-5:439,SUP-1305-B93-434,RACK-5,ZONE-4,113,1
ZONE-2:RACK-10:385,IMM-1306-B47-384,RACK-10,ZONE-2,81,1
ZONE-1:RACK-3:299,ANT-1307-B35-295,RACK-3,ZONE-1,70,1
ZONE-2:RACK-10:386,IMM-1308-B63-384,RACK-10,ZONE-2,51,1
ZONE-1:RACK-3:790,ANT-1309-B56-789,RACK-3,ZONE-1,176,1
ZONE-1:RACK-3:791,ANT-1310-B48-789,RACK-3,ZONE-1,200,1
ZONE-4:RACK-5:798,DEW-1311-B10-795,RACK-5,ZONE-4,154,1
ZONE-4:RACK-5:440,SUP-1312-B79-434,RACK-5,ZONE-4,130,1
ZONE-1:RACK-3:300,ANT-1313-B57-295,RACK-3,ZONE-1,139,1
ZONE-4:RACK-6:294,VIT-1314-B37-285,RACK-6,ZONE-4,99,1
ZONE-3:RACK-6:856,TOP-1315-B97-854,RACK-6,ZONE-3,72,1
