Event_ID,Transport_ID,Vehicle_Type,Route_Type,Status,Estimated_Transit_Days,Event_Type,Event_Date
TRN-00073,ZONE-4::RACK-9::434::GJ15X4723::General,General,InterState,Scheduled,13,Transport Scheduled,2025-07-03
TRN-00074,ZONE-2::RACK-2::384::GJ03X4858::Specialised,Specialised,InterState,Scheduled,12,Transport Scheduled,2025-07-03
TRN-00075,ZONE-4::RACK-9::795::GJ02X6383::General,General,InterState,Scheduled,9,Transport Scheduled,2025-07-03
TRN-00076,ZONE-2::RACK-2::384::GJ03X7424::Specialised,Specialised,Intercity,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00077,ZONE-4::RACK-10::185::GJ18X3994::General,General,InterState,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00078,ZONE-3::RACK-2::854::GJ23X8514::Specialised,Specialised,InterState,Scheduled,10,Transport Scheduled,2025-07-03
TRN-00079,ZONE-4::RACK-10::285::GJ27X8741::General,General,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00080,ZONE-4::RACK-10::285::GJ03X9079::General,General,InterState,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00081,ZONE-3::RACK-2::854::GJ15X6806::Specialised,Specialised,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00082,ZONE-4::RACK-10::285::GJ28X9659::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00083,ZONE-2::RACK-3::384::GJ06X1549::Specialised,Specialised,InterState,Scheduled,12,Transport Scheduled,2025-07-03
TRN-00084,ZONE-2::RACK-3::384::GJ23X4559::Specialised,Specialised,InterState,Scheduled,10,Transport Scheduled,2025-07-03
TRN-00085,ZONE-2::RACK-3::384::GJ07X1011::Specialised,Specialised,InterState,Scheduled,13,Transport Scheduled,2025-07-03
TRN-00086,ZONE-4::RACK-10::185::GJ11X9080::General,General,InterState,Scheduled,13,Transport Scheduled,2025-07-03
TRN-00087,ZONE-1::RACK-4::789::GJ12X2891::Specialised,Specialised,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00088,ZONE-2::RACK-3::384::GJ14X1705::Specialised,Specialised,InterState,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00089,ZONE-4::RACK-1::185::GJ07X1921::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00090,ZONE-1::RACK-4::295::GJ04X2021::Specialised,Specialised,Intercity,Scheduled,3,Transport Scheduled,2025-07-03
TRN-00091,ZONE-1::RACK-4::789::GJ05X5064::Specialised,Specialised,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00092,ZONE-2::RACK-3::384::GJ27X7409::Specialised,Specialised,InterState,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00093,ZONE-4::RACK-1::285::GJ23X8925::General,General,InterState,Scheduled,13,Transport Scheduled,2025-07-03
TRN-00094,ZONE-2::RACK-4::384::GJ01X2039::Specialised,Specialised,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00095,ZONE-4::RACK-1::185::GJ23X5793::General,General,InterState,Scheduled,11,Transport Scheduled,2025-07-03
TRN-00096,ZONE-4::RACK-1::185::GJ26X6532::General,General,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00097,ZONE-4::RACK-1::285::GJ28X5690::General,General,InterState,Scheduled,15,Transport Scheduled,2025-07-03
TRN-00098,ZONE-2::RACK-4::384::GJ01X1085::Specialised,Specialised,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00099,ZONE-4::RACK-2::434::GJ11X7822::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00100,ZONE-2::RACK-4::384::GJ12X5063::Specialised,Specialised,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00101,ZONE-4::RACK-2::185::GJ23X5185::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00102,ZONE-2::RACK-4::384::GJ21X8382::Specialised,Specialised,InterState,Scheduled,10,Transport Scheduled,2025-07-03
TRN-00103,ZONE-2::RACK-4::384::GJ27X2754::Specialised,Specialised,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00104,ZONE-2::RACK-5::384::GJ23X5465::Specialised,Specialised,InterState,Scheduled,15,Transport Scheduled,2025-07-03
TRN-00105,ZONE-4::RACK-2::185::GJ09X7005::General,General,InterState,Scheduled,12,Transport Scheduled,2025-07-03
TRN-00106,ZONE-4::RACK-2::185::GJ23X7398::General,General,InterState,Scheduled,14,Transport Scheduled,2025-07-03
TRN-00107,ZONE-4::RACK-2::434::GJ21X7971::General,General,InterState,Scheduled,10,Transport Scheduled,2025-07-03
TRN-00108,ZONE-1::RACK-5::295::GJ30X6044::Specialised,Specialised,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00109,ZONE-4::RACK-3::434::GJ09X1112::General,General,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00110,ZONE-4::RACK-3::185::GJ03X5014::General,General,Intercity,Scheduled,3,Transport Scheduled,2025-07-03
TRN-00111,ZONE-4::RACK-3::795::GJ21X9440::General,General,Intercity,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00112,ZONE-2::RACK-5::384::GJ19X5713::Specialised,Specialised,Intercity,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00113,ZONE-4::RACK-3::434::GJ04X6241::General,General,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00114,ZONE-4::RACK-3::795::GJ17X8039::General,General,InterState,Scheduled,12,Transport Scheduled,2025-07-03
TRN-00115,ZONE-1::RACK-5::295::GJ14X1053::Specialised,Specialised,Intercity,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00116,ZONE-4::RACK-4::795::GJ03X3136::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00117,ZONE-4::RACK-4::185::GJ14X7289::General,General,InterState,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00118,ZONE-4::RACK-4::285::GJ01X7726::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00119,ZONE-4::RACK-4::285::GJ07X3009::General,General,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00120,ZONE-2::RACK-5::384::GJ01X4053::Specialised,Specialised,InterState,Scheduled,15,Transport Scheduled,2025-07-03
TRN-00121,ZONE-1::RACK-5::295::GJ08X2709::Specialised,Specialised,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00122,ZONE-1::RACK-5::789::GJ20X8820::Specialised,Specialised,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00123,ZONE-4::RACK-4::185::GJ01X2097::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00124,ZONE-2::RACK-5::384::GJ22X1394::Specialised,Specialised,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00125,ZONE-4::RACK-5::285::GJ24X9408::General,General,InterState,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00126,ZONE-1::RACK-5::295::GJ06X6051::Specialised,Specialised,InterState,Scheduled,14,Transport Scheduled,2025-07-03
TRN-00127,ZONE-4::RACK-5::434::GJ08X4506::General,General,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00128,ZONE-1::RACK-6::789::GJ15X4430::Specialised,Specialised,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00129,ZONE-4::RACK-5::434::GJ24X3685::General,General,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00130,ZONE-3::RACK-2::854::GJ16X5496::Specialised,Specialised,InterState,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00131,ZONE-1::RACK-6::295::GJ07X8970::Specialised,Specialised,InterState,Scheduled,11,Transport Scheduled,2025-07-03
TRN-00132,ZONE-1::RACK-6::789::GJ10X4612::Specialised,Specialised,InterState,Scheduled,13,Transport Scheduled,2025-07-03
TRN-00133,ZONE-4::RACK-5::285::GJ01X9269::General,General,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00134,ZONE-1::RACK-6::789::GJ17X7384::Specialised,Specialised,InterState,Scheduled,15,Transport Scheduled,2025-07-03
TRN-00135,ZONE-3::RACK-2::854::GJ20X7043::Specialised,Specialised,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00136,ZONE-4::RACK-5::185::GJ21X5017::General,General,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00137,ZONE-1::RACK-6::789::GJ02X4245::Specialised,Specialised,InterState,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00138,ZONE-4::RACK-6::795::GJ18X2499::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00139,ZONE-4::RACK-6::795::GJ23X1698::General,General,InterState,Scheduled,13,Transport Scheduled,2025-07-03
TRN-00140,ZONE-4::RACK-6::285::GJ12X3425::General,General,Intercity,Scheduled,3,Transport Scheduled,2025-07-03
TRN-00141,ZONE-3::RACK-2::854::GJ30X2371::Specialised,Specialised,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00142,ZONE-4::RACK-6::285::GJ10X3256::General,General,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00143,ZONE-4::RACK-6::285::GJ05X8172::General,General,InterState,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00144,ZONE-4::RACK-7::185::GJ27X4558::General,General,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00145,ZONE-4::RACK-7::285::GJ26X4353::General,General,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00146,ZONE-3::RACK-3::854::GJ13X2230::Specialised,Specialised,InterState,Scheduled,12,Transport Scheduled,2025-07-03
TRN-00147,ZONE-3::RACK-3::854::GJ13X8172::Specialised,Specialised,InterState,Scheduled,14,Transport Scheduled,2025-07-03
TRN-00148,ZONE-4::RACK-7::285::GJ13X7840::General,General,InterState,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00149,ZONE-4::RACK-7::185::GJ09X3787::General,General,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00150,ZONE-4::RACK-7::795::GJ12X5328::General,General,InterState,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00151,ZONE-2::RACK-5::384::GJ07X3648::Specialised,Specialised,InterState,Scheduled,9,Transport Scheduled,2025-07-03
TRN-00152,ZONE-2::RACK-6::384::GJ08X3513::Specialised,Specialised,Intercity,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00153,ZONE-4::RACK-8::434::GJ14X9412::General,General,InterState,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00154,ZONE-4::RACK-8::185::GJ11X2202::General,General,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00155,ZONE-3::RACK-3::854::GJ19X6467::Specialised,Specialised,InterState,Scheduled,14,Transport Scheduled,2025-07-03
TRN-00156,ZONE-4::RACK-8::185::GJ30X6985::General,General,InterState,Scheduled,9,Transport Scheduled,2025-07-03
TRN-00157,ZONE-4::RACK-8::285::GJ11X1934::General,General,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00158,ZONE-1::RACK-7::295::GJ28X8907::Specialised,Specialised,InterState,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00159,ZONE-4::RACK-8::795::GJ29X6793::General,General,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00160,ZONE-1::RACK-7::295::GJ05X6194::Specialised,Specialised,InterState,Scheduled,10,Transport Scheduled,2025-07-03
TRN-00161,ZONE-4::RACK-9::795::GJ11X8049::General,General,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00162,ZONE-2::RACK-6::384::GJ24X6673::Specialised,Specialised,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00163,ZONE-4::RACK-9::795::GJ05X5328::General,General,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00164,ZONE-4::RACK-9::795::GJ13X6948::General,General,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00165,ZONE-2::RACK-6::384::GJ22X7532::Specialised,Specialised,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00166,ZONE-4::RACK-9::285::GJ14X8855::General,General,InterState,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00167,ZONE-4::RACK-9::795::GJ29X6133::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00168,ZONE-1::RACK-7::295::GJ13X9573::Specialised,Specialised,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00169,ZONE-4::RACK-10::185::GJ11X9382::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00170,ZONE-4::RACK-10::285::GJ15X2258::General,General,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00171,ZONE-4::RACK-10::285::GJ14X5369::General,General,InterState,Scheduled,10,Transport Scheduled,2025-07-03
TRN-00172,ZONE-1::RACK-7::789::GJ30X4177::Specialised,Specialised,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00173,ZONE-4::RACK-10::795::GJ26X3703::General,General,InterState,Scheduled,14,Transport Scheduled,2025-07-03
TRN-00174,ZONE-1::RACK-7::789::GJ27X7102::Specialised,Specialised,InterState,Scheduled,12,Transport Scheduled,2025-07-03
TRN-00175,ZONE-3::RACK-3::854::GJ15X4384::Specialised,Specialised,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00176,ZONE-1::RACK-8::295::GJ21X7008::Specialised,Specialised,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00177,ZONE-4::RACK-10::285::GJ05X6015::General,General,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00178,ZONE-4::RACK-1::285::GJ01X1573::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00179,ZONE-2::RACK-6::384::GJ16X7961::Specialised,Specialised,Intercity,Scheduled,3,Transport Scheduled,2025-07-03
TRN-00180,ZONE-4::RACK-1::185::GJ25X9719::General,General,InterState,Scheduled,12,Transport Scheduled,2025-07-03
TRN-00181,ZONE-4::RACK-1::434::GJ05X6667::General,General,InterState,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00182,ZONE-3::RACK-3::854::GJ30X4471::Specialised,Specialised,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00183,ZONE-1::RACK-8::295::GJ06X9871::Specialised,Specialised,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00184,ZONE-3::RACK-4::854::GJ14X8889::Specialised,Specialised,InterState,Scheduled,15,Transport Scheduled,2025-07-03
TRN-00185,ZONE-4::RACK-1::795::GJ17X8304::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00186,ZONE-4::RACK-1::795::GJ16X7539::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00187,ZONE-2::RACK-6::384::GJ10X5561::Specialised,Specialised,InterState,Scheduled,12,Transport Scheduled,2025-07-03
TRN-00188,ZONE-2::RACK-7::384::GJ17X2836::Specialised,Specialised,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00189,ZONE-4::RACK-2::795::GJ26X7609::General,General,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00190,ZONE-1::RACK-8::295::GJ08X2500::Specialised,Specialised,InterState,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00191,ZONE-1::RACK-8::789::GJ28X9107::Specialised,Specialised,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00192,ZONE-4::RACK-2::185::GJ11X4850::General,General,Intercity,Scheduled,3,Transport Scheduled,2025-07-03
TRN-00193,ZONE-1::RACK-8::295::GJ27X9363::Specialised,Specialised,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00194,ZONE-4::RACK-2::434::GJ04X1613::General,General,InterState,Scheduled,13,Transport Scheduled,2025-07-03
TRN-00195,ZONE-4::RACK-2::185::GJ16X5358::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00196,ZONE-1::RACK-9::295::GJ03X5022::Specialised,Specialised,InterState,Scheduled,15,Transport Scheduled,2025-07-03
TRN-00197,ZONE-4::RACK-2::795::GJ25X8456::General,General,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00198,ZONE-4::RACK-3::434::GJ06X9142::General,General,InterState,Scheduled,15,Transport Scheduled,2025-07-03
TRN-00199,ZONE-3::RACK-4::854::GJ15X3465::Specialised,Specialised,InterState,Scheduled,14,Transport Scheduled,2025-07-03
TRN-00200,ZONE-4::RACK-3::795::GJ22X5898::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00201,ZONE-4::RACK-3::434::GJ18X6865::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00202,ZONE-4::RACK-3::285::GJ03X4067::General,General,Intercity,Scheduled,3,Transport Scheduled,2025-07-03
TRN-00203,ZONE-4::RACK-3::185::GJ29X3199::General,General,Intercity,Scheduled,3,Transport Scheduled,2025-07-03
TRN-00204,ZONE-4::RACK-4::185::GJ12X1758::General,General,InterState,Scheduled,12,Transport Scheduled,2025-07-03
TRN-00205,ZONE-4::RACK-4::795::GJ27X4732::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00206,ZONE-3::RACK-4::854::GJ27X1769::Specialised,Specialised,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00207,ZONE-4::RACK-4::434::GJ24X6532::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00208,ZONE-4::RACK-4::434::GJ05X2776::General,General,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00209,ZONE-4::RACK-4::795::GJ21X4763::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00210,ZONE-4::RACK-5::285::GJ24X6892::General,General,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00211,ZONE-4::RACK-5::185::GJ10X5398::General,General,InterState,Scheduled,10,Transport Scheduled,2025-07-03
TRN-00212,ZONE-4::RACK-5::285::GJ19X5382::General,General,InterState,Scheduled,9,Transport Scheduled,2025-07-03
