Event_ID,Assignment_ID,Dispatch_Date,Vehicle_ID,Delivery_Status,Is_Damaged,Delay_Reason,Event_Type,Event_Date
DSP-00016,ZONE-2::RACK-1::384::GJ08X1309,2025-07-04 00:00:00,GJ08X1309,Failed,0,,Failed,2025-07-04
DSP-00017,ZONE-1::RACK-1::295::GJ18X8961,2025-07-05 00:00:00,GJ18X8961,In Transit,0,,In Transit,2025-07-05
DSP-00018,ZONE-3::RACK-3::185::GJ30X1043,2025-07-05 00:00:00,GJ30X1043,Delayed,0,Operator Error,Delayed,2025-07-05
DSP-00019,ZONE-1::RACK-1::789::GJ30X1043,2025-07-06 00:00:00,GJ30X1043,Failed,0,,Failed,2025-07-06
DSP-00020,ZONE-2::RACK-1::384::GJ08X1309,2025-07-04 00:00:00,GJ08X1309,Delayed,1,Weather,Delayed,2025-07-04
DSP-00021,ZONE-3::RACK-3::795::GJ22X4240,2025-07-05 00:00:00,GJ22X4240,Delayed,0,Traffic,Delayed,2025-07-05
DSP-00022,ZONE-3::RACK-3::185::GJ30X1043,2025-07-05 00:00:00,GJ30X1043,Failed,0,,Failed,2025-07-05
DSP-00023,ZONE-3::RACK-3::434::GJ09X6178,2025-07-06 00:00:00,GJ09X6178,Delayed,1,Operator Error,Delayed,2025-07-06
DSP-00024,ZONE-3::RACK-4::434::GJ09X6178,2025-07-05 00:00:00,GJ09X6178,Failed,0,,Failed,2025-07-05
DSP-00025,ZONE-1::RACK-2::295::GJ18X8961,2025-07-06 00:00:00,GJ18X8961,Failed,0,,Failed,2025-07-06
DSP-00026,ZONE-3::RACK-4::434::GJ09X6178,2025-07-03 00:00:00,GJ09X6178,In Transit,0,,In Transit,2025-07-03
DSP-00027,ZONE-3::RACK-4::854::GJ19X2606,2025-07-07 00:00:00,GJ19X2606,In Transit,0,,In Transit,2025-07-07
DSP-00028,ZONE-1::RACK-2::295::GJ18X8961,2025-07-08 00:00:00,GJ18X8961,Delayed,0,Operator Error,Delayed,2025-07-08
DSP-00029,ZONE-3::RACK-4::795::GJ22X4240,2025-07-06 00:00:00,GJ22X4240,In Transit,0,,In Transit,2025-07-06
DSP-00030,ZONE-2::RACK-1::384::GJ08X1309,2025-07-08 00:00:00,GJ08X1309,Delivered,0,,Delivered,2025-07-08
DSP-00031,ZONE-2::RACK-2::384::GJ08X1309,2025-07-10 00:00:00,GJ08X1309,Delivered,0,,Delivered,2025-07-10
DSP-00032,ZONE-1::RACK-2::295::GJ18X8961,2025-07-05 00:00:00,GJ18X8961,Delivered,0,,Delivered,2025-07-05
DSP-00033,ZONE-3::RACK-4::795::GJ22X4240,2025-07-06 00:00:00,GJ22X4240,In Transit,0,,In Transit,2025-07-06
DSP-00034,ZONE-3::RACK-5::285::GJ24X1586,2025-07-05 00:00:00,GJ24X1586,In Transit,0,,In Transit,2025-07-05
DSP-00035,ZONE-2::RACK-2::384::GJ08X1309,2025-07-05 00:00:00,GJ08X1309,In Transit,0,,In Transit,2025-07-05
DSP-00036,ZONE-3::RACK-5::434::GJ09X6178,2025-07-04 00:00:00,GJ09X6178,Failed,0,,Failed,2025-07-04
DSP-00037,ZONE-3::RACK-5::285::GJ24X1586,2025-07-04 00:00:00,GJ24X1586,Failed,0,,Failed,2025-07-04
DSP-00038,ZONE-3::RACK-5::185::GJ30X1043,2025-07-03 00:00:00,GJ30X1043,Delayed,0,Traffic,Delayed,2025-07-03
DSP-00039,ZONE-3::RACK-5::795::GJ22X4240,2025-07-05 00:00:00,GJ22X4240,Delayed,1,Operator Error,Delayed,2025-07-05
DSP-00040,ZONE-3::RACK-6::434::GJ09X6178,2025-07-06 00:00:00,GJ09X6178,Failed,1,,Failed,2025-07-06
DSP-00041,ZONE-3::RACK-6::434::GJ09X6178,2025-07-05 00:00:00,GJ09X6178,In Transit,0,,In Transit,2025-07-05
DSP-00042,ZONE-1::RACK-2::789::GJ30X1043,2025-07-03 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-03
DSP-00043,ZONE-3::RACK-6::434::GJ09X6178,2025-07-05 00:00:00,GJ09X6178,Failed,1,,Failed,2025-07-05
DSP-00044,ZONE-3::RACK-6::795::GJ22X4240,2025-07-05 00:00:00,GJ22X4240,Failed,1,,Failed,2025-07-05
DSP-00045,ZONE-1::RACK-2::789::GJ30X1043,2025-07-04 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-04
DSP-00046,ZONE-3::RACK-6::285::GJ24X1586,2025-07-07 00:00:00,GJ24X1586,Delivered,0,,Delivered,2025-07-07
DSP-00047,ZONE-3::RACK-7::285::GJ24X1586,2025-07-08 00:00:00,GJ24X1586,In Transit,0,,In Transit,2025-07-08
DSP-00048,ZONE-1::RACK-3::295::GJ18X8961,2025-07-07 00:00:00,GJ18X8961,In Transit,0,,In Transit,2025-07-07
DSP-00049,ZONE-1::RACK-3::295::GJ18X8961,2025-07-05 00:00:00,GJ18X8961,In Transit,0,,In Transit,2025-07-05
DSP-00050,ZONE-3::RACK-7::185::GJ30X1043,2025-07-04 00:00:00,GJ30X1043,Failed,1,,Failed,2025-07-04
DSP-00051,ZONE-3::RACK-7::434::GJ09X6178,2025-07-10 00:00:00,GJ09X6178,Delivered,0,,Delivered,2025-07-10
DSP-00052,ZONE-3::RACK-7::795::GJ22X4240,2025-07-06 00:00:00,GJ22X4240,In Transit,0,,In Transit,2025-07-06
DSP-00053,ZONE-3::RACK-7::185::GJ30X1043,2025-07-09 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-09
DSP-00054,ZONE-3::RACK-8::285::GJ24X1586,2025-07-06 00:00:00,GJ24X1586,Failed,0,,Failed,2025-07-06
DSP-00055,ZONE-1::RACK-3::295::GJ18X8961,2025-07-06 00:00:00,GJ18X8961,In Transit,0,,In Transit,2025-07-06
DSP-00056,ZONE-3::RACK-8::434::GJ09X6178,2025-07-08 00:00:00,GJ09X6178,Failed,0,,Failed,2025-07-08
DSP-00057,ZONE-2::RACK-2::384::GJ08X1309,2025-07-06 00:00:00,GJ08X1309,Delayed,0,Depot Overflow,Delayed,2025-07-06
DSP-00058,ZONE-3::RACK-8::854::GJ19X2606,2025-07-06 00:00:00,GJ19X2606,Delivered,0,,Delivered,2025-07-06
DSP-00059,ZONE-3::RACK-8::434::GJ09X6178,2025-07-03 00:00:00,GJ09X6178,Delayed,0,Weather,Delayed,2025-07-03
DSP-00060,ZONE-3::RACK-8::285::GJ24X1586,2025-07-09 00:00:00,GJ24X1586,In Transit,0,,In Transit,2025-07-09
DSP-00061,ZONE-3::RACK-9::795::GJ22X4240,2025-07-05 00:00:00,GJ22X4240,Delivered,0,,Delivered,2025-07-05
DSP-00062,ZONE-3::RACK-9::434::GJ09X6178,2025-07-04 00:00:00,GJ09X6178,In Transit,0,,In Transit,2025-07-04
DSP-00063,ZONE-3::RACK-9::285::GJ24X1586,2025-07-06 00:00:00,GJ24X1586,Failed,0,,Failed,2025-07-06
DSP-00064,ZONE-3::RACK-9::434::GJ09X6178,2025-07-06 00:00:00,GJ09X6178,Delayed,0,Operator Error,Delayed,2025-07-06
DSP-00065,ZONE-3::RACK-9::185::GJ30X1043,2025-07-03 00:00:00,GJ30X1043,Delivered,0,,Delivered,2025-07-03
DSP-00066,ZONE-1::RACK-3::295::GJ18X8961,2025-07-06 00:00:00,GJ18X8961,Failed,0,,Failed,2025-07-06
DSP-00067,ZONE-3::RACK-10::795::GJ22X4240,2025-07-10 00:00:00,GJ22X4240,Delayed,0,Weather,Delayed,2025-07-10
DSP-00068,ZONE-1::RACK-3::789::GJ30X1043,2025-07-08 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-08
DSP-00069,ZONE-1::RACK-4::789::GJ30X1043,2025-07-06 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-06
DSP-00070,ZONE-3::RACK-10::285::GJ24X1586,2025-07-04 00:00:00,GJ24X1586,Failed,0,,Failed,2025-07-04
DSP-00071,ZONE-3::RACK-10::185::GJ30X1043,2025-07-07 00:00:00,GJ30X1043,Delivered,0,,Delivered,2025-07-07
DSP-00072,ZONE-1::RACK-4::295::GJ18X8961,2025-07-07 00:00:00,GJ18X8961,Failed,0,,Failed,2025-07-07
DSP-00073,ZONE-3::RACK-10::434::GJ09X6178,2025-07-06 00:00:00,GJ09X6178,In Transit,0,,In Transit,2025-07-06
DSP-00074,ZONE-2::RACK-2::384::GJ08X1309,2025-07-07 00:00:00,GJ08X1309,Delayed,1,Operator Error,Delayed,2025-07-07
DSP-00075,ZONE-3::RACK-10::795::GJ22X4240,2025-07-06 00:00:00,GJ22X4240,Delivered,0,,Delivered,2025-07-06
DSP-00076,ZONE-2::RACK-2::384::GJ08X1309,2025-07-07 00:00:00,GJ08X1309,In Transit,0,,In Transit,2025-07-07
DSP-00077,ZONE-3::RACK-1::185::GJ30X1043,2025-07-08 00:00:00,GJ30X1043,Delayed,0,Operator Error,Delayed,2025-07-08
DSP-00078,ZONE-3::RACK-1::854::GJ19X2606,2025-07-09 00:00:00,GJ19X2606,Delivered,0,,Delivered,2025-07-09
DSP-00079,ZONE-3::RACK-1::285::GJ24X1586,2025-07-04 00:00:00,GJ24X1586,Delayed,0,Operator Error,Delayed,2025-07-04
DSP-00080,ZONE-3::RACK-1::285::GJ24X1586,2025-07-05 00:00:00,GJ24X1586,Delayed,0,Logistics,Delayed,2025-07-05
DSP-00081,ZONE-3::RACK-1::854::GJ19X2606,2025-07-05 00:00:00,GJ19X2606,In Transit,0,,In Transit,2025-07-05
DSP-00082,ZONE-3::RACK-2::285::GJ24X1586,2025-07-07 00:00:00,GJ24X1586,In Transit,0,,In Transit,2025-07-07
DSP-00083,ZONE-2::RACK-3::384::GJ08X1309,2025-07-07 00:00:00,GJ08X1309,Delayed,0,Weather,Delayed,2025-07-07
DSP-00084,ZONE-2::RACK-3::384::GJ08X1309,2025-07-09 00:00:00,GJ08X1309,Delivered,0,,Delivered,2025-07-09
DSP-00085,ZONE-2::RACK-3::384::GJ08X1309,2025-07-07 00:00:00,GJ08X1309,Failed,0,,Failed,2025-07-07
DSP-00086,ZONE-3::RACK-2::185::GJ30X1043,2025-07-04 00:00:00,GJ30X1043,Failed,0,,Failed,2025-07-04
DSP-00087,ZONE-1::RACK-4::789::GJ30X1043,2025-07-07 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-07
DSP-00088,ZONE-2::RACK-3::384::GJ08X1309,2025-07-06 00:00:00,GJ08X1309,Delayed,0,Weather,Delayed,2025-07-06
DSP-00089,ZONE-3::RACK-2::185::GJ30X1043,2025-07-05 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-05
DSP-00090,ZONE-1::RACK-4::295::GJ18X8961,2025-07-05 00:00:00,GJ18X8961,Delivered,0,,Delivered,2025-07-05
DSP-00091,ZONE-1::RACK-4::789::GJ30X1043,2025-07-05 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-05
DSP-00092,ZONE-2::RACK-3::384::GJ08X1309,2025-07-06 00:00:00,GJ08X1309,In Transit,0,,In Transit,2025-07-06
DSP-00093,ZONE-3::RACK-2::285::GJ24X1586,2025-07-06 00:00:00,GJ24X1586,Delayed,0,Weather,Delayed,2025-07-06
DSP-00094,ZONE-2::RACK-4::384::GJ08X1309,2025-07-09 00:00:00,GJ08X1309,In Transit,0,,In Transit,2025-07-09
DSP-00095,ZONE-3::RACK-2::185::GJ30X1043,2025-07-06 00:00:00,GJ30X1043,Delayed,1,Depot Overflow,Delayed,2025-07-06
DSP-00096,ZONE-3::RACK-3::185::GJ30X1043,2025-07-07 00:00:00,GJ30X1043,Delayed,0,Depot Overflow,Delayed,2025-07-07
DSP-00097,ZONE-3::RACK-3::285::GJ24X1586,2025-07-05 00:00:00,GJ24X1586,Failed,0,,Failed,2025-07-05
DSP-00098,ZONE-2::RACK-4::384::GJ08X1309,2025-07-05 00:00:00,GJ08X1309,Failed,0,,Failed,2025-07-05
DSP-00099,ZONE-3::RACK-3::434::GJ09X6178,2025-07-06 00:00:00,GJ09X6178,Failed,1,,Failed,2025-07-06
DSP-00100,ZONE-2::RACK-4::384::GJ08X1309,2025-07-07 00:00:00,GJ08X1309,In Transit,0,,In Transit,2025-07-07
DSP-00101,ZONE-3::RACK-3::185::GJ30X1043,2025-07-03 00:00:00,GJ30X1043,Failed,0,,Failed,2025-07-03
DSP-00102,ZONE-2::RACK-4::384::GJ08X1309,2025-07-06 00:00:00,GJ08X1309,Failed,0,,Failed,2025-07-06
DSP-00103,ZONE-2::RACK-4::384::GJ08X1309,2025-07-06 00:00:00,GJ08X1309,Delayed,1,Operator Error,Delayed,2025-07-06
DSP-00104,ZONE-2::RACK-5::384::GJ08X1309,2025-07-08 00:00:00,GJ08X1309,Delivered,0,,Delivered,2025-07-08
DSP-00105,ZONE-3::RACK-3::185::GJ30X1043,2025-07-03 00:00:00,GJ30X1043,Failed,0,,Failed,2025-07-03
DSP-00106,ZONE-3::RACK-4::185::GJ30X1043,2025-07-08 00:00:00,GJ30X1043,Failed,1,,Failed,2025-07-08
DSP-00107,ZONE-3::RACK-4::434::GJ09X6178,2025-07-03 00:00:00,GJ09X6178,Delivered,0,,Delivered,2025-07-03
DSP-00108,ZONE-1::RACK-5::295::GJ18X8961,2025-07-07 00:00:00,GJ18X8961,In Transit,0,,In Transit,2025-07-07
DSP-00109,ZONE-3::RACK-4::434::GJ09X6178,2025-07-03 00:00:00,GJ09X6178,Delivered,0,,Delivered,2025-07-03
DSP-00110,ZONE-3::RACK-4::185::GJ30X1043,2025-07-05 00:00:00,GJ30X1043,Delivered,0,,Delivered,2025-07-05
DSP-00111,ZONE-3::RACK-4::795::GJ22X4240,2025-07-04 00:00:00,GJ22X4240,Failed,0,,Failed,2025-07-04
DSP-00112,ZONE-2::RACK-5::384::GJ08X1309,2025-07-07 00:00:00,GJ08X1309,Delayed,1,Logistics,Delayed,2025-07-07
DSP-00113,ZONE-3::RACK-5::434::GJ09X6178,2025-07-07 00:00:00,GJ09X6178,Failed,1,,Failed,2025-07-07
DSP-00114,ZONE-3::RACK-5::795::GJ22X4240,2025-07-05 00:00:00,GJ22X4240,Delayed,0,Traffic,Delayed,2025-07-05
DSP-00115,ZONE-1::RACK-5::295::GJ18X8961,2025-07-04 00:00:00,GJ18X8961,Failed,0,,Failed,2025-07-04
DSP-00116,ZONE-3::RACK-5::795::GJ22X4240,2025-07-07 00:00:00,GJ22X4240,Delivered,0,,Delivered,2025-07-07
DSP-00117,ZONE-3::RACK-5::185::GJ30X1043,2025-07-05 00:00:00,GJ30X1043,Failed,0,,Failed,2025-07-05
DSP-00118,ZONE-3::RACK-5::285::GJ24X1586,2025-07-09 00:00:00,GJ24X1586,In Transit,0,,In Transit,2025-07-09
DSP-00119,ZONE-3::RACK-6::285::GJ24X1586,2025-07-03 00:00:00,GJ24X1586,In Transit,0,,In Transit,2025-07-03
DSP-00120,ZONE-2::RACK-5::384::GJ08X1309,2025-07-07 00:00:00,GJ08X1309,In Transit,0,,In Transit,2025-07-07
DSP-00121,ZONE-1::RACK-5::295::GJ18X8961,2025-07-06 00:00:00,GJ18X8961,Delayed,0,Depot Overflow,Delayed,2025-07-06
DSP-00122,ZONE-1::RACK-5::789::GJ30X1043,2025-07-06 00:00:00,GJ30X1043,Delayed,0,Depot Overflow,Delayed,2025-07-06
DSP-00123,ZONE-3::RACK-6::185::GJ30X1043,2025-07-08 00:00:00,GJ30X1043,Failed,0,,Failed,2025-07-08
DSP-00124,ZONE-2::RACK-5::384::GJ08X1309,2025-07-05 00:00:00,GJ08X1309,In Transit,0,,In Transit,2025-07-05
DSP-00125,ZONE-3::RACK-6::285::GJ24X1586,2025-07-05 00:00:00,GJ24X1586,Delivered,0,,Delivered,2025-07-05
DSP-00126,ZONE-1::RACK-5::295::GJ18X8961,2025-07-07 00:00:00,GJ18X8961,Delayed,0,Operator Error,Delayed,2025-07-07
DSP-00127,ZONE-3::RACK-6::434::GJ09X6178,2025-07-07 00:00:00,GJ09X6178,In Transit,0,,In Transit,2025-07-07
DSP-00128,ZONE-1::RACK-6::789::GJ30X1043,2025-07-07 00:00:00,GJ30X1043,Delayed,0,Weather,Delayed,2025-07-07
DSP-00129,ZONE-3::RACK-6::434::GJ09X6178,2025-07-03 00:00:00,GJ09X6178,Delivered,0,,Delivered,2025-07-03
DSP-00130,ZONE-3::RACK-7::854::GJ19X2606,2025-07-06 00:00:00,GJ19X2606,Failed,0,,Failed,2025-07-06
DSP-00131,ZONE-1::RACK-6::295::GJ18X8961,2025-07-05 00:00:00,GJ18X8961,Failed,0,,Failed,2025-07-05
DSP-00132,ZONE-1::RACK-6::789::GJ30X1043,2025-07-05 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-05
DSP-00133,ZONE-3::RACK-7::285::GJ24X1586,2025-07-07 00:00:00,GJ24X1586,Delayed,0,Weather,Delayed,2025-07-07
DSP-00134,ZONE-1::RACK-6::789::GJ30X1043,2025-07-08 00:00:00,GJ30X1043,Failed,0,,Failed,2025-07-08
DSP-00135,ZONE-3::RACK-7::854::GJ19X2606,2025-07-06 00:00:00,GJ19X2606,Failed,1,,Failed,2025-07-06
DSP-00136,ZONE-3::RACK-7::185::GJ30X1043,2025-07-03 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-03
DSP-00137,ZONE-1::RACK-6::789::GJ30X1043,2025-07-08 00:00:00,GJ30X1043,Delivered,0,,Delivered,2025-07-08
DSP-00138,ZONE-3::RACK-7::795::GJ22X4240,2025-07-05 00:00:00,GJ22X4240,In Transit,0,,In Transit,2025-07-05
DSP-00139,ZONE-3::RACK-8::795::GJ22X4240,2025-07-06 00:00:00,GJ22X4240,In Transit,0,,In Transit,2025-07-06
DSP-00140,ZONE-3::RACK-8::285::GJ24X1586,2025-07-07 00:00:00,GJ24X1586,Failed,0,,Failed,2025-07-07
DSP-00141,ZONE-3::RACK-8::854::GJ19X2606,2025-07-05 00:00:00,GJ19X2606,Delayed,0,Operator Error,Delayed,2025-07-05
DSP-00142,ZONE-3::RACK-8::285::GJ24X1586,2025-07-06 00:00:00,GJ24X1586,Failed,0,,Failed,2025-07-06
DSP-00143,ZONE-3::RACK-8::285::GJ24X1586,2025-07-04 00:00:00,GJ24X1586,Delayed,1,Traffic,Delayed,2025-07-04
DSP-00144,ZONE-3::RACK-9::185::GJ30X1043,2025-07-05 00:00:00,GJ30X1043,Delayed,0,Traffic,Delayed,2025-07-05
DSP-00145,ZONE-3::RACK-9::285::GJ24X1586,2025-07-04 00:00:00,GJ24X1586,Delayed,0,Traffic,Delayed,2025-07-04
DSP-00146,ZONE-3::RACK-9::854::GJ19X2606,2025-07-05 00:00:00,GJ19X2606,Delivered,0,,Delivered,2025-07-05
DSP-00147,ZONE-3::RACK-9::854::GJ19X2606,2025-07-04 00:00:00,GJ19X2606,Failed,0,,Failed,2025-07-04
DSP-00148,ZONE-3::RACK-9::285::GJ24X1586,2025-07-07 00:00:00,GJ24X1586,Failed,1,,Failed,2025-07-07
DSP-00149,ZONE-3::RACK-10::185::GJ30X1043,2025-07-05 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-05
DSP-00150,ZONE-3::RACK-10::795::GJ22X4240,2025-07-03 00:00:00,GJ22X4240,Delayed,0,Traffic,Delayed,2025-07-03
DSP-00151,ZONE-2::RACK-5::384::GJ08X1309,2025-07-07 00:00:00,GJ08X1309,In Transit,0,,In Transit,2025-07-07
DSP-00152,ZONE-2::RACK-6::384::GJ08X1309,2025-07-09 00:00:00,GJ08X1309,Delayed,0,Logistics,Delayed,2025-07-09
DSP-00153,ZONE-3::RACK-10::434::GJ09X6178,2025-07-05 00:00:00,GJ09X6178,Failed,0,,Failed,2025-07-05
DSP-00154,ZONE-3::RACK-10::185::GJ30X1043,2025-07-03 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-03
DSP-00155,ZONE-3::RACK-10::854::GJ19X2606,2025-07-07 00:00:00,GJ19X2606,Failed,0,,Failed,2025-07-07
DSP-00156,ZONE-3::RACK-1::185::GJ30X1043,2025-07-04 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-04
DSP-00157,ZONE-3::RACK-1::285::GJ24X1586,2025-07-03 00:00:00,GJ24X1586,Failed,0,,Failed,2025-07-03
DSP-00158,ZONE-1::RACK-7::295::GJ18X8961,2025-07-03 00:00:00,GJ18X8961,Delivered,0,,Delivered,2025-07-03
DSP-00159,ZONE-3::RACK-1::795::GJ22X4240,2025-07-08 00:00:00,GJ22X4240,Failed,0,,Failed,2025-07-08
DSP-00160,ZONE-1::RACK-7::295::GJ18X8961,2025-07-05 00:00:00,GJ18X8961,Delayed,0,Operator Error,Delayed,2025-07-05
DSP-00161,ZONE-3::RACK-1::795::GJ22X4240,2025-07-06 00:00:00,GJ22X4240,Delivered,0,,Delivered,2025-07-06
DSP-00162,ZONE-2::RACK-6::384::GJ08X1309,2025-07-03 00:00:00,GJ08X1309,In Transit,0,,In Transit,2025-07-03
DSP-00163,ZONE-3::RACK-1::795::GJ22X4240,2025-07-06 00:00:00,GJ22X4240,In Transit,0,,In Transit,2025-07-06
DSP-00164,ZONE-3::RACK-2::795::GJ22X4240,2025-07-07 00:00:00,GJ22X4240,In Transit,0,,In Transit,2025-07-07
DSP-00165,ZONE-2::RACK-6::384::GJ08X1309,2025-07-09 00:00:00,GJ08X1309,Failed,0,,Failed,2025-07-09
DSP-00166,ZONE-3::RACK-2::285::GJ24X1586,2025-07-06 00:00:00,GJ24X1586,Delayed,0,Depot Overflow,Delayed,2025-07-06
DSP-00167,ZONE-3::RACK-2::795::GJ22X4240,2025-07-03 00:00:00,GJ22X4240,In Transit,0,,In Transit,2025-07-03
DSP-00168,ZONE-1::RACK-7::295::GJ18X8961,2025-07-04 00:00:00,GJ18X8961,Failed,0,,Failed,2025-07-04
DSP-00169,ZONE-3::RACK-2::185::GJ30X1043,2025-07-05 00:00:00,GJ30X1043,Delayed,0,Operator Error,Delayed,2025-07-05
DSP-00170,ZONE-3::RACK-2::285::GJ24X1586,2025-07-05 00:00:00,GJ24X1586,In Transit,0,,In Transit,2025-07-05
DSP-00171,ZONE-3::RACK-3::285::GJ24X1586,2025-07-07 00:00:00,GJ24X1586,In Transit,0,,In Transit,2025-07-07
DSP-00172,ZONE-1::RACK-7::789::GJ30X1043,2025-07-04 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-04
DSP-00173,ZONE-3::RACK-3::795::GJ22X4240,2025-07-04 00:00:00,GJ22X4240,In Transit,0,,In Transit,2025-07-04
DSP-00174,ZONE-1::RACK-7::789::GJ30X1043,2025-07-05 00:00:00,GJ30X1043,Delayed,0,Depot Overflow,Delayed,2025-07-05
DSP-00175,ZONE-3::RACK-3::854::GJ19X2606,2025-07-05 00:00:00,GJ19X2606,In Transit,0,,In Transit,2025-07-05
DSP-00176,ZONE-1::RACK-8::295::GJ18X8961,2025-07-07 00:00:00,GJ18X8961,Delayed,1,Weather,Delayed,2025-07-07
DSP-00177,ZONE-3::RACK-3::285::GJ24X1586,2025-07-06 00:00:00,GJ24X1586,Failed,0,,Failed,2025-07-06
DSP-00178,ZONE-3::RACK-3::285::GJ24X1586,2025-07-05 00:00:00,GJ24X1586,Failed,0,,Failed,2025-07-05
DSP-00179,ZONE-2::RACK-6::384::GJ08X1309,2025-07-06 00:00:00,GJ08X1309,Delivered,0,,Delivered,2025-07-06
DSP-00180,ZONE-3::RACK-4::185::GJ30X1043,2025-07-07 00:00:00,GJ30X1043,Delayed,0,Depot Overflow,Delayed,2025-07-07
DSP-00181,ZONE-3::RACK-4::434::GJ09X6178,2025-07-03 00:00:00,GJ09X6178,Failed,0,,Failed,2025-07-03
DSP-00182,ZONE-3::RACK-4::854::GJ19X2606,2025-07-06 00:00:00,GJ19X2606,Delayed,0,Logistics,Delayed,2025-07-06
DSP-00183,ZONE-1::RACK-8::295::GJ18X8961,2025-07-03 00:00:00,GJ18X8961,Delayed,1,Logistics,Delayed,2025-07-03
DSP-00184,ZONE-3::RACK-4::854::GJ19X2606,2025-07-04 00:00:00,GJ19X2606,In Transit,0,,In Transit,2025-07-04
DSP-00185,ZONE-3::RACK-4::795::GJ22X4240,2025-07-07 00:00:00,GJ22X4240,In Transit,0,,In Transit,2025-07-07
DSP-00186,ZONE-3::RACK-5::795::GJ22X4240,2025-07-06 00:00:00,GJ22X4240,Failed,1,,Failed,2025-07-06
DSP-00187,ZONE-2::RACK-6::384::GJ08X1309,2025-07-07 00:00:00,GJ08X1309,Failed,0,,Failed,2025-07-07
DSP-00188,ZONE-2::RACK-7::384::GJ08X1309,2025-07-07 00:00:00,GJ08X1309,Failed,0,,Failed,2025-07-07
DSP-00189,ZONE-3::RACK-5::795::GJ22X4240,2025-07-05 00:00:00,GJ22X4240,Delayed,0,Weather,Delayed,2025-07-05
DSP-00190,ZONE-1::RACK-8::295::GJ18X8961,2025-07-04 00:00:00,GJ18X8961,Delivered,0,,Delivered,2025-07-04
DSP-00191,ZONE-1::RACK-8::789::GJ30X1043,2025-07-07 00:00:00,GJ30X1043,Delivered,0,,Delivered,2025-07-07
DSP-00192,ZONE-3::RACK-5::185::GJ30X1043,2025-07-07 00:00:00,GJ30X1043,Delayed,0,Traffic,Delayed,2025-07-07
