Event_ID,Product_ID,Zone,Rack_Location,Stored_Quantity,FIFO_Flag,Event_Type,Event_Date
INV-00054,VIT-1054-B47-285,ZONE-4,RACK-7,80,1,Stored,2025-07-03
INV-00055,ANT-1055-B18-295,ZONE-1,RACK-3,116,1,Stored,2025-07-03
INV-00056,SUP-1056-B88-434,ZONE-4,RACK-7,174,1,Stored,2025-07-03
INV-00057,IMM-1057-B77-384,ZONE-2,RACK-2,182,1,Stored,2025-07-03
INV-00058,TOP-1058-B12-854,ZONE-3,RACK-1,171,1,Stored,2025-07-03
INV-00059,SUP-1059-B84-434,ZONE-4,RACK-7,184,1,Stored,2025-07-03
INV-00060,VIT-1060-B83-285,ZONE-4,RACK-7,77,1,Stored,2025-07-03
INV-00061,DEW-1061-B43-795,ZONE-4,RACK-8,70,1,Stored,2025-07-03
INV-00062,SUP-1062-B29-434,ZONE-4,RACK-8,176,1,Stored,2025-07-03
INV-00063,VIT-1063-B64-285,ZONE-4,RACK-8,93,1,Stored,2025-07-03
INV-00064,SUP-1064-B83-434,ZONE-4,RACK-8,141,1,Stored,2025-07-03
INV-00065,DIG-1065-B11-185,ZONE-4,RACK-8,67,1,Stored,2025-07-03
INV-00066,ANT-1066-B98-295,ZONE-1,RACK-3,74,1,Stored,2025-07-03
INV-00067,DEW-1067-B96-795,ZONE-4,RACK-9,73,1,Stored,2025-07-03
INV-00068,ANT-1068-B74-789,ZONE-1,RACK-3,196,1,Stored,2025-07-03
INV-00069,ANT-1069-B85-789,ZONE-1,RACK-4,69,1,Stored,2025-07-03
INV-00070,VIT-1070-B55-285,ZONE-4,RACK-9,56,1,Stored,2025-07-03
INV-00071,DIG-1071-B10-185,ZONE-4,RACK-9,93,1,Stored,2025-07-03
INV-00072,ANT-1072-B81-295,ZONE-1,RACK-4,147,1,Stored,2025-07-03
INV-00073,SUP-1073-B31-434,ZONE-4,RACK-9,112,1,Stored,2025-07-03
INV-00074,IMM-1074-B47-384,ZONE-2,RACK-2,83,1,Stored,2025-07-03
INV-00075,DEW-1075-B42-795,ZONE-4,RACK-9,119,1,Stored,2025-07-03
INV-00076,IMM-1076-B11-384,ZONE-2,RACK-2,98,1,Stored,2025-07-03
INV-00077,DIG-1077-B55-185,ZONE-4,RACK-10,89,1,Stored,2025-07-03
INV-00078,TOP-1078-B35-854,ZONE-3,RACK-2,60,1,Stored,2025-07-03
INV-00079,VIT-1079-B59-285,ZONE-4,RACK-10,101,1,Stored,2025-07-03
INV-00080,VIT-1080-B80-285,ZONE-4,RACK-10,86,1,Stored,2025-07-03
INV-00081,TOP-1081-B36-854,ZONE-3,RACK-2,136,1,Stored,2025-07-03
INV-00082,VIT-1082-B59-285,ZONE-4,RACK-10,130,1,Stored,2025-07-03
INV-00083,IMM-1083-B98-384,ZONE-2,RACK-3,95,1,Stored,2025-07-03
INV-00084,IMM-1084-B92-384,ZONE-2,RACK-3,119,1,Stored,2025-07-03
INV-00085,IMM-1085-B46-384,ZONE-2,RACK-3,130,1,Stored,2025-07-03
INV-00086,DIG-1086-B83-185,ZONE-4,RACK-10,131,1,Stored,2025-07-03
INV-00087,ANT-1087-B11-789,ZONE-1,RACK-4,64,1,Stored,2025-07-03
INV-00088,IMM-1088-B90-384,ZONE-2,RACK-3,70,1,Stored,2025-07-03
INV-00089,DIG-1089-B64-185,ZONE-4,RACK-1,147,1,Stored,2025-07-03
INV-00090,ANT-1090-B61-295,ZONE-1,RACK-4,61,1,Stored,2025-07-03
INV-00091,ANT-1091-B91-789,ZONE-1,RACK-4,182,1,Stored,2025-07-03
INV-00092,IMM-1092-B21-384,ZONE-2,RACK-3,113,1,Stored,2025-07-03
INV-00093,VIT-1093-B38-285,ZONE-4,RACK-1,51,1,Stored,2025-07-03
INV-00094,IMM-1094-B48-384,ZONE-2,RACK-4,109,1,Stored,2025-07-03
INV-00095,DIG-1095-B54-185,ZONE-4,RACK-1,130,1,Stored,2025-07-03
INV-00096,DIG-1096-B88-185,ZONE-4,RACK-1,76,1,Stored,2025-07-03
INV-00097,VIT-1097-B62-285,ZONE-4,RACK-1,195,1,Stored,2025-07-03
INV-00098,IMM-1098-B84-384,ZONE-2,RACK-4,51,1,Stored,2025-07-03
INV-00099,SUP-1099-B65-434,ZONE-4,RACK-2,126,1,Stored,2025-07-03
INV-00100,IMM-1100-B65-384,ZONE-2,RACK-4,123,1,Stored,2025-07-03
INV-00101,DIG-1101-B51-185,ZONE-4,RACK-2,126,1,Stored,2025-07-03
INV-00102,IMM-1102-B87-384,ZONE-2,RACK-4,70,1,Stored,2025-07-03
INV-00103,IMM-1103-B54-384,ZONE-2,RACK-4,128,1,Stored,2025-07-03
INV-00104,IMM-1104-B95-384,ZONE-2,RACK-5,171,1,Stored,2025-07-03
INV-00105,DIG-1105-B99-185,ZONE-4,RACK-2,108,1,Stored,2025-07-03
INV-00106,DIG-1106-B45-185,ZONE-4,RACK-2,89,1,Stored,2025-07-03
INV-00107,SUP-1107-B27-434,ZONE-4,RACK-2,87,1,Stored,2025-07-03
INV-00108,ANT-1108-B50-295,ZONE-1,RACK-5,134,1,Stored,2025-07-03
INV-00109,SUP-1109-B96-434,ZONE-4,RACK-3,95,1,Stored,2025-07-03
INV-00110,DIG-1110-B95-185,ZONE-4,RACK-3,50,1,Stored,2025-07-03
INV-00111,DEW-1111-B24-795,ZONE-4,RACK-3,138,1,Stored,2025-07-03
INV-00112,IMM-1112-B53-384,ZONE-2,RACK-5,53,1,Stored,2025-07-03
INV-00113,SUP-1113-B22-434,ZONE-4,RACK-3,148,1,Stored,2025-07-03
INV-00114,DEW-1114-B47-795,ZONE-4,RACK-3,163,1,Stored,2025-07-03
INV-00115,ANT-1115-B91-295,ZONE-1,RACK-5,120,1,Stored,2025-07-03
INV-00116,DEW-1116-B83-795,ZONE-4,RACK-4,105,1,Stored,2025-07-03
INV-00117,DIG-1117-B90-185,ZONE-4,RACK-4,91,1,Stored,2025-07-03
INV-00118,VIT-1118-B39-285,ZONE-4,RACK-4,129,1,Stored,2025-07-03
INV-00119,VIT-1119-B87-285,ZONE-4,RACK-4,53,1,Stored,2025-07-03
INV-00120,IMM-1120-B75-384,ZONE-2,RACK-5,132,1,Stored,2025-07-03
INV-00121,ANT-1121-B48-295,ZONE-1,RACK-5,78,1,Stored,2025-07-03
INV-00122,ANT-1122-B15-789,ZONE-1,RACK-5,135,1,Stored,2025-07-03
INV-00123,DIG-1123-B59-185,ZONE-4,RACK-4,193,1,Stored,2025-07-03
INV-00124,IMM-1124-B91-384,ZONE-2,RACK-5,101,1,Stored,2025-07-03
INV-00125,VIT-1125-B41-285,ZONE-4,RACK-5,118,1,Stored,2025-07-03
INV-00126,ANT-1126-B95-295,ZONE-1,RACK-5,181,1,Stored,2025-07-03
INV-00127,SUP-1127-B14-434,ZONE-4,RACK-5,113,1,Stored,2025-07-03
INV-00128,ANT-1128-B55-789,ZONE-1,RACK-6,190,1,Stored,2025-07-03
INV-00129,SUP-1129-B62-434,ZONE-4,RACK-5,89,1,Stored,2025-07-03
INV-00130,TOP-1130-B59-854,ZONE-3,RACK-2,83,1,Stored,2025-07-03
INV-00131,ANT-1131-B48-295,ZONE-1,RACK-6,67,1,Stored,2025-07-03
INV-00132,ANT-1132-B36-789,ZONE-1,RACK-6,86,1,Stored,2025-07-03
INV-00133,VIT-1133-B99-285,ZONE-4,RACK-5,151,1,Stored,2025-07-03
INV-00134,ANT-1134-B35-789,ZONE-1,RACK-6,54,1,Stored,2025-07-03
INV-00135,TOP-1135-B83-854,ZONE-3,RACK-2,81,1,Stored,2025-07-03
INV-00136,DIG-1136-B31-185,ZONE-4,RACK-5,156,1,Stored,2025-07-03
INV-00137,ANT-1137-B85-789,ZONE-1,RACK-6,67,1,Stored,2025-07-03
INV-00138,DEW-1138-B28-795,ZONE-4,RACK-6,79,1,Stored,2025-07-03
INV-00139,DEW-1139-B95-795,ZONE-4,RACK-6,81,1,Stored,2025-07-03
INV-00140,VIT-1140-B91-285,ZONE-4,RACK-6,117,1,Stored,2025-07-03
INV-00141,TOP-1141-B54-854,ZONE-3,RACK-2,118,1,Stored,2025-07-03
INV-00142,VIT-1142-B41-285,ZONE-4,RACK-6,114,1,Stored,2025-07-03
INV-00143,VIT-1143-B77-285,ZONE-4,RACK-6,199,1,Stored,2025-07-03
INV-00144,DIG-1144-B87-185,ZONE-4,RACK-7,169,1,Stored,2025-07-03
INV-00145,VIT-1145-B35-285,ZONE-4,RACK-7,69,1,Stored,2025-07-03
INV-00146,TOP-1146-B44-854,ZONE-3,RACK-3,153,1,Stored,2025-07-03
INV-00147,TOP-1147-B39-854,ZONE-3,RACK-3,126,1,Stored,2025-07-03
INV-00148,VIT-1148-B66-285,ZONE-4,RACK-7,59,1,Stored,2025-07-03
INV-00149,DIG-1149-B57-185,ZONE-4,RACK-7,114,1,Stored,2025-07-03
INV-00150,DEW-1150-B89-795,ZONE-4,RACK-7,69,1,Stored,2025-07-03
INV-00151,IMM-1151-B76-384,ZONE-2,RACK-5,53,1,Stored,2025-07-03
INV-00152,IMM-1152-B47-384,ZONE-2,RACK-6,57,1,Stored,2025-07-03
INV-00153,SUP-1153-B34-434,ZONE-4,RACK-8,101,1,Stored,2025-07-03
INV-00154,DIG-1154-B29-185,ZONE-4,RACK-8,100,1,Stored,2025-07-03
INV-00155,TOP-1155-B43-854,ZONE-3,RACK-3,91,1,Stored,2025-07-03
INV-00156,DIG-1156-B51-185,ZONE-4,RACK-8,57,1,Stored,2025-07-03
INV-00157,VIT-1157-B96-285,ZONE-4,RACK-8,145,1,Stored,2025-07-03
INV-00158,ANT-1158-B48-295,ZONE-1,RACK-7,63,1,Stored,2025-07-03
INV-00159,DEW-1159-B80-795,ZONE-4,RACK-8,82,1,Stored,2025-07-03
INV-00160,ANT-1160-B12-295,ZONE-1,RACK-7,109,1,Stored,2025-07-03
INV-00161,DEW-1161-B12-795,ZONE-4,RACK-9,61,1,Stored,2025-07-03
INV-00162,IMM-1162-B41-384,ZONE-2,RACK-6,103,1,Stored,2025-07-03
INV-00163,DEW-1163-B50-795,ZONE-4,RACK-9,104,1,Stored,2025-07-03
INV-00164,DEW-1164-B84-795,ZONE-4,RACK-9,66,1,Stored,2025-07-03
INV-00165,IMM-1165-B10-384,ZONE-2,RACK-6,121,1,Stored,2025-07-03
INV-00166,VIT-1166-B12-285,ZONE-4,RACK-9,128,1,Stored,2025-07-03
INV-00167,DEW-1167-B14-795,ZONE-4,RACK-9,198,1,Stored,2025-07-03
INV-00168,ANT-1168-B28-295,ZONE-1,RACK-7,94,1,Stored,2025-07-03
INV-00169,DIG-1169-B40-185,ZONE-4,RACK-10,171,1,Stored,2025-07-03
INV-00170,VIT-1170-B18-285,ZONE-4,RACK-10,95,1,Stored,2025-07-03
INV-00171,VIT-1171-B66-285,ZONE-4,RACK-10,150,1,Stored,2025-07-03
INV-00172,ANT-1172-B25-789,ZONE-1,RACK-7,190,1,Stored,2025-07-03
INV-00173,DEW-1173-B47-795,ZONE-4,RACK-10,111,1,Stored,2025-07-03
INV-00174,ANT-1174-B28-789,ZONE-1,RACK-7,109,1,Stored,2025-07-03
INV-00175,TOP-1175-B69-854,ZONE-3,RACK-3,83,1,Stored,2025-07-03
INV-00176,ANT-1176-B36-295,ZONE-1,RACK-8,75,1,Stored,2025-07-03
INV-00177,VIT-1177-B51-285,ZONE-4,RACK-10,129,1,Stored,2025-07-03
INV-00178,VIT-1178-B91-285,ZONE-4,RACK-1,182,1,Stored,2025-07-03
INV-00179,IMM-1179-B72-384,ZONE-2,RACK-6,141,1,Stored,2025-07-03
INV-00180,DIG-1180-B30-185,ZONE-4,RACK-1,129,1,Stored,2025-07-03
INV-00181,SUP-1181-B24-434,ZONE-4,RACK-1,173,1,Stored,2025-07-03
INV-00182,TOP-1182-B91-854,ZONE-3,RACK-3,64,1,Stored,2025-07-03
INV-00183,ANT-1183-B78-295,ZONE-1,RACK-8,107,1,Stored,2025-07-03
INV-00184,TOP-1184-B46-854,ZONE-3,RACK-4,72,1,Stored,2025-07-03
INV-00185,DEW-1185-B90-795,ZONE-4,RACK-1,154,1,Stored,2025-07-03
INV-00186,DEW-1186-B57-795,ZONE-4,RACK-1,160,1,Stored,2025-07-03
INV-00187,IMM-1187-B20-384,ZONE-2,RACK-6,91,1,Stored,2025-07-03
INV-00188,IMM-1188-B54-384,ZONE-2,RACK-7,161,1,Stored,2025-07-03
INV-00189,DEW-1189-B52-795,ZONE-4,RACK-2,199,1,Stored,2025-07-03
INV-00190,ANT-1190-B75-295,ZONE-1,RACK-8,100,1,Stored,2025-07-03
INV-00191,ANT-1191-B13-789,ZONE-1,RACK-8,92,1,Stored,2025-07-03
INV-00192,DIG-1192-B86-185,ZONE-4,RACK-2,117,1,Stored,2025-07-03
INV-00193,ANT-1193-B54-295,ZONE-1,RACK-8,83,1,Stored,2025-07-03
INV-00194,SUP-1194-B37-434,ZONE-4,RACK-2,158,1,Stored,2025-07-03
INV-00195,DIG-1195-B51-185,ZONE-4,RACK-2,200,1,Stored,2025-07-03
INV-00196,ANT-1196-B20-295,ZONE-1,RACK-9,142,1,Stored,2025-07-03
INV-00197,DEW-1197-B65-795,ZONE-4,RACK-2,156,1,Stored,2025-07-03
INV-00198,SUP-1198-B11-434,ZONE-4,RACK-3,121,1,Stored,2025-07-03
INV-00199,TOP-1199-B87-854,ZONE-3,RACK-4,106,1,Stored,2025-07-03
INV-00200,DEW-1200-B97-795,ZONE-4,RACK-3,157,1,Stored,2025-07-03
INV-00201,SUP-1201-B25-434,ZONE-4,RACK-3,141,1,Stored,2025-07-03
INV-00202,VIT-1202-B11-285,ZONE-4,RACK-3,146,1,Stored,2025-07-03
INV-00203,DIG-1203-B81-185,ZONE-4,RACK-3,176,1,Stored,2025-07-03
INV-00204,DIG-1204-B57-185,ZONE-4,RACK-4,77,1,Stored,2025-07-03
INV-00205,DEW-1205-B28-795,ZONE-4,RACK-4,164,1,Stored,2025-07-03
INV-00206,TOP-1206-B42-854,ZONE-3,RACK-4,187,1,Stored,2025-07-03
INV-00207,SUP-1207-B56-434,ZONE-4,RACK-4,71,1,Stored,2025-07-03
INV-00208,SUP-1208-B34-434,ZONE-4,RACK-4,162,1,Stored,2025-07-03
INV-00209,DEW-1209-B15-795,ZONE-4,RACK-4,144,1,Stored,2025-07-03
INV-00210,VIT-1210-B69-285,ZONE-4,RACK-5,184,1,Stored,2025-07-03
INV-00211,DIG-1211-B51-185,ZONE-4,RACK-5,145,1,Stored,2025-07-03
INV-00212,VIT-1212-B35-285,ZONE-4,RACK-5,53,1,Stored,2025-07-03
INV-00213,DEW-1213-B45-795,ZONE-4,RACK-5,186,1,Stored,2025-07-03
INV-00214,IMM-1214-B55-384,ZONE-2,RACK-7,70,1,Stored,2025-07-03
INV-00215,VIT-1215-B71-285,ZONE-4,RACK-5,108,1,Stored,2025-07-03
INV-00216,VIT-1216-B34-285,ZONE-4,RACK-6,106,1,Stored,2025-07-03
INV-00217,VIT-1217-B19-285,ZONE-4,RACK-6,177,1,Stored,2025-07-03
INV-00218,VIT-1218-B61-285,ZONE-4,RACK-6,176,1,Stored,2025-07-03
INV-00219,VIT-1219-B75-285,ZONE-4,RACK-6,75,1,Stored,2025-07-03
INV-00220,DEW-1220-B11-795,ZONE-4,RACK-6,124,1,Stored,2025-07-03
INV-00221,VIT-1221-B58-285,ZONE-4,RACK-7,124,1,Stored,2025-07-03
INV-00222,VIT-1222-B35-285,ZONE-4,RACK-7,87,1,Stored,2025-07-03
INV-00223,TOP-1223-B92-854,ZONE-3,RACK-4,66,1,Stored,2025-07-03
INV-00224,TOP-1224-B78-854,ZONE-3,RACK-4,80,1,Stored,2025-07-03
INV-00225,DIG-1225-B51-185,ZONE-4,RACK-7,114,1,Stored,2025-07-03
INV-00226,IMM-1226-B37-384,ZONE-2,RACK-7,77,1,Stored,2025-07-03
INV-00227,IMM-1227-B64-384,ZONE-2,RACK-7,97,1,Stored,2025-07-03
INV-00228,IMM-1228-B35-384,ZONE-2,RACK-7,102,1,Stored,2025-07-03
INV-00229,IMM-1229-B92-384,ZONE-2,RACK-8,92,1,Stored,2025-07-03
INV-00230,ANT-1230-B80-789,ZONE-1,RACK-9,88,1,Stored,2025-07-03
INV-00231,DIG-1231-B36-185,ZONE-4,RACK-7,156,1,Stored,2025-07-03
INV-00232,TOP-1232-B55-854,ZONE-3,RACK-5,194,1,Stored,2025-07-03
INV-00233,DIG-1233-B66-185,ZONE-4,RACK-7,199,1,Stored,2025-07-03
INV-00234,ANT-1234-B86-295,ZONE-1,RACK-9,138,1,Stored,2025-07-03
INV-00235,IMM-1235-B72-384,ZONE-2,RACK-8,99,1,Stored,2025-07-03
INV-00236,ANT-1236-B86-789,ZONE-1,RACK-9,95,1,Stored,2025-07-03
INV-00237,VIT-1237-B42-285,ZONE-4,RACK-8,62,1,Stored,2025-07-03
INV-00238,ANT-1238-B29-789,ZONE-1,RACK-9,147,1,Stored,2025-07-03
INV-00239,VIT-1239-B16-285,ZONE-4,RACK-8,141,1,Stored,2025-07-03
INV-00240,ANT-1240-B28-295,ZONE-1,RACK-10,195,1,Stored,2025-07-03
INV-00241,ANT-1241-B29-295,ZONE-1,RACK-10,159,1,Stored,2025-07-03
INV-00242,DEW-1242-B87-795,ZONE-4,RACK-8,94,1,Stored,2025-07-03
INV-00243,ANT-1243-B89-295,ZONE-1,RACK-10,84,1,Stored,2025-07-03
INV-00244,TOP-1244-B42-854,ZONE-3,RACK-5,166,1,Stored,2025-07-03
INV-00245,SUP-1245-B74-434,ZONE-4,RACK-8,91,1,Stored,2025-07-03
INV-00246,VIT-1246-B19-285,ZONE-4,RACK-8,50,1,Stored,2025-07-03
INV-00247,SUP-1247-B68-434,ZONE-4,RACK-9,164,1,Stored,2025-07-03
INV-00248,VIT-1248-B50-285,ZONE-4,RACK-9,104,1,Stored,2025-07-03
INV-00249,IMM-1249-B43-384,ZONE-2,RACK-8,167,1,Stored,2025-07-03
INV-00250,ANT-1250-B12-789,ZONE-1,RACK-10,145,1,Stored,2025-07-03
INV-00251,ANT-1251-B98-789,ZONE-1,RACK-10,81,1,Stored,2025-07-03
INV-00252,SUP-1252-B95-434,ZONE-4,RACK-9,199,1,Stored,2025-07-03
INV-00253,DEW-1253-B76-795,ZONE-4,RACK-9,182,1,Stored,2025-07-03
INV-00254,DEW-1254-B90-795,ZONE-4,RACK-9,166,1,Stored,2025-07-03
INV-00255,DIG-1255-B26-185,ZONE-4,RACK-10,167,1,Stored,2025-07-03
INV-00256,DIG-1256-B30-185,ZONE-4,RACK-10,133,1,Stored,2025-07-03
INV-00257,DEW-1257-B12-795,ZONE-4,RACK-10,69,1,Stored,2025-07-03
INV-00258,VIT-1258-B45-285,ZONE-4,RACK-10,124,1,Stored,2025-07-03
INV-00259,SUP-1259-B48-434,ZONE-4,RACK-10,147,1,Stored,2025-07-03
INV-00260,ANT-1260-B91-789,ZONE-1,RACK-1,132,1,Stored,2025-07-03
INV-00261,DEW-1261-B94-795,ZONE-4,RACK-1,92,1,Stored,2025-07-03
INV-00262,VIT-1262-B79-285,ZONE-4,RACK-1,176,1,Stored,2025-07-03
INV-00263,SUP-1263-B91-434,ZONE-4,RACK-1,183,1,Stored,2025-07-03
INV-00264,DIG-1264-B42-185,ZONE-4,RACK-1,74,1,Stored,2025-07-03
INV-00265,ANT-1265-B53-295,ZONE-1,RACK-1,149,1,Stored,2025-07-03
INV-00266,ANT-1266-B28-295,ZONE-1,RACK-1,179,1,Stored,2025-07-03
INV-00267,DEW-1267-B87-795,ZONE-4,RACK-1,195,1,Stored,2025-07-03
INV-00268,ANT-1268-B94-295,ZONE-1,RACK-1,173,1,Stored,2025-07-03
INV-00269,DEW-1269-B51-795,ZONE-4,RACK-2,127,1,Stored,2025-07-03
INV-00270,ANT-1270-B44-789,ZONE-1,RACK-1,117,1,Stored,2025-07-03
INV-00271,DEW-1271-B67-795,ZONE-4,RACK-2,78,1,Stored,2025-07-03
INV-00272,DEW-1272-B94-795,ZONE-4,RACK-2,187,1,Stored,2025-07-03
INV-00273,VIT-1273-B50-285,ZONE-4,RACK-2,54,1,Stored,2025-07-03
INV-00274,DIG-1274-B49-185,ZONE-4,RACK-2,188,1,Stored,2025-07-03
INV-00275,DIG-1275-B49-185,ZONE-4,RACK-3,121,1,Stored,2025-07-03
INV-00276,DEW-1276-B71-795,ZONE-4,RACK-3,172,1,Stored,2025-07-03
INV-00277,ANT-1277-B81-789,ZONE-1,RACK-2,63,1,Stored,2025-07-03
INV-00278,IMM-1278-B39-384,ZONE-2,RACK-8,61,1,Stored,2025-07-03
INV-00279,SUP-1279-B98-434,ZONE-4,RACK-3,169,1,Stored,2025-07-03
INV-00280,DEW-1280-B57-795,ZONE-4,RACK-3,73,1,Stored,2025-07-03
INV-00281,TOP-1281-B92-854,ZONE-3,RACK-5,101,1,Stored,2025-07-03
INV-00282,IMM-1282-B39-384,ZONE-2,RACK-8,107,1,Stored,2025-07-03
INV-00283,IMM-1283-B42-384,ZONE-2,RACK-9,113,1,Stored,2025-07-03
INV-00284,IMM-1284-B11-384,ZONE-2,RACK-9,161,1,Stored,2025-07-03
INV-00285,DEW-1285-B82-795,ZONE-4,RACK-3,144,1,Stored,2025-07-03
INV-00286,TOP-1286-B58-854,ZONE-3,RACK-5,55,1,Stored,2025-07-03
INV-00287,IMM-1287-B35-384,ZONE-2,RACK-9,161,1,Stored,2025-07-03
INV-00288,VIT-1288-B67-285,ZONE-4,RACK-4,64,1,Stored,2025-07-03
INV-00289,TOP-1289-B88-854,ZONE-3,RACK-5,168,1,Stored,2025-07-03
INV-00290,ANT-1290-B26-295,ZONE-1,RACK-2,169,1,Stored,2025-07-03
INV-00291,TOP-1291-B28-854,ZONE-3,RACK-6,118,1,Stored,2025-07-03
INV-00292,DIG-1292-B40-185,ZONE-4,RACK-4,83,1,Stored,2025-07-03
INV-00293,DEW-1293-B85-795,ZONE-4,RACK-4,131,1,Stored,2025-07-03
INV-00294,ANT-1294-B29-295,ZONE-1,RACK-2,110,1,Stored,2025-07-03
INV-00295,IMM-1295-B22-384,ZONE-2,RACK-9,111,1,Stored,2025-07-03
INV-00296,IMM-1296-B29-384,ZONE-2,RACK-9,162,1,Stored,2025-07-03
INV-00297,ANT-1297-B42-295,ZONE-1,RACK-2,58,1,Stored,2025-07-03
INV-00298,DEW-1298-B92-795,ZONE-4,RACK-4,135,1,Stored,2025-07-03
INV-00299,DEW-1299-B84-795,ZONE-4,RACK-4,173,1,Stored,2025-07-03
INV-00300,DIG-1300-B91-185,ZONE-4,RACK-5,142,1,Stored,2025-07-03
INV-00301,ANT-1301-B68-789,ZONE-1,RACK-2,162,1,Stored,2025-07-03
