Event_ID,Assignment_ID,Product_ID,Transport_ID,Dispatch_Window,Delivery_Window,Urgent_Flag,Event_Type,Event_Date
ASN-00017,ZONE-1::RACK-1::295::GJ12X5063,ANT-1017-B23-295,ZONE-1::RACK-2::295::GJ12X5063::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-27 14:19:16.863742
ASN-00018,ZONE-4::RACK-2::185::GJ27X2754,DIG-1018-B25-185,ZONE-4::RACK-2::185::GJ27X2754::General,2025-07-05,2025-07-07,1,Assigned,2025-06-28 14:19:16.863742
ASN-00019,ZONE-1::RACK-1::789::GJ13X1303,ANT-1019-B72-789,ZONE-1::RACK-5::789::GJ13X1303::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-06-28 14:19:16.863742
ASN-00020,ZONE-2::RACK-1::384::GJ26X3703,IMM-1020-B96-384,ZONE-2::RACK-7::384::GJ26X3703::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-06-25 14:19:16.863742
ASN-00021,ZONE-4::RACK-2::795::GJ24X8239,DEW-1021-B76-795,ZONE-4::RACK-5::795::GJ24X8239::General,2025-07-03,2025-07-06,1,Assigned,2025-06-26 14:19:16.863742
ASN-00022,ZONE-4::RACK-3::185::GJ24X1949,DIG-1022-B98-185,ZONE-4::RACK-3::185::GJ24X1949::General,2025-07-04,2025-07-07,0,Assigned,2025-06-24 14:19:16.863742
ASN-00023,ZONE-4::RACK-3::434::GJ27X2754,SUP-1023-B72-434,ZONE-4::RACK-1::434::GJ27X2754::General,2025-07-04,2025-07-06,0,Assigned,2025-06-28 14:19:16.863742
ASN-00024,ZONE-4::RACK-3::434::GJ16X7539,SUP-1024-B89-434,ZONE-4::RACK-3::434::GJ16X7539::General,2025-07-04,2025-07-06,1,Assigned,2025-06-27 14:19:16.863742
ASN-00025,ZONE-1::RACK-2::295::GJ06X1549,ANT-1025-B60-295,ZONE-1::RACK-8::295::GJ06X1549::Specialised,2025-07-05,2025-07-07,1,Assigned,2025-06-25 14:19:16.863742
ASN-00026,ZONE-4::RACK-3::434::GJ27X9811,SUP-1026-B98-434,ZONE-4::RACK-5::434::GJ27X9811::General,2025-07-04,2025-07-06,0,Assigned,2025-06-24 14:19:16.863742
ASN-00027,ZONE-3::RACK-1::854::GJ15X6806,TOP-1027-B25-854,ZONE-3::RACK-2::854::GJ15X6806::Specialised,2025-07-04,2025-07-06,1,Assigned,2025-07-01 14:19:16.863742
ASN-00028,ZONE-1::RACK-2::295::GJ14X1053,ANT-1028-B91-295,ZONE-1::RACK-5::295::GJ14X1053::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-24 14:19:16.863742
ASN-00029,ZONE-4::RACK-3::795::GJ11X2202,DEW-1029-B33-795,ZONE-4::RACK-5::795::GJ11X2202::General,2025-07-03,2025-07-05,0,Assigned,2025-06-24 14:19:16.863742
ASN-00030,ZONE-2::RACK-1::384::GJ15X5149,IMM-1030-B15-384,ZONE-2::RACK-4::384::GJ15X5149::Specialised,2025-07-05,2025-07-07,1,Assigned,2025-06-23 14:19:16.863742
ASN-00031,ZONE-2::RACK-2::384::GJ17X7384,IMM-1031-B49-384,ZONE-1::RACK-2::295::GJ17X7384::Specialised,2025-07-05,2025-07-08,1,Assigned,2025-06-26 14:19:16.863742
ASN-00032,ZONE-1::RACK-2::295::GJ08X2500,ANT-1032-B55-295,ZONE-1::RACK-2::295::GJ08X2500::Specialised,2025-07-05,2025-07-07,1,Assigned,2025-06-27 14:19:16.863742
ASN-00033,ZONE-4::RACK-4::795::GJ23X1698,DEW-1033-B84-795,ZONE-4::RACK-4::795::GJ23X1698::General,2025-07-05,2025-07-08,0,Assigned,2025-07-01 14:19:16.863742
ASN-00034,ZONE-4::RACK-4::285::GJ01X1573,VIT-1034-B86-285,ZONE-4::RACK-9::285::GJ01X1573::General,2025-07-03,2025-07-05,1,Assigned,2025-06-25 14:19:16.863742
ASN-00035,ZONE-2::RACK-2::384::GJ27X4558,IMM-1035-B77-384,ZONE-2::RACK-2::384::GJ27X4558::Specialised,2025-07-04,2025-07-06,1,Assigned,2025-06-23 14:19:16.863742
ASN-00036,ZONE-4::RACK-4::434::GJ07X6453,SUP-1036-B28-434,ZONE-4::RACK-1::434::GJ07X6453::General,2025-07-03,2025-07-05,1,Assigned,2025-06-29 14:19:16.863742
ASN-00037,ZONE-4::RACK-4::285::GJ04X2061,VIT-1037-B38-285,ZONE-4::RACK-5::285::GJ04X2061::General,2025-07-05,2025-07-08,1,Assigned,2025-06-29 14:19:16.863742
ASN-00038,ZONE-4::RACK-4::185::GJ14X3727,DIG-1038-B72-185,ZONE-4::RACK-1::185::GJ14X3727::General,2025-07-05,2025-07-09,1,Assigned,2025-06-29 14:19:16.863742
ASN-00039,ZONE-4::RACK-5::795::GJ15X3297,DEW-1039-B55-795,ZONE-4::RACK-9::795::GJ15X3297::General,2025-07-03,2025-07-05,1,Assigned,2025-07-01 14:19:16.863742
ASN-00040,ZONE-4::RACK-5::434::GJ16X6108,SUP-1040-B15-434,ZONE-4::RACK-1::434::GJ16X6108::General,2025-07-03,2025-07-06,0,Assigned,2025-06-29 14:19:16.863742
ASN-00041,ZONE-4::RACK-5::434::GJ19X6467,SUP-1041-B44-434,ZONE-4::RACK-7::434::GJ19X6467::General,2025-07-04,2025-07-08,0,Assigned,2025-06-29 14:19:16.863742
ASN-00042,ZONE-1::RACK-2::789::GJ30X4177,ANT-1042-B56-789,ZONE-1::RACK-5::789::GJ30X4177::Specialised,2025-07-05,2025-07-07,1,Assigned,2025-06-28 14:19:16.863742
ASN-00043,ZONE-4::RACK-5::434::GJ25X9157,SUP-1043-B51-434,ZONE-4::RACK-1::434::GJ25X9157::General,2025-07-05,2025-07-08,1,Assigned,2025-06-24 14:19:16.863742
ASN-00044,ZONE-4::RACK-5::795::GJ01X1085,DEW-1044-B35-795,ZONE-4::RACK-1::795::GJ01X1085::General,2025-07-04,2025-07-08,0,Assigned,2025-06-29 14:19:16.863742
ASN-00045,ZONE-1::RACK-2::789::GJ06X9142,ANT-1045-B50-789,ZONE-1::RACK-4::789::GJ06X9142::Specialised,2025-07-05,2025-07-09,1,Assigned,2025-06-27 14:19:16.863742
ASN-00046,ZONE-4::RACK-6::285::GJ13X2230,VIT-1046-B34-285,ZONE-4::RACK-6::285::GJ13X2230::General,2025-07-03,2025-07-05,1,Assigned,2025-06-25 14:19:16.863742
ASN-00047,ZONE-4::RACK-6::285::GJ04X6241,VIT-1047-B24-285,ZONE-4::RACK-4::285::GJ04X6241::General,2025-07-05,2025-07-08,0,Assigned,2025-07-01 14:19:16.863742
ASN-00048,ZONE-1::RACK-3::295::GJ22X7532,ANT-1048-B11-295,ZONE-1::RACK-4::295::GJ22X7532::Specialised,2025-07-03,2025-07-05,1,Assigned,2025-07-01 14:19:16.863742
ASN-00049,ZONE-1::RACK-3::295::GJ23X8514,ANT-1049-B33-295,ZONE-1::RACK-6::295::GJ23X8514::Specialised,2025-07-05,2025-07-09,1,Assigned,2025-06-27 14:19:16.863742
ASN-00050,ZONE-4::RACK-6::185::GJ18X9809,DIG-1050-B81-185,ZONE-4::RACK-5::185::GJ18X9809::General,2025-07-04,2025-07-08,0,Assigned,2025-06-25 14:19:16.863742
ASN-00051,ZONE-4::RACK-6::434::GJ21X7008,SUP-1051-B85-434,ZONE-4::RACK-7::434::GJ21X7008::General,2025-07-05,2025-07-09,1,Assigned,2025-06-27 14:19:16.863742
ASN-00052,ZONE-4::RACK-6::795::GJ15X5149,DEW-1052-B75-795,ZONE-4::RACK-2::795::GJ15X5149::General,2025-07-03,2025-07-05,0,Assigned,2025-06-28 14:19:16.863742
ASN-00053,ZONE-4::RACK-7::185::GJ17X1851,DIG-1053-B54-185,ZONE-3::RACK-6::854::GJ17X1851::Specialised,2025-07-03,2025-07-06,1,Assigned,2025-06-28 14:19:16.863742
ASN-00054,ZONE-4::RACK-7::285::GJ23X1668,VIT-1054-B47-285,ZONE-4::RACK-9::285::GJ23X1668::General,2025-07-04,2025-07-07,1,Assigned,2025-06-26 14:19:16.863742
ASN-00055,ZONE-1::RACK-3::295::GJ09X7005,ANT-1055-B18-295,ZONE-1::RACK-3::295::GJ09X7005::Specialised,2025-07-03,2025-07-05,1,Assigned,2025-06-26 14:19:16.863742
ASN-00056,ZONE-4::RACK-7::434::GJ08X2709,SUP-1056-B88-434,ZONE-4::RACK-10::434::GJ08X2709::General,2025-07-03,2025-07-07,0,Assigned,2025-06-24 14:19:16.863742
ASN-00057,ZONE-2::RACK-2::384::GJ27X2754,IMM-1057-B77-384,ZONE-2::RACK-4::384::GJ27X2754::Specialised,2025-07-05,2025-07-07,1,Assigned,2025-06-27 14:19:16.863742
ASN-00058,ZONE-3::RACK-1::854::GJ10X4612,TOP-1058-B12-854,ZONE-3::RACK-1::854::GJ10X4612::Specialised,2025-07-04,2025-07-06,1,Assigned,2025-07-01 14:19:16.863742
ASN-00059,ZONE-4::RACK-7::434::GJ27X9811,SUP-1059-B84-434,ZONE-4::RACK-1::434::GJ27X9811::General,2025-07-03,2025-07-05,0,Assigned,2025-06-30 14:19:16.863742
ASN-00060,ZONE-4::RACK-7::285::GJ08X3513,VIT-1060-B83-285,ZONE-4::RACK-5::285::GJ08X3513::General,2025-07-05,2025-07-08,0,Assigned,2025-06-30 14:19:16.863742
ASN-00061,ZONE-4::RACK-8::795::GJ17X4217,DEW-1061-B43-795,ZONE-4::RACK-8::795::GJ17X4217::General,2025-07-05,2025-07-08,0,Assigned,2025-06-28 14:19:16.863742
ASN-00062,ZONE-4::RACK-8::434::GJ18X2499,SUP-1062-B29-434,ZONE-4::RACK-7::434::GJ18X2499::General,2025-07-05,2025-07-08,1,Assigned,2025-06-26 14:19:16.863742
ASN-00063,ZONE-4::RACK-8::285::GJ22X5898,VIT-1063-B64-285,ZONE-4::RACK-9::285::GJ22X5898::General,2025-07-03,2025-07-06,1,Assigned,2025-07-01 14:19:16.863742
ASN-00064,ZONE-4::RACK-8::434::GJ11X9382,SUP-1064-B83-434,ZONE-4::RACK-4::434::GJ11X9382::General,2025-07-03,2025-07-07,1,Assigned,2025-06-28 14:19:16.863742
ASN-00065,ZONE-4::RACK-8::185::GJ01X2097,DIG-1065-B11-185,ZONE-4::RACK-5::185::GJ01X2097::General,2025-07-04,2025-07-07,0,Assigned,2025-06-24 14:19:16.863742
ASN-00066,ZONE-1::RACK-3::295::GJ27X4558,ANT-1066-B98-295,ZONE-1::RACK-1::295::GJ27X4558::Specialised,2025-07-05,2025-07-09,1,Assigned,2025-06-26 14:19:16.863742
ASN-00067,ZONE-4::RACK-9::795::GJ11X9180,DEW-1067-B96-795,ZONE-4::RACK-5::795::GJ11X9180::General,2025-07-05,2025-07-08,0,Assigned,2025-06-24 14:19:16.863742
ASN-00068,ZONE-1::RACK-3::789::GJ28X6836,ANT-1068-B74-789,ZONE-1::RACK-4::789::GJ28X6836::Specialised,2025-07-04,2025-07-07,1,Assigned,2025-06-28 14:19:16.863742
ASN-00069,ZONE-1::RACK-4::789::GJ27X1769,ANT-1069-B85-789,ZONE-1::RACK-2::789::GJ27X1769::Specialised,2025-07-05,2025-07-09,1,Assigned,2025-06-26 14:19:16.863742
ASN-00070,ZONE-4::RACK-9::285::GJ19X5382,VIT-1070-B55-285,ZONE-4::RACK-6::285::GJ19X5382::General,2025-07-05,2025-07-08,1,Assigned,2025-06-28 14:19:16.863742
ASN-00071,ZONE-4::RACK-9::185::GJ06X5907,DIG-1071-B10-185,ZONE-4::RACK-8::185::GJ06X5907::General,2025-07-03,2025-07-06,0,Assigned,2025-06-30 14:19:16.863742
ASN-00072,ZONE-1::RACK-4::295::GJ17X8304,ANT-1072-B81-295,ZONE-1::RACK-7::295::GJ17X8304::Specialised,2025-07-05,2025-07-09,1,Assigned,2025-06-23 14:19:16.863742
ASN-00073,ZONE-4::RACK-9::434::GJ29X3199,SUP-1073-B31-434,ZONE-4::RACK-9::434::GJ29X3199::General,2025-07-04,2025-07-07,0,Assigned,2025-06-26 14:19:16.863742
ASN-00074,ZONE-2::RACK-2::384::GJ26X6532,IMM-1074-B47-384,ZONE-2::RACK-9::384::GJ26X6532::Specialised,2025-07-03,2025-07-06,1,Assigned,2025-06-25 14:19:16.863742
ASN-00075,ZONE-4::RACK-9::795::GJ04X2061,DEW-1075-B42-795,ZONE-4::RACK-1::795::GJ04X2061::General,2025-07-03,2025-07-05,0,Assigned,2025-07-01 14:19:16.863742
ASN-00076,ZONE-2::RACK-2::384::GJ15X4384,IMM-1076-B11-384,ZONE-3::RACK-4::854::GJ15X4384::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-07-01 14:19:16.863742
ASN-00077,ZONE-4::RACK-10::185::GJ28X5690,DIG-1077-B55-185,ZONE-4::RACK-5::185::GJ28X5690::General,2025-07-03,2025-07-07,1,Assigned,2025-06-27 14:19:16.863742
ASN-00078,ZONE-3::RACK-2::854::GJ14X9412,TOP-1078-B35-854,ZONE-3::RACK-10::854::GJ14X9412::Specialised,2025-07-04,2025-07-06,1,Assigned,2025-07-01 14:19:16.863742
ASN-00079,ZONE-4::RACK-10::285::GJ22X7532,VIT-1079-B59-285,ZONE-4::RACK-7::285::GJ22X7532::General,2025-07-05,2025-07-09,1,Assigned,2025-06-28 14:19:16.863742
ASN-00080,ZONE-4::RACK-10::285::GJ06X1200,VIT-1080-B80-285,ZONE-4::RACK-1::285::GJ06X1200::General,2025-07-04,2025-07-06,0,Assigned,2025-06-23 14:19:16.863742
ASN-00081,ZONE-3::RACK-2::854::GJ07X8970,TOP-1081-B36-854,ZONE-3::RACK-9::854::GJ07X8970::Specialised,2025-07-05,2025-07-07,1,Assigned,2025-06-26 14:19:16.863742
ASN-00082,ZONE-4::RACK-10::285::GJ17X3593,VIT-1082-B59-285,ZONE-4::RACK-3::285::GJ17X3593::General,2025-07-05,2025-07-09,0,Assigned,2025-07-01 14:19:16.863742
ASN-00083,ZONE-2::RACK-3::384::GJ06X1200,IMM-1083-B98-384,ZONE-2::RACK-7::384::GJ06X1200::Specialised,2025-07-05,2025-07-09,1,Assigned,2025-06-27 14:19:16.863742
ASN-00084,ZONE-2::RACK-3::384::GJ06X9871,IMM-1084-B92-384,ZONE-2::RACK-2::384::GJ06X9871::Specialised,2025-07-03,2025-07-06,1,Assigned,2025-06-29 14:19:16.863742
ASN-00085,ZONE-2::RACK-3::384::GJ05X8172,IMM-1085-B46-384,ZONE-2::RACK-10::384::GJ05X8172::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-28 14:19:16.863742
ASN-00086,ZONE-4::RACK-10::185::GJ12X5328,DIG-1086-B83-185,ZONE-4::RACK-5::185::GJ12X5328::General,2025-07-05,2025-07-07,0,Assigned,2025-06-26 14:19:16.863742
ASN-00087,ZONE-1::RACK-4::789::GJ07X3648,ANT-1087-B11-789,ZONE-1::RACK-3::789::GJ07X3648::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-28 14:19:16.863742
ASN-00088,ZONE-2::RACK-3::384::GJ07X1011,IMM-1088-B90-384,ZONE-2::RACK-8::384::GJ07X1011::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-30 14:19:16.863742
ASN-00089,ZONE-4::RACK-1::185::GJ23X5465,DIG-1089-B64-185,ZONE-4::RACK-1::185::GJ23X5465::General,2025-07-05,2025-07-07,0,Assigned,2025-06-30 14:19:16.863742
ASN-00090,ZONE-1::RACK-4::295::GJ12X2891,ANT-1090-B61-295,ZONE-1::RACK-7::295::GJ12X2891::Specialised,2025-07-03,2025-07-05,1,Assigned,2025-06-24 14:19:16.863742
ASN-00091,ZONE-1::RACK-4::789::GJ12X2891,ANT-1091-B91-789,ZONE-1::RACK-10::789::GJ12X2891::Specialised,2025-07-05,2025-07-07,1,Assigned,2025-06-29 14:19:16.863742
ASN-00092,ZONE-2::RACK-3::384::GJ06X1549,IMM-1092-B21-384,ZONE-2::RACK-6::384::GJ06X1549::Specialised,2025-07-03,2025-07-05,1,Assigned,2025-06-27 14:19:16.863742
ASN-00093,ZONE-4::RACK-1::285::GJ05X2776,VIT-1093-B38-285,ZONE-4::RACK-3::285::GJ05X2776::General,2025-07-04,2025-07-06,1,Assigned,2025-06-27 14:19:16.863742
ASN-00094,ZONE-2::RACK-4::384::GJ30X9209,IMM-1094-B48-384,ZONE-2::RACK-1::384::GJ30X9209::Specialised,2025-07-04,2025-07-07,1,Assigned,2025-06-26 14:19:16.863742
ASN-00095,ZONE-4::RACK-1::185::GJ11X8049,DIG-1095-B54-185,ZONE-4::RACK-8::185::GJ11X8049::General,2025-07-03,2025-07-07,1,Assigned,2025-06-30 14:19:16.863742
ASN-00096,ZONE-4::RACK-1::185::GJ13X1303,DIG-1096-B88-185,ZONE-4::RACK-10::185::GJ13X1303::General,2025-07-05,2025-07-09,0,Assigned,2025-06-28 14:19:16.863742
ASN-00097,ZONE-4::RACK-1::285::GJ07X1011,VIT-1097-B62-285,ZONE-4::RACK-10::285::GJ07X1011::General,2025-07-03,2025-07-07,1,Assigned,2025-06-24 14:19:16.863742
ASN-00098,ZONE-2::RACK-4::384::GJ14X5845,IMM-1098-B84-384,ZONE-2::RACK-9::384::GJ14X5845::Specialised,2025-07-04,2025-07-07,1,Assigned,2025-06-28 14:19:16.863742
ASN-00099,ZONE-4::RACK-2::434::GJ24X6673,SUP-1099-B65-434,ZONE-4::RACK-10::434::GJ24X6673::General,2025-07-05,2025-07-09,1,Assigned,2025-06-27 14:19:16.863742
ASN-00100,ZONE-2::RACK-4::384::GJ23X7398,IMM-1100-B65-384,ZONE-2::RACK-9::384::GJ23X7398::Specialised,2025-07-04,2025-07-07,1,Assigned,2025-06-29 14:19:16.863742
ASN-00101,ZONE-4::RACK-2::185::GJ29X9603,DIG-1101-B51-185,ZONE-4::RACK-8::185::GJ29X9603::General,2025-07-05,2025-07-09,1,Assigned,2025-06-28 14:19:16.863742
ASN-00102,ZONE-2::RACK-4::384::GJ29X6133,IMM-1102-B87-384,ZONE-2::RACK-1::384::GJ29X6133::Specialised,2025-07-04,2025-07-06,1,Assigned,2025-06-23 14:19:16.863742
ASN-00103,ZONE-2::RACK-4::384::GJ01X5402,IMM-1103-B54-384,ZONE-2::RACK-6::384::GJ01X5402::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-27 14:19:16.863742
ASN-00104,ZONE-2::RACK-5::384::GJ11X7822,IMM-1104-B95-384,ZONE-2::RACK-1::384::GJ11X7822::Specialised,2025-07-03,2025-07-06,1,Assigned,2025-06-26 14:19:16.863742
ASN-00105,ZONE-4::RACK-2::185::GJ24X1949,DIG-1105-B99-185,ZONE-4::RACK-10::185::GJ24X1949::General,2025-07-03,2025-07-07,1,Assigned,2025-06-29 14:19:16.863742
ASN-00106,ZONE-4::RACK-2::185::GJ10X2304,DIG-1106-B45-185,ZONE-4::RACK-3::185::GJ10X2304::General,2025-07-03,2025-07-06,1,Assigned,2025-06-27 14:19:16.863742
ASN-00107,ZONE-4::RACK-2::434::GJ24X6892,SUP-1107-B27-434,ZONE-4::RACK-2::434::GJ24X6892::General,2025-07-04,2025-07-06,0,Assigned,2025-06-28 14:19:16.863742
ASN-00108,ZONE-1::RACK-5::295::GJ15X4384,ANT-1108-B50-295,ZONE-1::RACK-5::295::GJ15X4384::Specialised,2025-07-03,2025-07-05,1,Assigned,2025-06-27 14:19:16.863742
ASN-00109,ZONE-4::RACK-3::434::GJ28X9659,SUP-1109-B96-434,ZONE-4::RACK-6::434::GJ28X9659::General,2025-07-05,2025-07-09,1,Assigned,2025-06-27 14:19:16.863742
ASN-00110,ZONE-4::RACK-3::185::GJ14X3727,DIG-1110-B95-185,ZONE-4::RACK-1::185::GJ14X3727::General,2025-07-05,2025-07-07,1,Assigned,2025-06-23 14:19:16.863742
ASN-00111,ZONE-4::RACK-3::795::GJ22X7532,DEW-1111-B24-795,ZONE-4::RACK-1::795::GJ22X7532::General,2025-07-03,2025-07-06,1,Assigned,2025-06-24 14:19:16.863742
ASN-00112,ZONE-2::RACK-5::384::GJ24X6532,IMM-1112-B53-384,ZONE-2::RACK-2::384::GJ24X6532::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-24 14:19:16.863742
ASN-00113,ZONE-4::RACK-3::434::GJ23X5185,SUP-1113-B22-434,ZONE-4::RACK-8::434::GJ23X5185::General,2025-07-03,2025-07-06,0,Assigned,2025-06-25 14:19:16.863742
ASN-00114,ZONE-4::RACK-3::795::GJ17X4217,DEW-1114-B47-795,ZONE-4::RACK-5::795::GJ17X4217::General,2025-07-03,2025-07-07,0,Assigned,2025-06-24 14:19:16.863742
ASN-00115,ZONE-1::RACK-5::295::GJ06X9871,ANT-1115-B91-295,ZONE-1::RACK-8::295::GJ06X9871::Specialised,2025-07-05,2025-07-08,1,Assigned,2025-06-27 14:19:16.863742
ASN-00116,ZONE-4::RACK-4::795::GJ14X3279,DEW-1116-B83-795,ZONE-4::RACK-5::795::GJ14X3279::General,2025-07-03,2025-07-05,0,Assigned,2025-06-26 14:19:16.863742
ASN-00117,ZONE-4::RACK-4::185::GJ11X8049,DIG-1117-B90-185,ZONE-4::RACK-6::185::GJ11X8049::General,2025-07-04,2025-07-07,1,Assigned,2025-06-26 14:19:16.863742
ASN-00118,ZONE-4::RACK-4::285::GJ26X5488,VIT-1118-B39-285,ZONE-4::RACK-4::285::GJ26X5488::General,2025-07-05,2025-07-07,1,Assigned,2025-06-26 14:19:16.863742
ASN-00119,ZONE-4::RACK-4::285::GJ17X4217,VIT-1119-B87-285,ZONE-4::RACK-10::285::GJ17X4217::General,2025-07-04,2025-07-06,1,Assigned,2025-07-01 14:19:16.863742
ASN-00120,ZONE-2::RACK-5::384::GJ01X5402,IMM-1120-B75-384,ZONE-2::RACK-10::384::GJ01X5402::Specialised,2025-07-05,2025-07-08,1,Assigned,2025-06-27 14:19:16.863742
ASN-00121,ZONE-1::RACK-5::295::GJ11X5333,ANT-1121-B48-295,ZONE-1::RACK-4::295::GJ11X5333::Specialised,2025-07-03,2025-07-06,1,Assigned,2025-06-24 14:19:16.863742
ASN-00122,ZONE-1::RACK-5::789::GJ27X3348,ANT-1122-B15-789,ZONE-1::RACK-7::789::GJ27X3348::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-26 14:19:16.863742
ASN-00123,ZONE-4::RACK-4::185::GJ28X6836,DIG-1123-B59-185,ZONE-4::RACK-2::185::GJ28X6836::General,2025-07-03,2025-07-06,1,Assigned,2025-06-23 14:19:16.863742
ASN-00124,ZONE-2::RACK-5::384::GJ28X5690,IMM-1124-B91-384,ZONE-2::RACK-6::384::GJ28X5690::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-06-28 14:19:16.863742
ASN-00125,ZONE-4::RACK-5::285::GJ15X2791,VIT-1125-B41-285,ZONE-4::RACK-8::285::GJ15X2791::General,2025-07-05,2025-07-09,1,Assigned,2025-06-30 14:19:16.863742
ASN-00126,ZONE-1::RACK-5::295::GJ12X3425,ANT-1126-B95-295,ZONE-1::RACK-1::295::GJ12X3425::Specialised,2025-07-05,2025-07-08,1,Assigned,2025-06-27 14:19:16.863742
ASN-00127,ZONE-4::RACK-5::434::GJ21X7971,SUP-1127-B14-434,ZONE-4::RACK-4::434::GJ21X7971::General,2025-07-04,2025-07-08,0,Assigned,2025-06-23 14:19:16.863742
ASN-00128,ZONE-1::RACK-6::789::GJ22X5898,ANT-1128-B55-789,ZONE-1::RACK-4::789::GJ22X5898::Specialised,2025-07-05,2025-07-08,1,Assigned,2025-06-26 14:19:16.863742
ASN-00129,ZONE-4::RACK-5::434::GJ12X5063,SUP-1129-B62-434,ZONE-4::RACK-8::434::GJ12X5063::General,2025-07-03,2025-07-05,0,Assigned,2025-06-24 14:19:16.863742
ASN-00130,ZONE-3::RACK-2::854::GJ30X6638,TOP-1130-B59-854,ZONE-3::RACK-6::854::GJ30X6638::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-07-01 14:19:16.863742
