Assignment_ID,Product_ID,Urgent_Flag,Dispatch_Window,Delivery_Window,Unit_Weight (kg),Unit_Volume (L),Fragile_Flag,Temp_Sensitive_Flag,Quantity_Assigned,Total_Weight,Total_Volume,Priority_Label,Cluster_Label,Vehicle_ID,Main_Cluster_Label,Handling_Group
ZONE-3::RACK-6::854::GJ13X8172,TOP-1291-B28-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,23,41.4,23.0,,2,,Mid-Term,Fragile Only
ZONE-3::RACK-6::854::GJ23X8925,TOP-1303-B58-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,6,10.8,6.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-6::854::GJ23X4559,TOP-1315-B97-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,48,86.4,48.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-6::854::GJ17X5492,TOP-1318-B96-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,4,7.2,4.0,,1,,Mid-Term,Fragile Only
ZONE-3::RACK-6::854::GJ11X4850,TOP-1332-B67-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,9,16.2,9.0,,4,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-7::854::GJ23X1698,TOP-1339-B84-854,1,2025-07-03,2025-07-06,1.8,1.0,1,0,43,77.4,43.0,,3,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-7::854::GJ15X4384,TOP-1340-B66-854,1,2025-07-04,2025-07-08,1.8,1.0,1,0,49,88.2,49.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-7::854::GJ13X8172,TOP-1342-B34-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,2,3.6,2.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-7::854::GJ13X6948,TOP-1346-B40-854,1,2025-07-04,2025-07-06,1.8,1.0,1,0,28,50.4,28.0,,5,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-7::854::GJ07X6453,TOP-1373-B81-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,39,70.2,39.0,,0,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-8::854::GJ26X6532,TOP-1375-B78-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,42,75.60000000000001,42.0,,3,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-8::854::GJ08X2709,TOP-1378-B27-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,13,23.4,13.0,,4,,Mid-Term,Fragile Only
ZONE-3::RACK-8::854::GJ14X1053,TOP-1380-B42-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,20,36.0,20.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-8::854::GJ10X3256,TOP-1383-B18-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,42,75.60000000000001,42.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-8::854::GJ08X3513,TOP-1392-B72-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,44,79.2,44.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-9::854::GJ08X1229,TOP-1393-B97-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,34,61.2,34.0,,0,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-9::854::GJ15X4384,TOP-1400-B90-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,1,1.8,1.0,,1,,Mid-Term,Fragile Only
ZONE-3::RACK-9::854::GJ14X5845,TOP-1401-B35-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,47,84.60000000000001,47.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-9::854::GJ14X5369,TOP-1407-B74-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,33,59.4,33.0,,5,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-9::854::GJ08X8689,TOP-1412-B20-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,48,86.4,48.0,,3,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-10::854::GJ14X3279,TOP-1427-B21-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,4,7.2,4.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-10::854::GJ01X1085,TOP-1430-B92-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,32,57.6,32.0,,5,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-10::854::GJ10X5068,TOP-1432-B12-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,19,34.2,19.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-10::854::GJ30X3926,TOP-1436-B58-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,44,79.2,44.0,,3,,Mid-Term,Fragile Only
ZONE-3::RACK-10::854::GJ27X6555,TOP-1442-B63-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,1,1.8,1.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ23X8514,TOP-1470-B69-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,37,66.60000000000001,37.0,,0,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ06X1549,TOP-1472-B32-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,26,46.8,26.0,,5,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ25X3449,TOP-1481-B10-854,1,2025-07-04,2025-07-08,1.8,1.0,1,0,22,39.6,22.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ23X1698,TOP-1487-B23-854,1,2025-07-04,2025-07-06,1.8,1.0,1,0,5,9.0,5.0,,1,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-2::854::GJ17X5492,TOP-1493-B13-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,17,30.6,17.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-2::854::GJ18X3994,TOP-1502-B11-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,27,48.6,27.0,,5,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-2::854::GJ12X1758,TOP-1515-B37-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,41,73.8,41.0,,0,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-2::854::GJ17X3593,TOP-1523-B34-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,35,63.0,35.0,,0,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-2::854::GJ17X8304,TOP-1526-B49-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,18,32.4,18.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-3::854::GJ10X2304,TOP-1534-B54-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,23,41.4,23.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-3::854::GJ06X9142,TOP-1540-B95-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,13,23.4,13.0,,4,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-3::854::GJ03X3136,TOP-1561-B64-854,1,2025-07-04,2025-07-08,1.8,1.0,1,0,11,19.8,11.0,,4,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-3::854::GJ16X5358,TOP-1571-B67-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,1,1.8,1.0,,1,,Mid-Term,Fragile Only
ZONE-3::RACK-4::854::GJ03X3136,TOP-1586-B45-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,15,27.0,15.0,,4,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-4::854::GJ05X8172,TOP-1592-B92-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,29,52.2,29.0,,5,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-4::854::GJ28X9659,TOP-1595-B38-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,25,45.0,25.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-4::854::GJ28X7060,TOP-1597-B30-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,22,39.6,22.0,,2,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-5::854::GJ10X5398,TOP-1598-B10-854,1,2025-07-03,2025-07-06,1.8,1.0,1,0,36,64.8,36.0,,0,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-5::854::GJ01X1085,TOP-1630-B11-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,33,59.4,33.0,,5,,Mid-Term,Fragile Only
ZONE-3::RACK-5::854::GJ15X3465,TOP-1647-B76-854,1,2025-07-04,2025-07-06,1.8,1.0,1,0,48,86.4,48.0,,3,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-5::854::GJ19X5382,TOP-1651-B27-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,23,41.4,23.0,,2,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-5::854::GJ27X4558,TOP-1668-B73-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,46,82.8,46.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-6::854::GJ12X2891,TOP-1671-B89-854,1,2025-07-03,2025-07-06,1.8,1.0,1,0,23,41.4,23.0,,2,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-6::854::GJ09X8395,TOP-1688-B67-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,2,3.6,2.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-6::854::GJ15X2279,TOP-1701-B69-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,5,9.0,5.0,,1,,Mid-Term,Fragile Only
ZONE-3::RACK-6::854::GJ25X3449,TOP-1708-B21-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,21,37.8,21.0,,2,,Mid-Term,Fragile Only
ZONE-3::RACK-7::854::GJ09X7005,TOP-1721-B87-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,24,43.2,24.0,,2,,Mid-Term,Fragile Only
ZONE-3::RACK-7::854::GJ18X6865,TOP-1726-B90-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,19,34.2,19.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-7::854::GJ18X2499,TOP-1738-B81-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,20,36.0,20.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-7::854::GJ28X9659,TOP-1741-B45-854,1,2025-07-03,2025-07-06,1.8,1.0,1,0,3,5.4,3.0,,1,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-7::854::GJ24X8239,TOP-1760-B47-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,19,34.2,19.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-8::854::GJ14X5369,TOP-1765-B63-854,1,2025-07-04,2025-07-06,1.8,1.0,1,0,17,30.6,17.0,,2,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-8::854::GJ23X5793,TOP-1767-B49-854,1,2025-07-04,2025-07-08,1.8,1.0,1,0,22,39.6,22.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-8::854::GJ30X4471,TOP-1770-B90-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,36,64.8,36.0,,0,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-8::854::GJ12X3425,TOP-1771-B72-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,30,54.0,30.0,,5,,Mid-Term,Fragile Only
ZONE-3::RACK-8::854::GJ28X8907,TOP-1773-B82-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,10,18.0,10.0,,4,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-9::854::GJ15X2279,TOP-1775-B22-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,40,72.0,40.0,,0,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-9::854::GJ26X3703,TOP-1776-B41-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,18,32.4,18.0,,2,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-9::854::GJ17X5492,TOP-1781-B92-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,7,12.6,7.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-9::854::GJ12X2891,TOP-1784-B63-854,1,2025-07-04,2025-07-06,1.8,1.0,1,0,18,32.4,18.0,,2,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-9::854::GJ27X3027,TOP-1787-B23-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,29,52.2,29.0,,5,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-10::854::GJ13X7840,TOP-1797-B54-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,36,64.8,36.0,,0,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-10::854::GJ01X5402,TOP-1807-B86-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,27,48.6,27.0,,5,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-10::854::GJ21X8382,TOP-1840-B26-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,17,30.6,17.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-10::854::GJ27X4558,TOP-1842-B49-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,24,43.2,24.0,,2,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ16X5358,TOP-1858-B12-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,25,45.0,25.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ11X7822,TOP-1864-B52-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,34,61.2,34.0,,0,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ07X8970,TOP-1874-B27-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,15,27.0,15.0,,4,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ12X5063,TOP-1875-B72-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,17,30.6,17.0,,2,,Mid-Term,Fragile Only
ZONE-3::RACK-1::854::GJ09X8395,TOP-1884-B45-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,6,10.8,6.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-2::854::GJ14X7289,TOP-1888-B24-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,49,88.2,49.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-2::854::GJ18X6865,TOP-1889-B32-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,19,34.2,19.0,,2,,Mid-Term,Fragile Only
ZONE-3::RACK-2::854::GJ05X5064,TOP-1913-B71-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,13,23.4,13.0,,4,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-2::854::GJ08X2500,TOP-1943-B86-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,10,18.0,10.0,,4,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-2::854::GJ30X9209,TOP-1944-B52-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,40,72.0,40.0,,0,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-3::854::GJ04X6241,TOP-1945-B53-854,1,2025-07-04,2025-07-08,1.8,1.0,1,0,9,16.2,9.0,,4,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-3::854::GJ04X2021,TOP-1952-B69-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,39,70.2,39.0,,0,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-3::854::GJ06X5907,TOP-1964-B44-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,28,50.4,28.0,,5,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-3::854::GJ15X4430,TOP-1970-B47-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,16,28.8,16.0,,4,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-4::854::GJ28X8907,TOP-2001-B37-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,32,57.6,32.0,,5,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-4::854::GJ25X9157,TOP-2004-B31-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,31,55.8,31.0,,5,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-4::854::GJ23X1698,TOP-2011-B10-854,1,2025-07-04,2025-07-06,1.8,1.0,1,0,43,77.4,43.0,,3,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-4::854::GJ30X3926,TOP-2019-B32-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,10,18.0,10.0,,4,,Mid-Term,Fragile Only
ZONE-3::RACK-4::854::GJ23X5793,TOP-2025-B40-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,50,90.0,50.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-5::854::GJ18X7432,TOP-2028-B13-854,1,2025-07-04,2025-07-08,1.8,1.0,1,0,6,10.8,6.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-5::854::GJ04X6241,TOP-2030-B32-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,22,39.6,22.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-5::854::GJ22X5898,TOP-2031-B26-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,1,1.8,1.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-5::854::GJ13X6948,TOP-2035-B30-854,1,2025-07-03,2025-07-06,1.8,1.0,1,0,19,34.2,19.0,,2,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-5::854::GJ08X2500,TOP-2046-B74-854,1,2025-07-03,2025-07-06,1.8,1.0,1,0,27,48.6,27.0,,5,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-6::854::GJ15X4384,TOP-2052-B71-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,43,77.4,43.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-6::854::GJ13X7840,TOP-2054-B63-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,13,23.4,13.0,,4,,Mid-Term,Fragile Only
ZONE-3::RACK-6::854::GJ03X4858,TOP-2055-B53-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,50,90.0,50.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-6::854::GJ17X8039,TOP-2059-B79-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,34,61.2,34.0,,0,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-6::854::GJ16X5496,TOP-2066-B11-854,1,2025-07-04,2025-07-08,1.8,1.0,1,0,40,72.0,40.0,,0,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-7::854::GJ23X1668,TOP-2069-B21-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,31,55.8,31.0,,5,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-7::854::GJ12X2891,TOP-2073-B95-854,1,2025-07-03,2025-07-06,1.8,1.0,1,0,46,82.8,46.0,,3,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-7::854::GJ11X9180,TOP-2079-B83-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,39,70.2,39.0,,0,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-7::854::GJ18X7432,TOP-2083-B23-854,1,2025-07-04,2025-07-06,1.8,1.0,1,0,10,18.0,10.0,,4,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-8::854::GJ06X1200,TOP-2102-B83-854,1,2025-07-04,2025-07-08,1.8,1.0,1,0,21,37.8,21.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-8::854::GJ13X6948,TOP-2113-B19-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,11,19.8,11.0,,4,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-8::854::GJ01X7726,TOP-2116-B19-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,18,32.4,18.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-8::854::GJ02X4245,TOP-2134-B86-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,14,25.2,14.0,,4,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-8::854::GJ15X4384,TOP-2136-B41-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,7,12.6,7.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-9::854::GJ09X3787,TOP-2138-B82-854,1,2025-07-04,2025-07-08,1.8,1.0,1,0,6,10.8,6.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-9::854::GJ27X6555,TOP-2144-B32-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,9,16.2,9.0,,4,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-9::854::GJ25X8456,TOP-2145-B66-854,1,2025-07-04,2025-07-08,1.8,1.0,1,0,3,5.4,3.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-9::854::GJ11X9180,TOP-2147-B83-854,1,2025-07-03,2025-07-06,1.8,1.0,1,0,9,16.2,9.0,,4,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-9::854::GJ17X8304,TOP-2151-B33-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,45,81.0,45.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-10::854::GJ14X8889,TOP-2153-B98-854,1,2025-07-04,2025-07-06,1.8,1.0,1,0,41,73.8,41.0,,0,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-10::854::GJ15X2279,TOP-2156-B12-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,47,84.60000000000001,47.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-10::854::GJ26X6532,TOP-2158-B17-854,1,2025-07-03,2025-07-06,1.8,1.0,1,0,2,3.6,2.0,,1,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-10::854::GJ06X6051,TOP-2173-B48-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,8,14.4,8.0,,1,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ27X3027,TOP-2178-B60-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,1,1.8,1.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ25X8456,TOP-2192-B62-854,1,2025-07-05,2025-07-09,1.8,1.0,1,0,18,32.4,18.0,,2,,Mid-Term,Fragile Only
ZONE-3::RACK-1::854::GJ21X9440,TOP-2202-B36-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,35,63.0,35.0,,0,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ12X6087,TOP-2219-B83-854,1,2025-07-04,2025-07-08,1.8,1.0,1,0,49,88.2,49.0,,3,,Next-Day Urgent,Fragile Only
