OrderID,Expiry_Days_Left,Order_Date,Expiry_Date,Pallet_Size,Route_Type,Mode_of_Transport,Urgent_Order_Flag,Fragility,Dispatch_Window,Temp_Sensitive
6E5DBACB-79D3-4677-B8F6,441,2025-06-21,2026-09-05,150,Intercity,Medium Truck,Yes,No,29/06/2025,Yes
32EF6F6A-1A29-4659-AB07,213,2025-06-21,2026-01-20,120,Local,Small Truck,No,No,26/06/2025,Yes
1477CBB8-C5AF-4415-B0B0,649,2025-06-19,2027-03-30,60,Intercity,Medium Truck,No,Yes,25/06/2025,No
6A104867-28B9-4172-A98E,193,2025-06-20,2025-12-30,100,Interstate,Big Truck,Yes,No,27/06/2025,No
2A4E91FB-1CF8-4F4B-80A7,643,2025-06-15,2027-03-20,60,Intercity,Medium Truck,Yes,No,29/06/2025,No
C278F06B-7BF6-4205-8959,512,2025-06-18,2026-11-12,120,Intercity,Medium Truck,No,Yes,26/06/2025,No
F7FE9C0F-8B82-4F4B-BD89,675,2025-06-19,2027-04-25,60,Interstate,Big Truck,Yes,No,27/06/2025,Yes
8433D943-9D34-4CF0-9B1C,137,2025-06-18,2025-11-02,60,Local,Small Truck,Yes,No,25/06/2025,Yes
C44D5F67-B873-4810-B170,675,2025-06-20,2027-04-26,60,Local,Small Truck,Yes,No,26/06/2025,No
A87BD608-2A40-420E-A99E,609,2025-06-16,2027-02-15,80,Intercity,Medium Truck,Yes,No,23/06/2025,No
61651AB8-2125-4250-A757,599,2025-06-19,2027-02-08,150,Interstate,Big Truck,Yes,Yes,25/06/2025,No
BE8B2426-3E47-4E48-9CE9,495,2025-06-21,2026-10-29,150,Local,Small Truck,Yes,Yes,26/06/2025,No
7D4F65CA-C2D8-471D-ACB1,437,2025-06-18,2026-08-29,100,Local,Small Truck,Yes,No,26/06/2025,Yes
D651A1E8-7FAC-4A99-996C,192,2025-06-20,2025-12-29,150,Intercity,Medium Truck,No,No,27/06/2025,No
CAEC4760-1988-4588-A535,211,2025-06-20,2026-01-17,150,Intercity,Medium Truck,No,No,27/06/2025,No
F3019A6F-E88E-43B1-83FC,284,2025-06-18,2026-03-29,60,Local,Small Truck,Yes,No,23/06/2025,Yes
D36B0DC1-F179-493D-B71B,351,2025-06-20,2026-06-06,120,Intercity,Medium Truck,No,No,29/06/2025,No
6E312A75-4FC4-41C6-8F7F,349,2025-06-16,2026-05-31,100,Intercity,Medium Truck,No,Yes,24/06/2025,Yes
9602D097-3D06-477A-9306,64,2025-06-19,2025-08-22,120,Interstate,Big Truck,Yes,No,23/06/2025,No
1F325DC1-6BA9-4C4C-8B71,530,2025-06-20,2026-12-02,150,Intercity,Medium Truck,Yes,No,26/06/2025,No
53F1C9D4-EAC3-475E-8F17,432,2025-06-21,2026-08-27,150,Interstate,Big Truck,No,Yes,28/06/2025,No
F93D6F10-8468-43D6-89FD,184,2025-06-20,2025-12-21,60,Local,Small Truck,Yes,Yes,23/06/2025,Yes
5F12BF9A-06B5-4069-8F46,543,2025-06-17,2026-12-12,100,Local,Small Truck,No,Yes,29/06/2025,Yes
1DF118E6-C0CD-4A7A-95E5,493,2025-06-19,2026-10-25,120,Intercity,Medium Truck,Yes,No,26/06/2025,Yes
57F1C65D-74E6-483A-B323,698,2025-06-15,2027-05-14,80,Intercity,Medium Truck,Yes,No,27/06/2025,Yes
607F8480-E45F-4A59-8A18,486,2025-06-19,2026-10-18,120,Local,Small Truck,No,Yes,23/06/2025,Yes
8B709F8B-25E5-40DB-996E,530,2025-06-18,2026-11-30,120,Intercity,Medium Truck,Yes,No,26/06/2025,No
564DE09E-611F-49AE-B0B4,401,2025-06-15,2026-07-21,100,Intercity,Medium Truck,Yes,Yes,27/06/2025,No
B22C94BA-778C-415A-BDEE,518,2025-06-16,2026-11-16,100,Intercity,Medium Truck,No,Yes,24/06/2025,Yes
3080E51D-CEA1-45E4-834E,76,2025-06-16,2025-08-31,100,Intercity,Medium Truck,Yes,Yes,26/06/2025,No
8C0E50AB-9D79-4E57-A896,463,2025-06-15,2026-09-21,120,Interstate,Big Truck,Yes,No,24/06/2025,Yes
44AE9287-7857-4DAC-8C60,567,2025-06-17,2027-01-05,120,Local,Small Truck,No,No,29/06/2025,Yes
308AF56A-DA34-443B-9EFF,384,2025-06-17,2026-07-06,60,Interstate,Big Truck,No,No,29/06/2025,No
2F040F7E-6FA7-42F9-81D0,339,2025-06-20,2026-05-25,80,Intercity,Medium Truck,No,No,26/06/2025,No
2345D927-6B00-4BFB-8654,705,2025-06-15,2027-05-21,100,Interstate,Big Truck,Yes,Yes,25/06/2025,No
E25E75A7-E292-439E-8DBC,619,2025-06-19,2027-02-28,100,Local,Small Truck,Yes,Yes,26/06/2025,No
C05BA825-3436-4A70-9A0D,165,2025-06-16,2025-11-28,150,Local,Small Truck,Yes,No,26/06/2025,Yes
682B6E51-558A-496C-B639,123,2025-06-20,2025-10-21,80,Interstate,Big Truck,Yes,No,23/06/2025,No
CA8A9D5D-E097-489B-8CB4,83,2025-06-15,2025-09-06,100,Intercity,Medium Truck,No,No,27/06/2025,Yes
3C16586E-17D0-4A75-8500,105,2025-06-20,2025-10-03,150,Intercity,Medium Truck,No,Yes,23/06/2025,Yes
EC68BB70-7A8C-4B97-9CEE,92,2025-06-21,2025-09-21,150,Intercity,Medium Truck,No,No,27/06/2025,No
1AC905E3-39C9-4898-A270,590,2025-06-18,2027-01-29,80,Interstate,Big Truck,Yes,Yes,26/06/2025,Yes
22E49D10-220F-44ED-BE69,579,2025-06-16,2027-01-16,80,Intercity,Medium Truck,Yes,No,28/06/2025,Yes
D81EFFA1-39BE-40FC-AFD6,516,2025-06-18,2026-11-16,120,Intercity,Medium Truck,No,Yes,23/06/2025,No
6D821371-A59A-470F-844A,211,2025-06-21,2026-01-18,80,Intercity,Medium Truck,No,Yes,23/06/2025,Yes
E3B2BAA2-1A3A-4549-916E,484,2025-06-18,2026-10-15,120,Interstate,Big Truck,Yes,No,23/06/2025,Yes
2609B745-4B82-482E-8A31,384,2025-06-15,2026-07-04,100,Intercity,Medium Truck,No,No,27/06/2025,Yes
F72C0CB6-5D6B-49C1-AFC6,264,2025-06-21,2026-03-12,120,Interstate,Big Truck,No,Yes,25/06/2025,Yes
AF4A1CA2-5D58-41B8-8F7D,477,2025-06-15,2026-10-05,150,Interstate,Big Truck,Yes,No,29/06/2025,Yes
855AFB6F-CEFF-461F-9626,366,2025-06-17,2026-06-18,120,Local,Small Truck,No,No,27/06/2025,No
4596FF37-027B-4137-86F5,220,2025-06-17,2026-01-23,120,Local,Small Truck,Yes,No,25/06/2025,Yes
871899E0-87B5-4929-81E5,551,2025-06-15,2026-12-18,150,Interstate,Big Truck,No,No,29/06/2025,Yes
1776F197-DE64-48FE-871B,277,2025-06-15,2026-03-19,60,Intercity,Medium Truck,Yes,No,23/06/2025,No
EA565222-B302-424A-A9D6,267,2025-06-19,2026-03-13,150,Local,Small Truck,No,Yes,23/06/2025,Yes
A1294309-925B-4C2C-804B,554,2025-06-21,2026-12-27,150,Interstate,Big Truck,Yes,No,24/06/2025,Yes
2B9E4EC5-33B8-49D6-802B,85,2025-06-17,2025-09-10,100,Local,Small Truck,Yes,Yes,23/06/2025,Yes
AF5EB08C-5E46-47C2-85B5,395,2025-06-17,2026-07-17,100,Intercity,Medium Truck,Yes,No,29/06/2025,Yes
DFB5DEE7-FAAC-418A-98EF,72,2025-06-15,2025-08-26,80,Interstate,Big Truck,Yes,No,24/06/2025,Yes
9A5FD926-DCC3-411C-B3F7,488,2025-06-17,2026-10-18,150,Intercity,Medium Truck,No,Yes,23/06/2025,Yes
9CB549D0-179E-4CBD-A719,284,2025-06-18,2026-03-29,150,Local,Small Truck,Yes,Yes,24/06/2025,Yes
4F8AEF02-E90B-4BC7-9511,289,2025-06-18,2026-04-03,150,Interstate,Big Truck,No,Yes,29/06/2025,Yes
72C0314D-7933-4BB6-A172,536,2025-06-15,2026-12-03,80,Interstate,Big Truck,Yes,Yes,24/06/2025,Yes
083863AB-221D-4E86-8597,309,2025-06-21,2026-04-26,100,Local,Small Truck,No,No,27/06/2025,Yes
D0AD76BF-088E-4192-B62A,411,2025-06-20,2026-08-05,60,Interstate,Big Truck,No,No,28/06/2025,Yes
973A05F7-0F40-49A9-8FF9,634,2025-06-20,2027-03-16,120,Interstate,Big Truck,Yes,Yes,26/06/2025,Yes
B47A5E7E-F8D7-4882-95F4,374,2025-06-18,2026-06-27,150,Interstate,Big Truck,No,Yes,28/06/2025,No
A6209C56-ED1F-4840-B616,139,2025-06-19,2025-11-05,150,Local,Small Truck,Yes,No,27/06/2025,Yes
3988A657-9811-4DAB-AC9E,550,2025-06-15,2026-12-17,150,Interstate,Big Truck,No,Yes,23/06/2025,Yes
BE287D50-D8A9-4124-ADA0,618,2025-06-15,2027-02-23,120,Intercity,Medium Truck,No,Yes,23/06/2025,Yes
1478551D-80CF-4E1F-9116,231,2025-06-15,2026-02-01,80,Intercity,Medium Truck,No,No,27/06/2025,Yes
1422A51C-F1CE-45CF-A847,378,2025-06-16,2026-06-29,80,Intercity,Medium Truck,Yes,Yes,26/06/2025,Yes
5EEF3BDE-53FF-4B37-9CED,352,2025-06-19,2026-06-06,80,Intercity,Medium Truck,Yes,No,29/06/2025,No
A7547F75-CF11-4401-8860,465,2025-06-19,2026-09-27,150,Local,Small Truck,Yes,Yes,23/06/2025,No
538976F7-5314-4B51-A77C,447,2025-06-16,2026-09-06,150,Intercity,Medium Truck,Yes,No,27/06/2025,Yes
18EB5FA6-F13D-44D7-B0E5,500,2025-06-16,2026-10-29,150,Local,Small Truck,No,No,23/06/2025,No
72F96B4A-AA25-4522-B885,688,2025-06-15,2027-05-04,80,Interstate,Big Truck,Yes,No,24/06/2025,Yes
7C2E1D27-0644-44B2-9432,522,2025-06-19,2026-11-23,60,Intercity,Medium Truck,Yes,No,29/06/2025,No
AD3A90EF-7FF9-49DA-9A72,476,2025-06-16,2026-10-05,80,Intercity,Medium Truck,Yes,Yes,25/06/2025,Yes
CB3A1509-9310-42A2-AF03,505,2025-06-20,2026-11-07,120,Interstate,Big Truck,Yes,No,23/06/2025,No
27D0291C-C489-4C28-B4BB,516,2025-06-21,2026-11-19,60,Interstate,Big Truck,Yes,Yes,27/06/2025,No
06927CD4-E0EC-4D03-9FFC,634,2025-06-15,2027-03-11,100,Local,Small Truck,Yes,No,27/06/2025,No
D9877281-8CA7-4388-8B18,561,2025-06-20,2027-01-02,60,Local,Small Truck,Yes,No,23/06/2025,Yes
A185FF84-EE65-4793-AC28,168,2025-06-21,2025-12-06,120,Intercity,Medium Truck,Yes,No,23/06/2025,Yes
A83EB468-20F5-4B41-BA0E,399,2025-06-16,2026-07-20,80,Intercity,Medium Truck,No,Yes,28/06/2025,No
E6387A17-903D-4BF4-9286,716,2025-06-18,2027-06-04,80,Intercity,Medium Truck,No,Yes,28/06/2025,No
B8A13720-912F-4A2C-B1B7,652,2025-06-15,2027-03-29,80,Intercity,Medium Truck,No,Yes,29/06/2025,Yes
3768A5A4-6B5B-4DD1-A7CD,576,2025-06-21,2027-01-18,150,Local,Small Truck,Yes,Yes,24/06/2025,No
FCE32603-4326-410A-97BA,683,2025-06-21,2027-05-05,60,Local,Small Truck,No,No,23/06/2025,Yes
AFE4FF97-BB04-4BD7-93B7,124,2025-06-15,2025-10-17,60,Interstate,Big Truck,No,Yes,24/06/2025,No
D4C5714B-EBBE-4539-AFE3,720,2025-06-21,2027-06-11,120,Interstate,Big Truck,Yes,No,26/06/2025,Yes
4D603F44-597E-4B46-B4ED,149,2025-06-16,2025-11-12,80,Interstate,Big Truck,No,Yes,24/06/2025,No
68D31CF9-C0DF-4BA8-A40C,694,2025-06-20,2027-05-15,120,Intercity,Medium Truck,No,Yes,26/06/2025,Yes
DCA2FC1E-7BCB-43B3-8D13,543,2025-06-20,2026-12-15,150,Local,Small Truck,No,No,23/06/2025,No
979BCA13-4C6E-4CB5-ABB7,78,2025-06-19,2025-09-05,120,Local,Small Truck,No,No,26/06/2025,No
08AD7970-3A8D-44E4-BAFF,283,2025-06-17,2026-03-27,120,Intercity,Medium Truck,Yes,Yes,25/06/2025,Yes
1F76E44C-68F4-4B82-A413,347,2025-06-15,2026-05-28,150,Interstate,Big Truck,Yes,Yes,23/06/2025,No
0007901A-978D-4ABD-B229,438,2025-06-18,2026-08-30,100,Intercity,Medium Truck,No,No,26/06/2025,No
09E34CF0-F321-40D0-BB9C,455,2025-06-21,2026-09-19,120,Local,Small Truck,Yes,Yes,23/06/2025,Yes
93FB5E77-53F0-47AE-A002,446,2025-06-17,2026-09-06,120,Intercity,Medium Truck,Yes,Yes,25/06/2025,No
A6740521-B71E-4CF2-9739,364,2025-06-16,2026-06-15,120,Local,Small Truck,Yes,No,25/06/2025,No
BD1F4CDE-5355-4F5B-AEA7,127,2025-06-17,2025-10-22,120,Intercity,Medium Truck,Yes,No,29/06/2025,Yes
D3436D11-E30C-47FD-8815,641,2025-06-19,2027-03-22,60,Interstate,Big Truck,No,Yes,24/06/2025,Yes
89E6BB65-5ED9-4FD9-BAD3,220,2025-06-21,2026-01-27,80,Local,Small Truck,Yes,No,24/06/2025,Yes
7F45096B-2D21-44E9-A110,715,2025-06-21,2027-06-06,100,Intercity,Medium Truck,Yes,Yes,23/06/2025,No
21EBFB31-B68C-41A1-998B,523,2025-06-19,2026-11-24,150,Interstate,Big Truck,No,Yes,29/06/2025,No
51F45C5B-92B2-4817-BD1B,355,2025-06-17,2026-06-07,60,Interstate,Big Truck,No,No,26/06/2025,Yes
9908BD0F-FC87-47B4-B4E5,664,2025-06-17,2027-04-12,60,Interstate,Big Truck,No,No,26/06/2025,No
0937FA89-4D5D-4696-A49D,124,2025-06-19,2025-10-21,120,Interstate,Big Truck,No,No,28/06/2025,No
8892CE46-A8D4-45AB-856D,609,2025-06-15,2027-02-14,100,Intercity,Medium Truck,Yes,Yes,27/06/2025,No
FAFACBAF-2E53-4386-BFA8,341,2025-06-16,2026-05-23,80,Interstate,Big Truck,No,No,26/06/2025,Yes
22B972D6-9EA3-482A-A1C1,447,2025-06-19,2026-09-09,80,Intercity,Medium Truck,Yes,Yes,29/06/2025,Yes
39817B58-98B9-44F8-9F8E,460,2025-06-16,2026-09-19,150,Intercity,Medium Truck,Yes,No,26/06/2025,No
FB782BF4-FEA4-4ADC-9180,170,2025-06-20,2025-12-07,120,Local,Small Truck,Yes,Yes,24/06/2025,Yes
9DA248DC-7ECC-4C31-B66B,338,2025-06-19,2026-05-23,80,Local,Small Truck,Yes,No,25/06/2025,Yes
F1D2B10E-201A-4319-9C07,461,2025-06-16,2026-09-20,120,Intercity,Medium Truck,Yes,Yes,23/06/2025,Yes
2DF4DC70-F40A-4A74-BF29,119,2025-06-19,2025-10-16,150,Interstate,Big Truck,No,No,25/06/2025,No
575B6852-563A-4A28-8F66,364,2025-06-15,2026-06-14,120,Intercity,Medium Truck,No,No,28/06/2025,No
2939ED07-92BD-4DBE-9E7D,351,2025-06-20,2026-06-06,150,Local,Small Truck,No,No,24/06/2025,No
6A2AB320-1FDE-4ED8-A442,347,2025-06-17,2026-05-30,80,Local,Small Truck,Yes,Yes,26/06/2025,No
65474336-2FCB-4922-A306,506,2025-06-15,2026-11-03,120,Interstate,Big Truck,No,Yes,28/06/2025,Yes
A6E109C5-BC1F-45F7-B181,235,2025-06-19,2026-02-09,100,Local,Small Truck,Yes,Yes,25/06/2025,Yes
41D1A345-571C-4E3D-96C7,493,2025-06-20,2026-10-26,80,Intercity,Medium Truck,No,Yes,24/06/2025,Yes
056B0879-6042-4CA6-AC56,322,2025-06-20,2026-05-08,100,Interstate,Big Truck,Yes,No,29/06/2025,Yes
BBDE63D4-BA08-4B90-9DEE,565,2025-06-15,2027-01-01,100,Interstate,Big Truck,Yes,Yes,25/06/2025,No
4DC67D65-84A9-4F98-A837,592,2025-06-21,2027-02-03,150,Intercity,Medium Truck,Yes,Yes,25/06/2025,Yes
C579B264-090A-413A-AB69,210,2025-06-19,2026-01-15,120,Intercity,Medium Truck,No,Yes,25/06/2025,Yes
9797164F-8622-4CF1-A571,547,2025-06-17,2026-12-16,80,Interstate,Big Truck,No,No,26/06/2025,No
CE5612BC-69D4-4E44-8E75,167,2025-06-21,2025-12-05,120,Local,Small Truck,No,No,23/06/2025,No
48921DA4-1B45-4660-9E80,64,2025-06-18,2025-08-21,150,Interstate,Big Truck,Yes,Yes,25/06/2025,Yes
A5D6E5C5-307D-4F4B-A909,206,2025-06-15,2026-01-07,80,Local,Small Truck,No,Yes,25/06/2025,Yes
1195DCD0-F9CB-472A-939F,347,2025-06-17,2026-05-30,100,Local,Small Truck,No,No,24/06/2025,No
9B2D36A5-278E-42DF-8E0D,232,2025-06-21,2026-02-08,100,Intercity,Medium Truck,Yes,Yes,23/06/2025,No
EE044592-7AF6-4518-8606,235,2025-06-15,2026-02-05,100,Local,Small Truck,No,Yes,25/06/2025,Yes
6D5D0242-4673-4C6B-AD4C,91,2025-06-16,2025-09-15,60,Interstate,Big Truck,Yes,No,23/06/2025,No
3639CC85-E8AD-4B51-B9EE,136,2025-06-21,2025-11-04,150,Interstate,Big Truck,No,Yes,28/06/2025,No
9FFEDB95-4AFC-483D-B339,504,2025-06-20,2026-11-06,80,Interstate,Big Truck,No,No,25/06/2025,Yes
4ADD02D5-9E44-423E-8129,662,2025-06-16,2027-04-09,100,Interstate,Big Truck,Yes,No,28/06/2025,No
5F5B73C3-D6C2-4978-BAD8,251,2025-06-17,2026-02-23,100,Interstate,Big Truck,Yes,No,29/06/2025,Yes
F51B0F43-783D-420F-AB0A,252,2025-06-16,2026-02-23,120,Interstate,Big Truck,No,Yes,26/06/2025,Yes
A86032A2-A1F8-47A8-A077,690,2025-06-19,2027-05-10,80,Local,Small Truck,No,Yes,29/06/2025,No
39F309B4-145A-4F1F-A6EB,320,2025-06-20,2026-05-06,60,Intercity,Medium Truck,No,No,28/06/2025,No
B43593AF-FE58-4CB3-90D2,433,2025-06-21,2026-08-28,60,Interstate,Big Truck,No,Yes,26/06/2025,Yes
BC901C94-DC06-4BC3-AD74,227,2025-06-19,2026-02-01,100,Local,Small Truck,No,Yes,26/06/2025,No
E0A60523-1FA3-4218-9ABA,411,2025-06-17,2026-08-02,120,Intercity,Medium Truck,Yes,Yes,29/06/2025,Yes
97B0FB3E-0C45-45CC-8F73,218,2025-06-20,2026-01-24,150,Interstate,Big Truck,No,Yes,26/06/2025,No
45078618-D86C-45A0-BED0,345,2025-06-18,2026-05-29,150,Intercity,Medium Truck,No,Yes,27/06/2025,No
BBE8898C-7A61-4D36-A82F,401,2025-06-17,2026-07-23,60,Local,Small Truck,No,No,24/06/2025,Yes
08CD7497-E60E-4AFC-BB5A,424,2025-06-15,2026-08-13,80,Local,Small Truck,Yes,Yes,25/06/2025,No
DA49CC6D-6FF8-4676-8DFE,433,2025-06-17,2026-08-24,60,Interstate,Big Truck,No,No,28/06/2025,Yes
371D05C8-6A23-48FD-AC7D,337,2025-06-17,2026-05-20,60,Intercity,Medium Truck,Yes,Yes,25/06/2025,No
90135996-3ABD-49B4-B0C0,181,2025-06-18,2025-12-16,80,Local,Small Truck,No,Yes,28/06/2025,No
1FBAD4E6-5D79-4CD4-8969,690,2025-06-21,2027-05-12,80,Intercity,Medium Truck,Yes,No,29/06/2025,No
ED9D637D-06E1-434E-999F,518,2025-06-18,2026-11-18,60,Interstate,Big Truck,Yes,Yes,24/06/2025,Yes
C186CAE9-457A-4602-A4FF,340,2025-06-15,2026-05-21,80,Local,Small Truck,No,Yes,25/06/2025,No
A7A4DF6C-228E-403A-A075,394,2025-06-16,2026-07-15,100,Interstate,Big Truck,No,Yes,23/06/2025,Yes
EFE50F13-F84C-405F-A423,569,2025-06-21,2027-01-11,80,Local,Small Truck,Yes,Yes,27/06/2025,No
3AF0C0FC-6F40-4C67-90BD,101,2025-06-20,2025-09-29,80,Local,Small Truck,No,No,29/06/2025,No
0262ADF3-557B-45C8-A869,251,2025-06-19,2026-02-25,80,Intercity,Medium Truck,Yes,Yes,28/06/2025,Yes
C1877932-5955-443D-B1E5,332,2025-06-21,2026-05-19,120,Local,Small Truck,Yes,No,23/06/2025,No
538E0E79-3B3F-46E1-904E,456,2025-06-17,2026-09-16,60,Intercity,Medium Truck,No,No,25/06/2025,No
CA1E837C-798E-4BF0-8AA2,137,2025-06-19,2025-11-03,120,Intercity,Medium Truck,Yes,Yes,29/06/2025,Yes
3C6C2787-732D-4442-B417,387,2025-06-15,2026-07-07,80,Interstate,Big Truck,Yes,No,26/06/2025,Yes
21CE832F-AEA8-43AA-9717,673,2025-06-20,2027-04-24,120,Interstate,Big Truck,Yes,No,27/06/2025,No
C1F68AE2-3FEF-4BA0-90CA,161,2025-06-18,2025-11-26,60,Interstate,Big Truck,Yes,No,24/06/2025,No
19AFD8AE-9EEA-493F-98EF,136,2025-06-19,2025-11-02,150,Interstate,Big Truck,No,Yes,29/06/2025,No
03F5BF8C-98CF-40F3-8322,451,2025-06-20,2026-09-14,100,Interstate,Big Truck,Yes,No,27/06/2025,Yes
1C31D071-4F88-43F1-818D,675,2025-06-19,2027-04-25,80,Local,Small Truck,Yes,Yes,29/06/2025,Yes
FF05752B-DF52-4130-A73B,596,2025-06-17,2027-02-03,150,Interstate,Big Truck,Yes,No,24/06/2025,Yes
176D814D-7251-4B72-8385,570,2025-06-16,2027-01-07,150,Interstate,Big Truck,No,No,29/06/2025,No
8B150FFC-E271-4EB7-8BAA,266,2025-06-19,2026-03-12,80,Intercity,Medium Truck,Yes,No,23/06/2025,No
6E9CD290-139D-4E6F-A2C4,412,2025-06-15,2026-08-01,150,Interstate,Big Truck,No,No,25/06/2025,Yes
A04051D8-79A7-4F1A-9006,78,2025-06-21,2025-09-07,80,Local,Small Truck,Yes,No,26/06/2025,No
369A6A36-9163-4199-A088,189,2025-06-15,2025-12-21,120,Interstate,Big Truck,No,Yes,23/06/2025,No
3EC97E2C-62F8-4793-B5C5,263,2025-06-17,2026-03-07,150,Interstate,Big Truck,No,Yes,24/06/2025,Yes
4BF08F0B-EE01-489E-9C54,123,2025-06-15,2025-10-16,150,Interstate,Big Truck,No,No,24/06/2025,No
E606B5DA-FE5F-4B2F-827B,511,2025-06-19,2026-11-12,100,Local,Small Truck,Yes,Yes,24/06/2025,Yes
282A96C1-D570-4BBA-89A7,660,2025-06-19,2027-04-10,60,Intercity,Medium Truck,No,No,28/06/2025,No
04495E91-2A25-4874-9501,626,2025-06-18,2027-03-06,80,Interstate,Big Truck,Yes,No,29/06/2025,No
078B37E1-DB19-4D21-A42D,275,2025-06-17,2026-03-19,150,Interstate,Big Truck,No,No,24/06/2025,No
BCD2339B-1D2F-4C1C-8237,357,2025-06-19,2026-06-11,150,Intercity,Medium Truck,No,Yes,24/06/2025,No
764787FC-B088-432B-AB1A,411,2025-06-21,2026-08-06,60,Interstate,Big Truck,No,Yes,27/06/2025,No
2F40A73D-4C18-4DC0-8EB6,710,2025-06-19,2027-05-30,100,Local,Small Truck,Yes,No,27/06/2025,No
A20EECE3-8F55-4FA6-94BD,670,2025-06-15,2027-04-16,80,Interstate,Big Truck,Yes,No,23/06/2025,No
AB7C3614-E19A-494E-9645,296,2025-06-18,2026-04-10,100,Intercity,Medium Truck,Yes,No,26/06/2025,No
EEA74F44-2E77-455E-8FC0,642,2025-06-19,2027-03-23,150,Interstate,Big Truck,No,No,29/06/2025,No
21C83B20-1D22-4B13-93FA,727,2025-06-15,2027-06-12,150,Local,Small Truck,No,No,29/06/2025,Yes
94513546-8D60-4065-9E76,547,2025-06-16,2026-12-15,60,Interstate,Big Truck,Yes,No,23/06/2025,No
364011BC-B859-4F0F-B830,598,2025-06-21,2027-02-09,100,Local,Small Truck,No,No,29/06/2025,No
A4551E32-8D17-4541-BE95,110,2025-06-16,2025-10-04,80,Intercity,Medium Truck,No,No,24/06/2025,No
E164590F-3C7A-4612-B73E,386,2025-06-17,2026-07-08,80,Intercity,Medium Truck,No,No,27/06/2025,No
2EEFF20E-FB53-4E08-9003,562,2025-06-17,2026-12-31,120,Interstate,Big Truck,No,Yes,26/06/2025,No
3552177E-BC1D-4EA6-AADB,216,2025-06-16,2026-01-18,80,Intercity,Medium Truck,Yes,No,26/06/2025,Yes
AA412E57-7720-425A-91FB,126,2025-06-19,2025-10-23,80,Intercity,Medium Truck,Yes,Yes,24/06/2025,No
