OrderID,Order_Date,Expiry_Date,Pallet_Size,Route_Type,Mode_of_Transport,Urgent_Order_Flag,Fragility,Dispatch_Window,Temp_Sensitive
D3436D11-E30C-47FD-8815,19/06/2025,22/03/2027,60,Interstate,Big Truck,No,Yes,24/06/2025,Yes
89E6BB65-5ED9-4FD9-BAD3,21/06/2025,27/01/2026,80,Local,Small Truck,Yes,No,24/06/2025,Yes
7F45096B-2D21-44E9-A110,21/06/2025,06/06/2027,100,Intercity,Medium Truck,Yes,Yes,23/06/2025,No
21EBFB31-B68C-41A1-998B,19/06/2025,24/11/2026,150,Interstate,Big Truck,No,Yes,29/06/2025,No
51F45C5B-92B2-4817-BD1B,17/06/2025,07/06/2026,60,Interstate,Big Truck,No,No,26/06/2025,Yes
9908BD0F-FC87-47B4-B4E5,17/06/2025,12/04/2027,60,Interstate,Big Truck,No,No,26/06/2025,No
0937FA89-4D5D-4696-A49D,19/06/2025,21/10/2025,120,Interstate,Big Truck,No,No,28/06/2025,No
8892CE46-A8D4-45AB-856D,15/06/2025,14/02/2027,100,Intercity,Medium Truck,Yes,Yes,27/06/2025,No
FAFACBAF-2E53-4386-BFA8,16/06/2025,23/05/2026,80,Interstate,Big Truck,No,No,26/06/2025,Yes
22B972D6-9EA3-482A-A1C1,19/06/2025,09/09/2026,80,Intercity,Medium Truck,Yes,Yes,29/06/2025,Yes
39817B58-98B9-44F8-9F8E,16/06/2025,19/09/2026,150,Intercity,Medium Truck,Yes,No,26/06/2025,No
FB782BF4-FEA4-4ADC-9180,20/06/2025,07/12/2025,120,Local,Small Truck,Yes,Yes,24/06/2025,Yes
9DA248DC-7ECC-4C31-B66B,19/06/2025,23/05/2026,80,Local,Small Truck,Yes,No,25/06/2025,Yes
F1D2B10E-201A-4319-9C07,16/06/2025,20/09/2026,120,Intercity,Medium Truck,Yes,Yes,23/06/2025,Yes
2DF4DC70-F40A-4A74-BF29,19/06/2025,16/10/2025,150,Interstate,Big Truck,No,No,25/06/2025,No
575B6852-563A-4A28-8F66,15/06/2025,14/06/2026,120,Intercity,Medium Truck,No,No,28/06/2025,No
2939ED07-92BD-4DBE-9E7D,20/06/2025,06/06/2026,150,Local,Small Truck,No,No,24/06/2025,No
6A2AB320-1FDE-4ED8-A442,17/06/2025,30/05/2026,80,Local,Small Truck,Yes,Yes,26/06/2025,No
65474336-2FCB-4922-A306,15/06/2025,03/11/2026,120,Interstate,Big Truck,No,Yes,28/06/2025,Yes
A6E109C5-BC1F-45F7-B181,19/06/2025,09/02/2026,100,Local,Small Truck,Yes,Yes,25/06/2025,Yes
41D1A345-571C-4E3D-96C7,20/06/2025,26/10/2026,80,Intercity,Medium Truck,No,Yes,24/06/2025,Yes
056B0879-6042-4CA6-AC56,20/06/2025,08/05/2026,100,Interstate,Big Truck,Yes,No,29/06/2025,Yes
BBDE63D4-BA08-4B90-9DEE,15/06/2025,01/01/2027,100,Interstate,Big Truck,Yes,Yes,25/06/2025,No
4DC67D65-84A9-4F98-A837,21/06/2025,03/02/2027,150,Intercity,Medium Truck,Yes,Yes,25/06/2025,Yes
C579B264-090A-413A-AB69,19/06/2025,15/01/2026,120,Intercity,Medium Truck,No,Yes,25/06/2025,Yes
9797164F-8622-4CF1-A571,17/06/2025,16/12/2026,80,Interstate,Big Truck,No,No,26/06/2025,No
CE5612BC-69D4-4E44-8E75,21/06/2025,05/12/2025,120,Local,Small Truck,No,No,23/06/2025,No
48921DA4-1B45-4660-9E80,18/06/2025,21/08/2025,150,Interstate,Big Truck,Yes,Yes,25/06/2025,Yes
A5D6E5C5-307D-4F4B-A909,15/06/2025,07/01/2026,80,Local,Small Truck,No,Yes,25/06/2025,Yes
1195DCD0-F9CB-472A-939F,17/06/2025,30/05/2026,100,Local,Small Truck,No,No,24/06/2025,No
9B2D36A5-278E-42DF-8E0D,21/06/2025,08/02/2026,100,Intercity,Medium Truck,Yes,Yes,23/06/2025,No
EE044592-7AF6-4518-8606,15/06/2025,05/02/2026,100,Local,Small Truck,No,Yes,25/06/2025,Yes
6D5D0242-4673-4C6B-AD4C,16/06/2025,15/09/2025,60,Interstate,Big Truck,Yes,No,23/06/2025,No
3639CC85-E8AD-4B51-B9EE,21/06/2025,04/11/2025,150,Interstate,Big Truck,No,Yes,28/06/2025,No
9FFEDB95-4AFC-483D-B339,20/06/2025,06/11/2026,80,Interstate,Big Truck,No,No,25/06/2025,Yes
4ADD02D5-9E44-423E-8129,16/06/2025,09/04/2027,100,Interstate,Big Truck,Yes,No,28/06/2025,No
5F5B73C3-D6C2-4978-BAD8,17/06/2025,23/02/2026,100,Interstate,Big Truck,Yes,No,29/06/2025,Yes
F51B0F43-783D-420F-AB0A,16/06/2025,23/02/2026,120,Interstate,Big Truck,No,Yes,26/06/2025,Yes
A86032A2-A1F8-47A8-A077,19/06/2025,10/05/2027,80,Local,Small Truck,No,Yes,29/06/2025,No
39F309B4-145A-4F1F-A6EB,20/06/2025,06/05/2026,60,Intercity,Medium Truck,No,No,28/06/2025,No
B43593AF-FE58-4CB3-90D2,21/06/2025,28/08/2026,60,Interstate,Big Truck,No,Yes,26/06/2025,Yes
BC901C94-DC06-4BC3-AD74,19/06/2025,01/02/2026,100,Local,Small Truck,No,Yes,26/06/2025,No
E0A60523-1FA3-4218-9ABA,17/06/2025,02/08/2026,120,Intercity,Medium Truck,Yes,Yes,29/06/2025,Yes
97B0FB3E-0C45-45CC-8F73,20/06/2025,24/01/2026,150,Interstate,Big Truck,No,Yes,26/06/2025,No
45078618-D86C-45A0-BED0,18/06/2025,29/05/2026,150,Intercity,Medium Truck,No,Yes,27/06/2025,No
BBE8898C-7A61-4D36-A82F,17/06/2025,23/07/2026,60,Local,Small Truck,No,No,24/06/2025,Yes
08CD7497-E60E-4AFC-BB5A,15/06/2025,13/08/2026,80,Local,Small Truck,Yes,Yes,25/06/2025,No
DA49CC6D-6FF8-4676-8DFE,17/06/2025,24/08/2026,60,Interstate,Big Truck,No,No,28/06/2025,Yes
371D05C8-6A23-48FD-AC7D,17/06/2025,20/05/2026,60,Intercity,Medium Truck,Yes,Yes,25/06/2025,No
90135996-3ABD-49B4-B0C0,18/06/2025,16/12/2025,80,Local,Small Truck,No,Yes,28/06/2025,No
1FBAD4E6-5D79-4CD4-8969,21/06/2025,12/05/2027,80,Intercity,Medium Truck,Yes,No,29/06/2025,No
ED9D637D-06E1-434E-999F,18/06/2025,18/11/2026,60,Interstate,Big Truck,Yes,Yes,24/06/2025,Yes
C186CAE9-457A-4602-A4FF,15/06/2025,21/05/2026,80,Local,Small Truck,No,Yes,25/06/2025,No
A7A4DF6C-228E-403A-A075,16/06/2025,15/07/2026,100,Interstate,Big Truck,No,Yes,23/06/2025,Yes
EFE50F13-F84C-405F-A423,21/06/2025,11/01/2027,80,Local,Small Truck,Yes,Yes,27/06/2025,No
3AF0C0FC-6F40-4C67-90BD,20/06/2025,29/09/2025,80,Local,Small Truck,No,No,29/06/2025,No
0262ADF3-557B-45C8-A869,19/06/2025,25/02/2026,80,Intercity,Medium Truck,Yes,Yes,28/06/2025,Yes
C1877932-5955-443D-B1E5,21/06/2025,19/05/2026,120,Local,Small Truck,Yes,No,23/06/2025,No
538E0E79-3B3F-46E1-904E,17/06/2025,16/09/2026,60,Intercity,Medium Truck,No,No,25/06/2025,No
CA1E837C-798E-4BF0-8AA2,19/06/2025,03/11/2025,120,Intercity,Medium Truck,Yes,Yes,29/06/2025,Yes
3C6C2787-732D-4442-B417,15/06/2025,07/07/2026,80,Interstate,Big Truck,Yes,No,26/06/2025,Yes
21CE832F-AEA8-43AA-9717,20/06/2025,24/04/2027,120,Interstate,Big Truck,Yes,No,27/06/2025,No
C1F68AE2-3FEF-4BA0-90CA,18/06/2025,26/11/2025,60,Interstate,Big Truck,Yes,No,24/06/2025,No
19AFD8AE-9EEA-493F-98EF,19/06/2025,02/11/2025,150,Interstate,Big Truck,No,Yes,29/06/2025,No
03F5BF8C-98CF-40F3-8322,20/06/2025,14/09/2026,100,Interstate,Big Truck,Yes,No,27/06/2025,Yes
1C31D071-4F88-43F1-818D,19/06/2025,25/04/2027,80,Local,Small Truck,Yes,Yes,29/06/2025,Yes
FF05752B-DF52-4130-A73B,17/06/2025,03/02/2027,150,Interstate,Big Truck,Yes,No,24/06/2025,Yes
176D814D-7251-4B72-8385,16/06/2025,07/01/2027,150,Interstate,Big Truck,No,No,29/06/2025,No
8B150FFC-E271-4EB7-8BAA,19/06/2025,12/03/2026,80,Intercity,Medium Truck,Yes,No,23/06/2025,No
6E9CD290-139D-4E6F-A2C4,15/06/2025,01/08/2026,150,Interstate,Big Truck,No,No,25/06/2025,Yes
A04051D8-79A7-4F1A-9006,21/06/2025,07/09/2025,80,Local,Small Truck,Yes,No,26/06/2025,No
369A6A36-9163-4199-A088,15/06/2025,21/12/2025,120,Interstate,Big Truck,No,Yes,23/06/2025,No
3EC97E2C-62F8-4793-B5C5,17/06/2025,07/03/2026,150,Interstate,Big Truck,No,Yes,24/06/2025,Yes
4BF08F0B-EE01-489E-9C54,15/06/2025,16/10/2025,150,Interstate,Big Truck,No,No,24/06/2025,No
E606B5DA-FE5F-4B2F-827B,19/06/2025,12/11/2026,100,Local,Small Truck,Yes,Yes,24/06/2025,Yes
282A96C1-D570-4BBA-89A7,19/06/2025,10/04/2027,60,Intercity,Medium Truck,No,No,28/06/2025,No
04495E91-2A25-4874-9501,18/06/2025,06/03/2027,80,Interstate,Big Truck,Yes,No,29/06/2025,No
078B37E1-DB19-4D21-A42D,17/06/2025,19/03/2026,150,Interstate,Big Truck,No,No,24/06/2025,No
BCD2339B-1D2F-4C1C-8237,19/06/2025,11/06/2026,150,Intercity,Medium Truck,No,Yes,24/06/2025,No
764787FC-B088-432B-AB1A,21/06/2025,06/08/2026,60,Interstate,Big Truck,No,Yes,27/06/2025,No
2F40A73D-4C18-4DC0-8EB6,19/06/2025,30/05/2027,100,Local,Small Truck,Yes,No,27/06/2025,No
A20EECE3-8F55-4FA6-94BD,15/06/2025,16/04/2027,80,Interstate,Big Truck,Yes,No,23/06/2025,No
AB7C3614-E19A-494E-9645,18/06/2025,10/04/2026,100,Intercity,Medium Truck,Yes,No,26/06/2025,No
EEA74F44-2E77-455E-8FC0,19/06/2025,23/03/2027,150,Interstate,Big Truck,No,No,29/06/2025,No
21C83B20-1D22-4B13-93FA,15/06/2025,12/06/2027,150,Local,Small Truck,No,No,29/06/2025,Yes
94513546-8D60-4065-9E76,16/06/2025,15/12/2026,60,Interstate,Big Truck,Yes,No,23/06/2025,No
364011BC-B859-4F0F-B830,21/06/2025,09/02/2027,100,Local,Small Truck,No,No,29/06/2025,No
A4551E32-8D17-4541-BE95,16/06/2025,04/10/2025,80,Intercity,Medium Truck,No,No,24/06/2025,No
E164590F-3C7A-4612-B73E,17/06/2025,08/07/2026,80,Intercity,Medium Truck,No,No,27/06/2025,No
2EEFF20E-FB53-4E08-9003,17/06/2025,31/12/2026,120,Interstate,Big Truck,No,Yes,26/06/2025,No
3552177E-BC1D-4EA6-AADB,16/06/2025,18/01/2026,80,Intercity,Medium Truck,Yes,No,26/06/2025,Yes
AA412E57-7720-425A-91FB,19/06/2025,23/10/2025,80,Intercity,Medium Truck,Yes,Yes,24/06/2025,No
C17CBB8D-18F5-445F-B8CC,19/06/2025,16/03/2027,60,Intercity,Medium Truck,Yes,Yes,23/06/2025,No
C4938D6E-192F-42F0-8196,18/06/2025,10/03/2027,150,Intercity,Medium Truck,No,No,29/06/2025,No
6F5F0B5B-7216-4B29-80BB,21/06/2025,09/06/2027,60,Intercity,Medium Truck,Yes,Yes,27/06/2025,Yes
9E03FC03-1CB2-4978-8E0D,20/06/2025,11/11/2025,60,Intercity,Medium Truck,No,No,28/06/2025,Yes
BDF80494-0ECD-4F57-8E41,19/06/2025,29/01/2027,80,Interstate,Big Truck,Yes,No,29/06/2025,No
C00C847B-9AA3-49A0-99F7,17/06/2025,05/05/2026,80,Local,Small Truck,No,Yes,29/06/2025,No
F787345F-F5AB-4668-9A58,19/06/2025,09/11/2026,120,Interstate,Big Truck,Yes,Yes,26/06/2025,Yes
DC7C2709-2204-4725-9790,20/06/2025,23/09/2026,60,Local,Small Truck,No,No,24/06/2025,No
